gutenberg_id,title,author
8492,The King in Yellow,"Chambers, Robert W. (Robert William)"
2148,The Works of Edgar Allan Poe — Volume 2,"Poe, Edgar Allan"
2814,Dubliners,"Joyce, James"
3090,Complete Original Short Stories of Guy De Maupassant,"Maupassant, Guy de"
57333,Project Gutenberg Compilation of Short Stories by Chekhov,"Chekhov, Anton Pavlovich"
236,The Jungle Book,"Kipling, Rudyard"
16433,The Gay Cockade,"Bailey, Temple"
902,"The Happy Prince, and Other Tales","Wilde, Oscar"
24151,The Sky Trap,"Long, Frank Belknap"
2781,Just so stories,"Kipling, Rudyard"
29418,The Man from Time,"Long, Frank Belknap"
375,An Occurrence at Owl Creek Bridge,"Bierce, Ambrose"
27200,Fairy Tales of Hans Christian Andersen,"Andersen, H. C. (Hans Christian)"
21279,2 B R 0 2 B,"Vonnegut, Kurt"
31516,The Eyes Have It,"Dick, Philip K."
7256,The Gift of the Magi,"Henry, O."
1429,"The Garden Party, and Other Stories","Mansfield, Katherine"
6133,"The Extraordinary Adventures of Arsène Lupin, Gentleman-Burglar","Leblanc, Maurice"
512,Mosses from an old manse,"Hawthorne, Nathaniel"
25525,"The Works of Edgar Allan Poe, The Raven Edition: Table Of Contents And Index Of The Five Volumes","Poe, Edgar Allan"
932,The Fall of the House of Usher,"Poe, Edgar Allan"
13437,Best Russian Short Stories,
3186,"The Mysterious Stranger, and Other Stories","Twain, Mark"
2518,"The Hungry Stones, and Other Stories","Tagore, Rabindranath"
45524,The Open Boat and Other Stories,"Crane, Stephen"
33525,Stories from Tagore,"Tagore, Rabindranath"
76108,The Salem horror,"Kuttner, Henry"
40745,Short Stories,"Dostoyevsky, Fyodor"
22091,"The Best Short Stories of 1920, and the Yearbook of the American Short Story",
76171,Derelicts of the hills,"Tuttle, W. C. (Wilbur C.)"
55024,"The Queen of Spades, and other stories","Pushkin, Aleksandr Sergeevich"
76156,Altitude,"Jamieson, Leland"
23218,The Red Room,"Wells, H. G. (Herbert George)"
43629,Strange Stories from a Chinese Studio (Volumes 1 and 2),"Pu, Songling"
773,"Lord Arthur Savile's Crime; The Portrait of Mr. W.H., and Other Stories","Wilde, Oscar"
76113,The horror in the burying-ground,"Lovecraft, H. P. (Howard Phillips); Heald, Hazel"
62940,Mrs. Spring Fragrance,Sui Sin Far
2776,The Four Million,"Henry, O."
10947,The Best American Humorous Short Stories,
76153,The stone dragon and other tragic romances,"Gilchrist, Murray"
13707,Twice-told tales,"Hawthorne, Nathaniel"
51461,A Pail of Air,"Leiber, Fritz"
76115,Picture stuff,"Whitfield, Raoul"
55283,"The Bet, and other stories","Chekhov, Anton Pavlovich"
76114,The artificial man,"Harris, Clare Winger"
29432,The Man the Martians Made,"Long, Frank Belknap"
3080,Original Short Stories — Volume 04,"Maupassant, Guy de"
10150,Dracula's Guest,"Stoker, Bram"
21327,"The Works of Guy de Maupassant, Vol. 1: Boule de Suif and Other Stories","Maupassant, Guy de"
710,"Love of Life, and Other Stories","London, Jack"
76112,Vallisneria madness,"Farley, Ralph Milne"
64820,The Vibration Wasps,"Long, Frank Belknap"
9363,The Best British Short Stories of 1922,
28076,"Original Short Stories, Complete, Volumes 1-13: An Index to All Stories","Maupassant, Guy de"
15381,Victorian Short Stories: Stories of Courtship,
12732,A collection of short-stories,
