docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category
nyp.33433074913496,,,,1789.0,1789.0,s,1789,    ,London;Printed by and for J. Nichols;1789.,1789,,,,,,23628929.0,enk,160276,2,2.0,2.0,,,"The Town talk, | the Fish pool, the Plebeian, the Old Whig, the Spinster, &c., | $c: by the authors of the Tatler, Spectator, and Guardian. Now first collected; with notes and illus.",,True,"The Town talk, the Fish pool, the Plebeian, the Old Whig, the Spinster, &c",0.9118534046857276,0.3281524587558529,,unknown,7.876379690949228,19.247411175923084,29.26419213973799,22.32976583207796,274.7379912663756,4055.970652733549,1.1,['fiction'],['unknown']
mdp.39015012371350,"Moore, John","Moore, John",1729-1802.,1789.0,1789.0,s,1789,    ,London;Printed for A. Strahan & T. Cadell;1789.,1789,,,Scottish authors|English fiction,,,4231320.0,enk,243283,2,9.0,5.0,v.1,1.0,"Zeluco. | Various views of human nature taken from life and manners, foreign and domestic ...",,True,"Zeluco. Various views of human nature taken from life and manners, foreign and domestic",0.2367242947204506,0.0266834076985127,John,m,6.184486373165618,7.446048635558545,23.81704781704782,24.261746793971326,184.43451143451145,1724.2082892103683,1.6,['fiction'],['fiction and juvenile belles lettres']
mdp.39015063980125,"Hayley, William","Hayley, William",1745-1820.,1789.0,1789.0,s,1789,    ,"London;Printed for G., G.J. and J. Robinson;1789.",1789,,,,,,7078406.0,enk,449430,1,1.0,1.0,v.2,2.0,"The young widow; | or, the history of Cornelia Sedley, in a series of letters.",,True,"The young widow; or, the history of Cornelia Sedley, in a series of letters",0.5724976958419273,0.3907163285692937,William,m,5.2611940298507465,3.4914791713076405,20.719424460431654,12.122716215516794,151.11510791366908,1066.375239376844,0.9,['fiction'],['unknown']
mdp.39015078549691,"Defoe, Daniel","Defoe, Daniel",1661?-1731.,1789.0,1731.0,s,1789,    ,"London;Printed for the inhabitants of his island, and sold by F. Power and co. (grandson of the late Mr. John Newbery);1789.",1789,,,,,,23641039.0,enk,1369059,1,4.0,3.0,,,"The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; | who lived twenty-eight years on an uninhabited island, which he afterwards colonised.",,False,"The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; who lived twenty-eight years on an uninhabited island, which he afterwards colonised",0.5733219306179812,0.9691172670328728,Daniel,m,8.26984126984127,10.641471403376164,27.44776119402985,42.09801737580753,240.9402985074627,4906.862107373579,1.4,['unknown'],['unknown']
mdp.39015078556241,"Sheridan, Richard Brinsley","Sheridan, Richard Brinsley",1751-1816.,1789.0,1789.0,s,1789,    ,London;Printed for T. Becket;M DCC LXYXIX [i.e. MDCCLXXXIX,"<unparsed=""M DCC LXYXIX [i.e. MDCCLXXXIX]"">",,,,,,23643718.0,enk,1369983,1,1.0,1.0,,,"A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane. | Taken from the original story.",,True,"A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane. Taken from the original story",0.9382147410463838,0.9754019189066232,Richard,m,6.181818181818182,20.60330578512397,24.26923076923077,113.5044378698225,251.6153846153846,25945.85207100592,2.0,['unknown'],['unknown']
mdp.39015078570507,"Thomson, William","Thomson, William",1746-1817.,1789.0,1789.0,s,1789,    ,London;Printed for J. Murray;1789.,1789,,,"Voyages, Imaginary",,,17914099.0,enk,1427601,1,1.0,1.0,v.1,1.0,"Mammuth; | or, Human nature displayed on a grand scale: in a tour with the tinkers, into the inland parts of Africa. | $c: By the man in the moon ...",,True,"Mammuth; or, Human nature displayed on a grand scale: in a tour with the tinkers, into the inland parts of Africa",0.8116528922814343,0.2002248383084391,William,m,5.229166666666667,4.315538194444445,21.83793103448276,10.556492271105826,157.99310344827586,949.586159334126,2.0,['unknown'],['unknown']
nyp.33433070250349,"Lord, Kames, Henry Home","Lord, Kames, Henry Home",1696-1782.,1789.0,1782.0,s,1789,    ,Edinburgh;Printed for W. Creech and T. Caddell;1789.,1789,"4th ed.,|enl. with additional maxims and illustrations.",,Aphorisms and apothegms|Conduct of life|Fables,,,19490378.0,stk,8621591,1,1.0,1.0,,,Introduction to the art of thinking.,,True,Introduction to the art of thinking,0.8375295110121431,0.1478004640175175,Henry,m,10.155963302752294,7.94815251241478,26.53134328358209,37.62812207618623,197.5253731343284,2067.7359233682337,0.9,['unknown'],['unknown']
nyp.33433074916465,"Mrs. Bennett, (Agnes Maria)","Bennett, (Agnes Maria), Mrs",d. 1808.,1789.0,1789.0,s,1789,    ,"Bath;Printed and Sold for the Author, by S. Hazard; [etc., etc.;1789.",1789,,,,,PZ3.B4357A,6645805.0,enk,8664019,1,1.0,1.0,v. 1,1.0,"Agnes de-Courci, | a domestic tale ... | $c: By Mrs. Bennett ...",,True,"Agnes de-Courci, a domestic tale",0.1539075948655821,0.0428797080644178,Agnes,f,5.289962825278811,8.280233827614323,20.736263736263737,19.17586442861168,164.02564102564102,1764.083591622053,1.8,['fiction'],['fiction and juvenile belles lettres']
nyp.33433075813281,"Saint-Pierre, Bernardin de","Saint-Pierre, Bernardin de",1737-1814.,1789.0,1789.0,s,1789,    ,London;Printed for J. Dodsley;1789.,1789,,,1789,,,33307338.0,enk,8672125,1,1.0,1.0,v. 1-2,1.0,"Paul and Mary, | an Indian story.",,True,"Paul and Mary, an Indian story",0.914044752608432,0.1574190178909013,Bernardin,m,5.961432506887053,4.835978113213275,20.864,15.696170666666672,135.144,845.9205973333335,0.7,['fiction'],['unknown']
nyp.33433074918784,"White, James","White, James",1803-1862.,1790.0,1790.0,s,1790,    ,London;Printed by J. Crowder for G.G.J. and J. Robinson;1790.,1790,,,"of Gaunt, Duke of Lancaster|John|1340-1399",,,5237679.0,enk,8663985,1,1.0,1.0,v. 1,1.0,"The adventures of John of Gaunt, Duke of Lancaster / | $c: by James White.",,True,"The adventures of John of Gaunt, Duke of Lancaster",0.3741525561370849,0.1063655585691171,James,m,4.2105263157894735,2.737633557578156,14.783882783882785,6.674905070509467,90.97069597069596,377.7573830321083,1.2,['fiction'],['unknown']
