id,page_count,pub_date,genre,source_institution
chi.086834356,182,1904,unknown,CHI
chi.086868410,346,1907,unknown,CHI
chi.086202240,74,1886,unknown,CHI
chi.26591726,108,1875,unknown,CHI
chi.086834615,294,1910,unknown,CHI
uiuo.ark:/13960/t17m0xg0w,312,1872,fiction,IUIUC
uiuo.ark:/13960/t1gj02d04,302,1879,fiction,IUIUC
uiuo.ark:/13960/t1tf0fz0x,312,1884,unknown,IUIUC
uiuo.ark:/13960/t78s5br6x,312,1881,fiction,IUIUC
uiuo.ark:/13960/t7mp5q06p,328,1822,unknown,IUIUC
uiuo.ark:/13960/t7mp5mt66,282,1876,fiction,IUIUC
uiuo.ark:/13960/t5w66vw4h,336,1847,unknown,IUIUC
uiuo.ark:/13960/t5h99ss05,350,1860,fiction,IUIUC
uiuo.ark:/13960/t5v69sj03,344,1864,unknown,IUIUC
uiuo.ark:/13960/t7zk61690,212,1876,unknown,IUIUC
uiuo.ark:/13960/t9n30fn3j,296,1870,fiction,IUIUC
uiuo.ark:/13960/t99603532,304,1891,fiction,IUIUC
uiuo.ark:/13960/t9n30823v,316,1835,fiction,IUIUC
uiuo.ark:/13960/t55d9dw78,282,1884,unknown,IUIUC
uiuo.ark:/13960/t55d96d7h,336,1869,unknown,IUIUC
uiuo.ark:/13960/t5w66sg3t,310,1850,unknown,IUIUC
uiuo.ark:/13960/t5w66sx3n,334,1850,unknown,IUIUC
uiuo.ark:/13960/t56d6dh3k,322,1882,fiction,IUIUC
uiuo.ark:/13960/t5j96j43c,268,1870,fiction,IUIUC
uiuo.ark:/13960/t56d64834,342,1892,fiction,IUIUC
uiuo.ark:/13960/t78s51318,320,1872,fiction,IUIUC
uiuo.ark:/13960/t7zk5xw1g,308,1889,unknown,IUIUC
uiuo.ark:/13960/t7mp5pf1p,256,1889,fiction,IUIUC
uiuo.ark:/13960/t3zs39k54,314,1866,unknown,IUIUC
uiuo.ark:/13960/t3223j250,260,1863,fiction,IUIUC
uiuo.ark:/13960/t3zs3cp59,316,1868,unknown,IUIUC
uiuo.ark:/13960/t3223dx5j,302,1860,unknown,IUIUC
uiuo.ark:/13960/t17m0vn7p,308,1877,unknown,IUIUC
