docid	oldauthor	author	authordate	inferreddate	latestcomp	datetype	startdate	enddate	imprint	imprintdate	contents	genres	subjects	geographics	locnum	oclc	place	recordid	instances	allcopiesofwork	copiesin25yrs	enumcron	volnum	title	parttitle	earlyedition	shorttitle	nonficprob	juvenileprob	first_name	estimated_gender
nyp.33433074913496				1789.0	1789.0	s	1789	    	London;Printed by and for J. Nichols;1789.	1789						23628929.0	enk	160276	2	2.0	2.0			The Town talk, | the Fish pool, the Plebeian, the Old Whig, the Spinster, &c., | $c: by the authors of the Tatler, Spectator, and Guardian. Now first collected; with notes and illus.		True	The Town talk, the Fish pool, the Plebeian, the Old Whig, the Spinster, &c	0.9118534046857276	0.3281524587558529		unknown
mdp.39015012371350	Moore, John	Moore, John	1729-1802.	1789.0	1789.0	s	1789	    	London;Printed for A. Strahan & T. Cadell;1789.	1789			Scottish authors|English fiction			4231320.0	enk	243283	2	9.0	5.0	v.1	1.0	Zeluco. | Various views of human nature taken from life and manners, foreign and domestic ...		True	Zeluco. Various views of human nature taken from life and manners, foreign and domestic	0.2367242947204506	0.0266834076985127	John	m
mdp.39015063980125	Hayley, William	Hayley, William	1745-1820.	1789.0	1789.0	s	1789	    	London;Printed for G., G.J. and J. Robinson;1789.	1789						7078406.0	enk	449430	1	1.0	1.0	v.2	2.0	The young widow; | or, the history of Cornelia Sedley, in a series of letters.		True	The young widow; or, the history of Cornelia Sedley, in a series of letters	0.5724976958419273	0.3907163285692937	William	m
mdp.39015078549691	Defoe, Daniel	Defoe, Daniel	1661?-1731.	1789.0	1731.0	s	1789	    	London;Printed for the inhabitants of his island, and sold by F. Power and co. (grandson of the late Mr. John Newbery);1789.	1789						23641039.0	enk	1369059	1	4.0	3.0			The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; | who lived twenty-eight years on an uninhabited island, which he afterwards colonised.		False	The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; who lived twenty-eight years on an uninhabited island, which he afterwards colonised	0.5733219306179812	0.9691172670328728	Daniel	m
mdp.39015078556241	Sheridan, Richard Brinsley	Sheridan, Richard Brinsley	1751-1816.	1789.0	1789.0	s	1789	    	London;Printed for T. Becket;M DCC LXYXIX [i.e. MDCCLXXXIX	"<unparsed=""M DCC LXYXIX [i.e. MDCCLXXXIX]"">"						23643718.0	enk	1369983	1	1.0	1.0			A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane. | Taken from the original story.		True	A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane. Taken from the original story	0.9382147410463838	0.9754019189066232	Richard	m
mdp.39015078570507	Thomson, William	Thomson, William	1746-1817.	1789.0	1789.0	s	1789	    	London;Printed for J. Murray;1789.	1789			Voyages, Imaginary			17914099.0	enk	1427601	1	1.0	1.0	v.1	1.0	Mammuth; | or, Human nature displayed on a grand scale: in a tour with the tinkers, into the inland parts of Africa. | $c: By the man in the moon ...		True	Mammuth; or, Human nature displayed on a grand scale: in a tour with the tinkers, into the inland parts of Africa	0.8116528922814343	0.2002248383084391	William	m
nyp.33433070250349	Lord, Kames, Henry Home	Lord, Kames, Henry Home	1696-1782.	1789.0	1782.0	s	1789	    	Edinburgh;Printed for W. Creech and T. Caddell;1789.	1789	4th ed.,|enl. with additional maxims and illustrations.		Aphorisms and apothegms|Conduct of life|Fables			19490378.0	stk	8621591	1	1.0	1.0			Introduction to the art of thinking.		True	Introduction to the art of thinking	0.8375295110121431	0.1478004640175175	Henry	m
nyp.33433074916465	Mrs. Bennett, (Agnes Maria)	Bennett, (Agnes Maria), Mrs	d. 1808.	1789.0	1789.0	s	1789	    	Bath;Printed and Sold for the Author, by S. Hazard; [etc., etc.;1789.	1789					PZ3.B4357A	6645805.0	enk	8664019	1	1.0	1.0	v. 1	1.0	Agnes de-Courci, | a domestic tale ... | $c: By Mrs. Bennett ...		True	Agnes de-Courci, a domestic tale	0.1539075948655821	0.0428797080644178	Agnes	f
nyp.33433075813281	Saint-Pierre, Bernardin de	Saint-Pierre, Bernardin de	1737-1814.	1789.0	1789.0	s	1789	    	London;Printed for J. Dodsley;1789.	1789			1789			33307338.0	enk	8672125	1	1.0	1.0	v. 1-2	1.0	Paul and Mary, | an Indian story.		True	Paul and Mary, an Indian story	0.914044752608432	0.1574190178909013	Bernardin	m
nyp.33433074918784	White, James	White, James	1803-1862.	1790.0	1790.0	s	1790	    	London;Printed by J. Crowder for G.G.J. and J. Robinson;1790.	1790			of Gaunt, Duke of Lancaster|John|1340-1399			5237679.0	enk	8663985	1	1.0	1.0	v. 1	1.0	The adventures of John of Gaunt, Duke of Lancaster / | $c: by James White.		True	The adventures of John of Gaunt, Duke of Lancaster	0.3741525561370849	0.1063655585691171	James	m
