docid,title,author,inferred_date,pages_fic,pct_fic,totalpages
nyp.33433074913496,The Town talk,<blank>,1789,438,0.94,464
mdp.39015012371350,Zeluco,"Moore, John,",1789,476,0.97,492
mdp.39015063980125,The young widow;,"Hayley, William,",1789,270,0.94,287
mdp.39015078549691,"The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe;","Defoe, Daniel,",1789,128,0.91,140
mdp.39015078556241,"A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane","Sheridan, Richard Brinsley,",1789,18,0.64,28
mdp.39015078570507,Mammuth;,"Thomson, William,",1789,130,0.43,300
nyp.33433070250349,Introduction to the art of thinking,"Kames, Henry Home,",1789,147,0.43,338
nyp.33433074916465,Agnes de-Courci,"Bennett,",1789,266,0.92,290
nyp.33433075813281,Paul and Mary,"Saint-Pierre, Bernardin de,",1789,359,0.95,378
nyp.33433074918784,"The adventures of John of Gaunt, Duke of Lancaster","White, James,",1790,266,0.94,284
njp.32101076879376,The works of Laurence Sterne,"Sterne, Laurence,",1790,247,0.68,364
njp.32101071963480,"The confessions of J.J. Rousseau, citizen of Geneva","Rousseau, Jean-Jacques,",1790,439,0.96,456
njp.32101074629542,The negro equalled by few Europeans;,"Lavallée, Joseph,",1790,206,0.86,240
hvd.hn2u4x,Sketches from nature;,"Keate, George,",1790,214,0.9,238
wu.89044718898,"Travels in Kamtschatka, during the years 1787 and 1788","Lesseps, Jean Baptiste Barthélemy,",1790,209,0.5,422
mdp.39015033367668,The school for widows,"Reeve, Clara,",1791,278,0.96,291
uc2.ark+=13960=t1mg7h137,"The wonder working water-mill displayed with its apparatus, appurtenances, appendages, and operations, or, The mill to grind old people young",<blank>,1791,134,0.75,178
nyp.33433076093644,"The works in verse and prose, of William Shenstone","Shenstone, William,",1791,360,0.94,384
nyp.33433074911466,Celestina,"Smith, Charlotte,",1791,277,0.94,294
nyp.33433074918859,"Elegant tales, histories, and epistles of a moral tendency;","Adams, John,",1791,484,0.97,498
nyp.33433075736912,The death of Abel,"Gessner, Salomon,",1791,152,0.92,166
nyp.33433075819957,The modern hero,"Frere, B.",1791,196,0.91,216
yale.39002032471428,A narrative of the loss of the Grosvenor East Indiaman,"Carter, George,",1791,154,0.8,192
nyp.33433074913348,A simple story,"Inchbald,",1791,241,0.94,256
nyp.33433075814867,Stella,"Florian,",1791,232,0.7,332
njp.32101066479765,The devil upon two sticks in England,"Combe, William,",1791,358,0.73,492
mdp.39015024477674,Anecdotes of the Delborough family,"Gunning,",1792,238,0.94,254
mdp.39015004743731,Dinarbas;,"Knight, Ellis Cornelia,",1792,343,0.96,358
mdp.39015063950276,The romance of the forest,"Radcliffe, Ann Ward,",1792,275,0.95,289
mdp.39015063950284,The romance of the forest,"Radcliffe, Ann Ward,",1792,288,0.96,299
mdp.39015078568303,Hannah Hewit;,"Dibdin, Charles,",1792,220,0.87,252
inu.39000003249765,Man as he is,"Bage, Robert,",1792,299,0.96,312
uc2.ark+=13960=t9t14wb76,Arabian tales;,<blank>,1792,422,0.98,432
nnc1.0038773805,Arabian tales;,<blank>,1792,286,0.89,320
njp.32101048392763,Arabian tales,<blank>,1792,374,0.94,398
hvd.hw2fxw,The miscellaneous works of Dr. Goldsmith,"Goldsmith, Oliver,",1792,198,0.59,338
hvd.hn37v1,"The denial, or The happy retreat;","Thomson, James,",1792,174,0.87,200
mdp.39015031644233,The Minstrel;,<blank>,1793,647,0.97,666
mdp.39015063950128,The castles of Athlin and Dunbayne,"Radcliffe, Ann Ward,",1793,278,0.96,291
