docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
nyp.33433074913496,,1789.0,,,0.9118534046857276,enk,unknown,464,Fiction
mdp.39015012371350,"Moore, John",1789.0,v.1,1.0,0.2367242947204506,enk,m,492,Fiction
mdp.39015063980125,"Hayley, William",1789.0,v.2,2.0,0.5724976958419273,enk,m,288,Fiction
nyp.33433074916465,"Bennett, (Agnes Maria), Mrs",1789.0,v. 1,1.0,0.1539075948655821,enk,f,290,Fiction
nyp.33433075813281,"Saint-Pierre, Bernardin de",1789.0,v. 1-2,1.0,0.914044752608432,enk,m,382,Fiction
nyp.33433074918784,"White, James",1790.0,v. 1,1.0,0.3741525561370849,enk,m,284,Fiction
mdp.39015033367668,"Reeve, Clara",1791.0,v.1,1.0,0.4549522320211186,enk,f,294,Fiction
nyp.33433076093644,"Shenstone, William",1791.0,v. 3,3.0,0.9220268611924464,enk,m,384,Fiction
nyp.33433074911466,"Smith, Charlotte Turner",1791.0,v. 1,1.0,0.0479982980953683,enk,f,302,Fiction
nyp.33433074918859,"Adams, John",1791.0,,,0.373850361843535,enk,m,502,Fiction
nyp.33433075736912,"Gessner, Salomon",1791.0,,,0.5161920175771798,enk,m,166,Fiction
nyp.33433075819957,"Frere, B. (Benjamin)",1791.0,,,0.5073057760837976,enk,m,218,Fiction
nyp.33433074913348,"Inchbald, Mrs",1791.0,v. 1,1.0,0.1183633104924371,enk,unknown,256,Fiction
mdp.39015024477674,"Gunning, (Susannah), Mrs",1792.0,v.1,1.0,0.0350568344873572,enk,f,254,Fiction
mdp.39015004743731,"Knight, Ellis Cornelia",1792.0,,,0.5841972727186601,enk,m,360,Fiction
mdp.39015063950276,"Radcliffe, Ann Ward",1792.0,v.1,1.0,0.1051077755551861,enk,f,294,Fiction
mdp.39015063950284,"Radcliffe, Ann Ward",1792.0,v.2,2.0,0.0684003864216934,enk,f,308,Fiction
inu.39000003249765,"Bage, Robert",1792.0,v.1,1.0,0.2598972756442619,enk,m,322,Fiction
uc2.ark+=13960=t9t14wb76,,1792.0,v.2,2.0,0.3275285661046669,enk,unknown,432,Fiction
mdp.39015031644233,,1793.0,ser.2 no.2666/v.1 1793,2.0,0.2497201244868522,enk,unknown,662,Fiction
mdp.39015063950128,"Radcliffe, Ann Ward",1793.0,,,0.0115607352418429,enk,f,296,Fiction
nyp.33433069322661,"Twiss, Richard",1793.0,,,0.9998673157866808,enk,m,152,Fiction
nyp.33433074911789,"Pilkington, (Mary), Mrs",1793.0,v. 1,1.0,0.1045336707741877,enk,f,290,Fiction
nyp.33433075733406,"Freiherr von, Kneigge, Adolf Franz Friedrich Ludwig",1793.0,v. 2,2.0,0.7030832171422396,enk,m,270,Fiction
njp.32101071963084,"Le Sage, Alain René",1793.0,,,0.2667388954321567,enk,m,284,Fiction
mdp.39015063931482,"Gunning, (Susannah), Mrs",1794.0,v.1,1.0,0.2915339940109018,enk,f,238,Fiction
mdp.39015021250124,"Bennett, (Agnes Maria), Mrs",1794.0,v.1,1.0,0.0525513002867766,enk,f,504,Fiction
nyp.33433074910815,"Smith, Charlotte Turner",1794.0,,,0.2357052817548036,enk,f,302,Fiction
nyp.33433074955117,"Miss Gunning, (Elizabeth)",1794.0,v. 1,1.0,0.1075231914151584,enk,f,206,Fiction
dul1.ark+=13960=t15m6t508,"Naubert, Benedikte",1794.0,v.1,1.0,0.1705286058378296,enk,f,288,Fiction
mdp.39015063546520,"Cumberland, Richard",1795.0,v.1,1.0,0.1639454318489499,enk,m,324,Fiction
njp.32101036889531,"Smith, Charlotte Turner",1795.0,v.2,2.0,0.0699816175820121,enk,f,262,Fiction
njp.32101036889523,"Smith, Charlotte Turner",1795.0,v.3,3.0,0.0303367805744587,enk,f,308,Fiction
nyp.33433074911599,"Smith, Charlotte Turner",1795.0,v. 1,1.0,0.116355072859685,enk,f,282,Fiction
nyp.33433074909957,"Cumberland, Richard",1795.0,v. 1,1.0,0.0712754962101485,enk,m,340,Fiction
yale.39002088372348,"Radcliffe, Ann Ward",1795.0,v.1,1.0,0.9419094177621492,enk,f,500,Fiction
mdp.39015063758570,,1796.0,v.1,1.0,0.3015450788879298,enk,unknown,222,Fiction
mdp.39015027179251,"Walker, George",1796.0,v.1,1.0,0.1084667480149375,enk,m,276,Fiction
uc2.ark+=13960=t58c9t67v,"Hoccleve, Thomas",1796.0,,,0.9690954373577912,enk,m,220,Fiction
nyp.33433075896377,"Hamilton, Elizabeth",1796.0,v. 1,1.0,0.6798119886300359,enk,f,356,Fiction
njp.32101037606348,"Whitmore, H",1796.0,,,0.5616543995635694,enk,unknown,252,Fiction
mdp.39015020051689,"West, (Jane), Mrs",1797.0,,,0.2974087356720879,enk,f,484,Fiction
uc2.ark+=13960=t9668b76d,"Le Sage, Alain René",1797.0,v.1,1.0,0.3005962956828372,enk,m,392,Fiction
njp.32101037042528,"Lewis, Alethea",1797.0,v.1,1.0,0.230546647274177,enk,unknown,288,Fiction
hvd.hn6nfx,"Madame Leprince de Beaumont, (Jeanne-Marie)",1798.0,v.1,1.0,0.8273457929028376,enk,f,364,Fiction
mdp.39015030679487,"Meeke, Mary",1799.0,v.1,1.0,0.0717290699719222,enk,f,268,Fiction
nyp.33433074911748,"Robinson, Mary Darby",1799.0,v. 1,1.0,0.0345795987053442,enk,f,348,Fiction
nyp.33433074918768,"Walker, George",1799.0,v. 1,1.0,0.39019888516039,enk,m,270,Fiction
njp.32101074630169,"Lafontaine, August Heinrich Julius",1799.0,vol. 1,1.0,0.3072059243528784,enk,m,350,Fiction
njp.32101076970548,"Lantier, Etienne François de",1799.0,v.3,3.0,0.7767125503665178,enk,m,436,Fiction|France|Novels
nyp.33433074911540,"Smith, Charlotte Turner",1800.0,v. 1,1.0,0.0729271226107538,enk,f,326,Fiction
nyp.33433074911557,"Smith, Charlotte Turner",1800.0,v. 2,2.0,0.0,enk,f,332,Fiction
nyp.33433074911565,"Smith, Charlotte Turner",1800.0,v. 3,3.0,0.1641873639080721,enk,f,400,Fiction
nyp.33433074911573,"Smith, Charlotte Turner",1800.0,v. 4,4.0,0.0,enk,f,296,Fiction
nyp.33433074911581,"Smith, Charlotte Turner",1800.0,v. 5,5.0,0.0,enk,f,318,Fiction
uc2.ark+=13960=t80k2b055,"Surtees, Robert Smith",1800.0,,,0.0577965158242794,enk,m,484,Fiction|Novel
nyp.33433074955034,"Lathom, Francis",1800.0,v. 1,1.0,0.1069724621034902,enk,m,366,Fiction
nyp.33433075813646,Voltaire,1800.0,,,0.8330118278723223,enk,m,164,Fiction
nyp.33433074913264,"Hervey, Elizabeth",1800.0,v. 1,1.0,0.0457672055551592,enk,f,318,Fiction
uiuo.ark+=13960=t9572451c,Croffts,1800.0,v.1,1.0,0.1369403002708001,enk,unknown,304,Fiction
uiuo.ark+=13960=t7cr6hq4j,"Hamilton, Elizabeth",1800.0,v.1,1.0,0.1397347815069531,enk,f,364,Fiction
wu.89099223356,"Trollope, Frances Milton",1800.0,,,0.0277783621048112,enk,f,432,Fiction
ucm.5320307018,,1800.0,,,0.8259872284425493,enk,unknown,462,Fiction
njp.32101037604772,"Du Bois, Edward",1800.0,,,0.0,enk,m,274,Fiction
hvd.hn2he5,,1800.0,,,0.0,enk,unknown,236,Fiction
mdp.39015065769419,"Surr, T. S. (Thomas Skinner)",1801.0,v.1,1.0,0.1881851618803979,enk,m,270,Fiction
nyp.33433074911300,"Summersett, Henry",1801.0,v. 1,1.0,0.0,enk,m,254,Fiction
uiuo.ark+=13960=t2k64tq5z,"Damer, Anne Seymour Conway",1801.0,v.1,1.0,0.1976536249759025,enk,f,274,Fiction
uiuo.ark+=13960=t6nz8qp53,"Acton, Eugenia de",1801.0,v.1,1.0,0.5201005742356664,enk,f,288,Fiction
uiuo.ark+=13960=t5h99gq2h,"Du Bois, Edward",1801.0,v.1,1.0,0.0,enk,m,240,Fiction
uiuo.ark+=13960=t44q8kw5h,"Helme, Elizabeth",1801.0,v.1,1.0,0.0670448099326745,enk,f,298,Fiction
njp.32101068167194,"Dallas, Robert Charles",1801.0,vol.1,1.0,0.1039942885138093,enk,m,346,Fiction
njp.32101074210913,"Williams, Helen Maria",1801.0,v.1,1.0,0.3838773550582113,enk,f,346,Fiction
njp.32101065836585,"Meeke, Mary",1801.0,vol.1,1.0,0.0452545617929022,enk,f,290,Fiction
hvd.32044018178632,"Pérez de Hita, Ginés",1801.0,,,0.904271009249076,enk,unknown,468,Fiction
mdp.39015027528697,"Lucas, Charles",1802.0,v.4,4.0,0.0,enk,m,392,Fiction
nnc1.0037105930,,1802.0,v.1,1.0,0.3486499926979503,enk,unknown,264,Fiction
nyp.33433081958500,"Mercier, Louis-Sébastien",1802.0,,,0.8910852844740396,enk,m,318,Fiction
uiuo.ark+=13960=t22b9bx7f,"Cullen, Margaret",1802.0,v.1,1.0,0.3159336153469546,enk,f,350,Fiction
nyp.33433074954953,"Cullen, Margaret",1802.0,v. 2,2.0,0.0,enk,f,324,Fiction
uiuo.ark+=13960=t2z32gn5j,West,1802.0,v.1,1.0,0.0,enk,unknown,326,Fiction
dul1.ark+=13960=t9f48pv82,,1802.0,v.1,1.0,,enk,unknown,234,Fiction
uc1.$b248234,,1803.0,v.1-2,1.0,0.1275525410723467,enk,unknown,380,Fiction
uc1.$b250118,,1803.0,v.1,1.0,0.1096837949030059,enk,unknown,394,Fiction
uc1.$b278751,Montjoye,1803.0,v.1,1.0,0.3788313205394193,enk,unknown,258,Fiction
nyp.33433051569915,"Karamzin, Nikolaĭ Mikhaĭlovich",1803.0,,,0.0807815522823972,enk,m,286,Fiction
