author	inferreddate	shorttitle	place
	1789.0	The Town talk, the Fish pool, the Plebeian, the Old Whig, the Spinster, &c	enk
Moore, John	1789.0	Zeluco. Various views of human nature taken from life and manners, foreign and domestic	enk
Hayley, William	1789.0	The young widow; or, the history of Cornelia Sedley, in a series of letters	enk
Campe, Joachim Heinrich	1789.0	The new Robinson Crusoe; an instructive and entertaining history, for the use of children of both sexes. Tr. from the French. Embellished with thirty-two beautiful cuts	enk
Defoe, Daniel	1789.0	The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; who lived twenty-eight years on an uninhabited island, which he afterwards colonised	enk
Sheridan, Richard Brinsley	1789.0	A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane. Taken from the original story	enk
Thomson, William	1789.0	Mammuth; or, Human nature displayed on a grand scale: in a tour with the tinkers, into the inland parts of Africa	enk
Lord, Kames, Henry Home	1789.0	Introduction to the art of thinking	stk
Reeve, Clara	1789.0	The Old English Baron : A Gothic story	enk
Bennett, (Agnes Maria), Mrs	1789.0	Agnes de-Courci, a domestic tale	enk
Saint-Pierre, Bernardin de	1789.0	Paul and Mary, an Indian story	enk
Swift, Jonathan	1790.0	The adventures of Captain Gulliver, in a voyage to the islands of Lilliput and Brobdignag	enk
White, James	1790.0	The adventures of John of Gaunt, Duke of Lancaster	enk
Sterne, Laurence	1790.0	The works of Laurence Sterne : complete in eight volumes	enk
Rousseau, Jean-Jacques	1790.0	The confessions of J.J. Rousseau, citizen of Geneva : part the second ; to which is added, a new collection of letters from the author ; translated from the French	enk
Lavallée, Joseph	1790.0	The negro equalled by few Europeans;	enk
Keate, George	1790.0	Sketches from nature; taken, and coloured, in a journey to Margate. Published from the original designs	enk
baron de, Lesseps, Jean-Baptiste-Barthélemy	1790.0	Travels in Kamtschatka, during the years 1787 and 1788	enk
Reeve, Clara	1791.0	The school for widows. A novel	enk
	1791.0	The wonder working water-mill displayed with its apparatus, appurtenances, appendages, and operations, or, The mill to grind old people young	enk
Shenstone, William	1791.0	The works in verse and prose, of William Shenstone	enk
Smith, Charlotte Turner	1791.0	Celestina. A novel	enk
Adams, John	1791.0	Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects	enk
Gessner, Salomon	1791.0	The death of Abel. In five books	enk
Frere, B. (Benjamin)	1791.0	The modern hero, in the kingdom of Cathai. In the year 90000	enk
Carter, George	1791.0	A narrative of the loss of the Grosvenor East Indiaman : which was unfortunately wrecked upon the coast of Caffraria, somewhere between the 27th and 32d degrees of southern latitude, on the 4th of August, 1782	enk
Inchbald, Mrs	1791.0	A simple story. In four volumes	enk
Florian	1791.0	Stella	enk
Combe, William	1791.0	The devil upon two sticks in England : being a continuation of Le diable boiteux of Le Sage	enk
Gunning, (Susannah), Mrs	1792.0	Anecdotes of the Delborough family. A novel	enk
Knight, Ellis Cornelia	1792.0	Dinarbas; a tale: being a continuation of Rasselas, prince of Abissinia	enk
Radcliffe, Ann Ward	1792.0	The romance of the forest: interspersed with some pieces of poetry	enk
Radcliffe, Ann Ward	1792.0	d ed	enk
Dibdin, Charles	1792.0	Hannah Hewit; or, The female Crusoe. Being the history of a woman ... who ... was cast away in the Grosvenor East-Indiaman: and became for three years the sole inhabitant of an island, in the South Seas	enk
Radcliffe, Ann Ward	1792.0	A Sicilian romance	enk
Bage, Robert	1792.0	Man as he is : a novel	enk
	1792.0	Arabian tales;	enk
