author	inferreddate	shorttitle	place	genres	first_name	estimated_gender
	1789.0	The Town talk, the Fish pool, the Plebeian, the Old Whig, the Spinster, &c	enk			unknown
Moore, John	1789.0	Zeluco. Various views of human nature taken from life and manners, foreign and domestic	enk		John	m
Hayley, William	1789.0	The young widow; or, the history of Cornelia Sedley, in a series of letters	enk		William	m
Defoe, Daniel	1789.0	The wonderful life, and surprising adventures, of that renowned hero, Robinson Crusoe; who lived twenty-eight years on an uninhabited island, which he afterwards colonised	enk		Daniel	m
Sheridan, Richard Brinsley	1789.0	A short account of the situations and incidents exhibited in the pantomime of Robinson Crusoe, at the Theatre royal, Drury-Lane. Taken from the original story	enk		Richard	m
Thomson, William	1789.0	Mammuth; or, Human nature displayed on a grand scale: in a tour with the tinkers, into the inland parts of Africa	enk		William	m
Lord, Kames, Henry Home	1789.0	Introduction to the art of thinking	stk		Henry	m
Bennett, (Agnes Maria), Mrs	1789.0	Agnes de-Courci, a domestic tale	enk		Agnes	f
Saint-Pierre, Bernardin de	1789.0	Paul and Mary, an Indian story	enk		Bernardin	m
White, James	1790.0	The adventures of John of Gaunt, Duke of Lancaster	enk		James	m
Sterne, Laurence	1790.0	The works of Laurence Sterne : complete in eight volumes	enk		Laurence	f
Rousseau, Jean-Jacques	1790.0	The confessions of J.J. Rousseau, citizen of Geneva : part the second ; to which is added, a new collection of letters from the author ; translated from the French	enk		Jean	m
Lavallée, Joseph	1790.0	The negro equalled by few Europeans;	enk		Joseph	m
Keate, George	1790.0	Sketches from nature; taken, and coloured, in a journey to Margate. Published from the original designs	enk		George	m
baron de, Lesseps, Jean-Baptiste-Barthélemy	1790.0	Travels in Kamtschatka, during the years 1787 and 1788	enk		Jean	m
Reeve, Clara	1791.0	The school for widows. A novel	enk		Clara	f
	1791.0	The wonder working water-mill displayed with its apparatus, appurtenances, appendages, and operations, or, The mill to grind old people young	enk			unknown
Shenstone, William	1791.0	The works in verse and prose, of William Shenstone	enk		William	m
Smith, Charlotte Turner	1791.0	Celestina. A novel	enk		Charlotte	f
Adams, John	1791.0	Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects	enk		John	m
Gessner, Salomon	1791.0	The death of Abel. In five books	enk		Salomon	m
Frere, B. (Benjamin)	1791.0	The modern hero, in the kingdom of Cathai. In the year 90000	enk		Benjamin	m
Carter, George	1791.0	A narrative of the loss of the Grosvenor East Indiaman : which was unfortunately wrecked upon the coast of Caffraria, somewhere between the 27th and 32d degrees of southern latitude, on the 4th of August, 1782	enk		George	m
Inchbald, Mrs	1791.0	A simple story. In four volumes	enk		Mrs	unknown
Florian	1791.0	Stella	enk		Florian	m
Combe, William	1791.0	The devil upon two sticks in England : being a continuation of Le diable boiteux of Le Sage	enk		William	m
Gunning, (Susannah), Mrs	1792.0	Anecdotes of the Delborough family. A novel	enk		Susannah	f
Knight, Ellis Cornelia	1792.0	Dinarbas; a tale: being a continuation of Rasselas, prince of Abissinia	enk		Ellis	m
Radcliffe, Ann Ward	1792.0	The romance of the forest: interspersed with some pieces of poetry	enk		Ann	f
Radcliffe, Ann Ward	1792.0	d ed	enk		Ann	f
Dibdin, Charles	1792.0	Hannah Hewit; or, The female Crusoe. Being the history of a woman ... who ... was cast away in the Grosvenor East-Indiaman: and became for three years the sole inhabitant of an island, in the South Seas	enk		Charles	m
Bage, Robert	1792.0	Man as he is : a novel	enk		Robert	m
	1792.0	Arabian tales;	enk			unknown
	1792.0	Arabian tales; or, A continuation of the Arabian nights entertainments	stk			unknown
	1792.0	Arabian tales : being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories	stk			unknown
Goldsmith, Oliver	1792.0	The miscellaneous works of Dr. Goldsmith : in four volumes, containing the Citizen of the World, The Vicar of Wakefield, essays, poems and plays	stk		Oliver	m
Thomson, James	1792.0	The denial, or The happy retreat; a novel	enk		James	m
	1793.0	The Minstrel; or, Anecdotes of distinguished personages in the fifteenth century [a novel]	enk			unknown
Radcliffe, Ann Ward	1793.0	The castles of Athlin and Dunbayne. A Highland story	enk		Ann	f
Moore, W. (Wilson)	1793.0	A ramble through Holland, France, and Italy	enk		Wilson	m
Talisīn-al-Dīn	1793.0	The loves of Cámarúpa and Cámalatà : an ancient Indian tale : elucidating the customs and manners of the Orientals : in a series of adventures of Rajah Cámarúpa and his companions	enk		Talisn	unknown
Aesop	1793.0	The Fables	enk		Aesop	unknown
Newton, John	1793.0		enk		John	m
Sterne, Laurence	1793.0	The works of Laurence Sterne	enk		Laurence	f
Twiss, Richard	1793.0	A trip to Paris in July and August, 1792	enk		Richard	m
	1793.0	The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;	enk			unknown
Countess of, Strathmore, Mary Eleanor Bowes	1793.0	The confessions of the Countess of Strathmore;	enk		Mary	f
Pilkington, (Mary), Mrs	1793.0	Rosina: a novel	enk		Mary	f
Freiherr von, Kneigge, Adolf Franz Friedrich Ludwig	1793.0	The German Gil Blas; or The adventures of Peter Claus	enk		Adolf	m
	1793.0	The fables of AEsop : with a life of the author : and embellished with one hundred & twelve plates	enk			unknown
Franklin, Benjamin	1793.0	Works of the late Doctor Benjamin Franklin, consisting of his life written by himself, together with Essays, humorous, moral & literary, chiefly in the manner of the Spectator. In two volumes	enk		Benjamin	m
Le Sage, Alain René	1793.0	The devil upon two sticks : translated from the Diable boiteaux of M. Le Sage : embellished with engravings : to which are prefixed Asmodeus's crutches, a critical letter upon the work, and Dialogues between two chimnies of Madrid	enk		Alain	m
Hayley, William	1793.0	A philosophical, historical, and moral essay on old maids	enk		William	m
Franklin, Benjamin	1793.0	Works of the late Doctor Benjamin Franklin, consisting of his life written by himself, together with Essays, humorous, moral & literary, chiefly in the manner of the Spectator	enk		Benjamin	m
Gunning, (Susannah), Mrs	1794.0	Memoirs of Mary, a novel	enk		Susannah	f
Bennett, (Agnes Maria), Mrs	1794.0	Ellen, Countess of Castle Howel, a novel	enk		Agnes	f
Naubert, Benedikte	1794.0	Herman of Unna: a series of adventures of the fifteenth century, in which the proceedings of the secret tribunal under the emperors Winceslaus and Sigismond, are delineated	enk		Benedikte	f
Naubert, Benedikte	1794.0	d ed	enk		Benedikte	f
Moser, Joseph	1794.0	Turkish tales	enk		Joseph	m
Smith, Charlotte Turner	1794.0	The wanderings of Warwick	enk		Charlotte	f
Miss Gunning, (Elizabeth)	1794.0	The packet: a novel	enk		Elizabeth	f
Sterne, Laurence	1794.0	The letters of the late Laurence Sterne to his most intimate friends : with a fragment in the manner of Rabelais	enk		Laurence	f
Davies, J	1794.0	Adolescence; or, Juvenile prosperity and cottage friendship	enk		J	unknown
Naubert, Benedikte	1794.0	Herman of Unna	enk		Benedikte	f
Cumberland, Richard	1795.0	Arundel	enk		Richard	m
Smith, Charlotte Turner	1795.0	d ed	enk		Charlotte	f
Smith, Charlotte Turner	1795.0	The banished man: a novel	enk		Charlotte	f
Smith, Charlotte Turner	1795.0	Montalbert : a novel	enk		Charlotte	f
	1795.0	The life of John Metcalf, commonly called Blind Jack of Knaresborough. With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire	enk			unknown
Trenck, Friedrich	1795.0	The life and surprising adventures of Frederick Baron Trenck	enk		Friedrich	m
Lavater, Johann Caspar	1795.0	Secret journal of a self-observer	enk		Johann	m
Cumberland, Richard	1795.0	Henry;	enk		Richard	m
