volume_key,volume_count
"[novels]::lytton, edward bulwer lytton, baron",2
a country gentleman and his family::oliphant,2
"children of the ghetto::zangwill, israel",2
"emilie de coulanges.  the absentee::edgeworth, maria",2
"evan harrington::meredith, george",2
"general index::carlyle, thomas",2
"good for nothing::whyte-melville, g. j. (george john)",2
"gryll grange::peacock, thomas love",2
"gulliver's travels into several remote nations of the world::swift, jonathan",2
"heartsease; or, the brother's wife::yonge, charlotte m. (charlotte mary)",2
"high-ways and by-ways;::grattan, thomas colley",2
"holmby house::whyte-melville, g. j. (george john)",2
"john inglesant;::shorthouse, j. h. (joseph henry)",2
"kate coventry::whyte-melville, g. j. (george john)",2
legends of westmorland and the lake district::,2
"little novels of italy::hewlett, maurice henry",2
"mount royal::braddon, m. e. (mary elizabeth)",2
"my little girl::besant, walter, sir",2
"robinson crusoe::defoe, daniel",2
"romantic tales::lewis, m. g. (matthew gregory)",2
standard novels::,2
"tales and novels::edgeworth, maria",2
"the adventures of harry richmond::meredith, george",2
the arabian nights' entertainments::,3
"the boy in grey and other stories and sketches::kingsley, henry",2
"the child wife::reid, mayne",2
"the decameron::boccaccio, giovanni",2
the fables of pilpay::,3
the humour of russia::,3
"the miscellaneous works of oliver goldsmith::goldsmith, oliver",2
"the new prince fortunatus::black, william",3
"the novels of captain marryat::marryat, frederick",2
"the rival crusoes::st. john, percy b. (percy bolingbroke)",2
"the seer; or, common-places refreshed::hunt, leigh",2
"the story of barbara::braddon, m. e. (mary elizabeth)",2
"the thousand and one nights, commonly called, in england, the arabian nights' entertainments. a new translation from the arabic, with copious notes::",2
the volsunga saga::,3
"the waverley novels::scott, walter, sir",4
"the whole works of king alfred the great, with preliminary essays, illustrative of the history, arts, and manners, of the ninth century::king of england, alfred",2
"the works of charles dickens::dickens, charles",3
"the works of daniel defoe, carefully selected from the most authentic sources. with chalmers' life of the author, annotated::defoe, daniel",2
"the works of douglas jerrold::jerrold, douglas william",2
"the works of jonathan swift ... carefully selected: with a biography of the author::swift, jonathan",2
"the works of laurence sterne::sterne, laurence",2
"the works of tobias smollett::smollett, t. (tobias)",2
"the works of william makepeace thackeray::thackeray, william makepeace",5
"waverley novels::scott, walter, sir",10
"waverly novels::scott, walter, sir",2
"works::thackeray, william makepeace",2
