docid,author,inferreddate,enumcron,volnum,nonficprob,place,estimated_gender,page_count,genre
nyp.33433074913496,,1789.0,,,0.9118534046857276,enk,unknown,464,Fiction
mdp.39015012371350,"Moore, John",1789.0,v.1,1.0,0.2367242947204506,enk,m,492,Fiction
mdp.39015063980125,"Hayley, William",1789.0,v.2,2.0,0.5724976958419273,enk,m,288,Fiction
mdp.39015078549691,"Defoe, Daniel",1789.0,,,0.5733219306179812,enk,m,140,unknown
mdp.39015078556241,"Sheridan, Richard Brinsley",1789.0,,,0.9382147410463838,enk,m,28,unknown
mdp.39015078570507,"Thomson, William",1789.0,v.1,1.0,0.8116528922814343,enk,m,300,unknown
nyp.33433070250349,"Lord, Kames, Henry Home",1789.0,,,0.8375295110121431,stk,m,340,unknown
nyp.33433074916465,"Bennett, (Agnes Maria), Mrs",1789.0,v. 1,1.0,0.1539075948655821,enk,f,290,Fiction
nyp.33433075813281,"Saint-Pierre, Bernardin de",1789.0,v. 1-2,1.0,0.914044752608432,enk,m,382,Fiction
nyp.33433074918784,"White, James",1790.0,v. 1,1.0,0.3741525561370849,enk,m,284,Fiction
njp.32101076879376,"Sterne, Laurence",1790.0,vol. 1,1.0,0.3593651725233566,enk,f,364,unknown
njp.32101071963480,"Rousseau, Jean-Jacques",1790.0,vol. 1,1.0,0.6971490928414618,enk,m,456,unknown
njp.32101074629542,"Lavallée, Joseph",1790.0,vol.1,1.0,0.216788284389563,enk,m,240,unknown
hvd.hn2u4x,"Keate, George",1790.0,v.2,2.0,0.2286608797650275,enk,m,238,unknown
wu.89044718898,"baron de, Lesseps, Jean-Baptiste-Barthélemy",1790.0,2,2.0,0.9421617260676513,enk,m,422,unknown
mdp.39015033367668,"Reeve, Clara",1791.0,v.1,1.0,0.4549522320211186,enk,f,294,Fiction
uc2.ark+=13960=t1mg7h137,,1791.0,,,0.4925260804332098,enk,unknown,178,unknown
nyp.33433076093644,"Shenstone, William",1791.0,v. 3,3.0,0.9220268611924464,enk,m,384,Fiction
nyp.33433074911466,"Smith, Charlotte Turner",1791.0,v. 1,1.0,0.0479982980953683,enk,f,302,Fiction
nyp.33433074918859,"Adams, John",1791.0,,,0.373850361843535,enk,m,502,Fiction
nyp.33433075736912,"Gessner, Salomon",1791.0,,,0.5161920175771798,enk,m,166,Fiction
nyp.33433075819957,"Frere, B. (Benjamin)",1791.0,,,0.5073057760837976,enk,m,218,Fiction
yale.39002032471428,"Carter, George",1791.0,,,0.9054088601688076,enk,m,192,unknown
nyp.33433074913348,"Inchbald, Mrs",1791.0,v. 1,1.0,0.1183633104924371,enk,unknown,256,Fiction
nyp.33433075814867,Florian,1791.0,v. 1-2,1.0,0.5599474146492057,enk,m,332,unknown
njp.32101066479765,"Combe, William",1791.0,v.1-2,1.0,0.4681734718838014,enk,m,492,unknown
mdp.39015024477674,"Gunning, (Susannah), Mrs",1792.0,v.1,1.0,0.0350568344873572,enk,f,254,Fiction
mdp.39015004743731,"Knight, Ellis Cornelia",1792.0,,,0.5841972727186601,enk,m,360,Fiction
mdp.39015063950276,"Radcliffe, Ann Ward",1792.0,v.1,1.0,0.1051077755551861,enk,f,294,Fiction
mdp.39015063950284,"Radcliffe, Ann Ward",1792.0,v.2,2.0,0.0684003864216934,enk,f,308,Fiction
mdp.39015078568303,"Dibdin, Charles",1792.0,v.1,1.0,0.6335347238409798,enk,m,252,unknown
inu.39000003249765,"Bage, Robert",1792.0,v.1,1.0,0.2598972756442619,enk,m,322,Fiction
uc2.ark+=13960=t9t14wb76,,1792.0,v.2,2.0,0.3275285661046669,enk,unknown,432,Fiction
nnc1.0038773805,,1792.0,v.1,1.0,0.1540599247396923,stk,unknown,320,unknown
njp.32101048392763,,1792.0,v.1,1.0,0.2025917691489518,stk,unknown,400,unknown
hvd.hw2fxw,"Goldsmith, Oliver",1792.0,v.3,3.0,0.2252573845133653,stk,m,338,unknown
hvd.hn37v1,"Thomson, James",1792.0,v.2,2.0,0.0844747145427709,enk,m,200,unknown
mdp.39015031644233,,1793.0,ser.2 no.2666/v.1 1793,2.0,0.2497201244868522,enk,unknown,662,Fiction
mdp.39015063950128,"Radcliffe, Ann Ward",1793.0,,,0.0115607352418429,enk,f,296,Fiction
mdp.39015065998067,"Moore, W. (Wilson)",1793.0,v.1,1.0,0.8049014327084107,enk,m,320,unknown
mdp.39015027523300,Talisīn-al-Dīn,1793.0,,,0.5535198766551244,enk,unknown,302,unknown
uc2.ark+=13960=t6d21t12k,Aesop,1793.0,v.1,1.0,0.9284269677825168,enk,unknown,364,unknown
mdp.39015038670421,"Newton, John",1793.0,v.1,1.0,0.9897444878165358,enk,m,342,unknown
uc2.ark+=13960=t8pc2z66x,"Sterne, Laurence",1793.0,v.2,2.0,0.3995204964628485,enk,f,318,unknown
nyp.33433069322661,"Twiss, Richard",1793.0,,,0.9998673157866808,enk,m,152,Fiction
nyp.33433074931506,,1793.0,,,0.8617990460781128,enk,unknown,444,unknown
nyp.33433082412309,"Countess of, Strathmore, Mary Eleanor Bowes",1793.0,,,0.9541387040688524,enk,f,114,unknown
nyp.33433074911789,"Pilkington, (Mary), Mrs",1793.0,v. 1,1.0,0.1045336707741877,enk,f,290,Fiction
nyp.33433075733406,"Freiherr von, Kneigge, Adolf Franz Friedrich Ludwig",1793.0,v. 2,2.0,0.7030832171422396,enk,m,270,Fiction
nyp.33433088073691,,1793.0,v. 1,1.0,0.902972439552745,enk,unknown,364,unknown
njp.32101068932738,"Franklin, Benjamin",1793.0,vol.1,1.0,0.9163291112002172,enk,m,340,unknown
njp.32101071963084,"Le Sage, Alain René",1793.0,,,0.2667388954321567,enk,m,284,Fiction
hvd.32044087388963,"Hayley, William",1793.0,v.1,1.0,0.4238601756810486,enk,m,298,unknown
hvd.hn1km3,"Franklin, Benjamin",1793.0,v.2,2.0,0.9332012064421408,enk,m,340,unknown
mdp.39015063931482,"Gunning, (Susannah), Mrs",1794.0,v.1,1.0,0.2915339940109018,enk,f,238,Fiction
mdp.39015021250124,"Bennett, (Agnes Maria), Mrs",1794.0,v.1,1.0,0.0525513002867766,enk,f,504,Fiction
mdp.39015064447561,"Naubert, Benedikte",1794.0,v.1,1.0,0.1025239182753981,enk,f,574,unknown
mdp.39015064447553,"Naubert, Benedikte",1794.0,v.2,2.0,0.0472238517102797,enk,f,296,unknown
nnc1.1002330652,"Moser, Joseph",1794.0,v.1,1.0,0.2629399340547395,enk,m,216,unknown
nyp.33433074910815,"Smith, Charlotte Turner",1794.0,,,0.2357052817548036,enk,f,302,Fiction
nyp.33433074955117,"Miss Gunning, (Elizabeth)",1794.0,v. 1,1.0,0.1075231914151584,enk,f,206,Fiction
nyp.33433074926092,"Sterne, Laurence",1794.0,,,0.9649522866408224,enk,f,278,unknown
njp.32101037605548,"Davies, J",1794.0,,,0.8102001232201284,enk,unknown,178,unknown
dul1.ark+=13960=t15m6t508,"Naubert, Benedikte",1794.0,v.1,1.0,0.1705286058378296,enk,f,288,Fiction
mdp.39015063546520,"Cumberland, Richard",1795.0,v.1,1.0,0.1639454318489499,enk,m,324,Fiction
njp.32101036889531,"Smith, Charlotte Turner",1795.0,v.2,2.0,0.0699816175820121,enk,f,262,Fiction
njp.32101036889523,"Smith, Charlotte Turner",1795.0,v.3,3.0,0.0303367805744587,enk,f,308,Fiction
nyp.33433074911599,"Smith, Charlotte Turner",1795.0,v. 1,1.0,0.116355072859685,enk,f,282,Fiction
mdp.39015021028801,,1795.0,,,0.9530786431559698,enk,unknown,176,unknown
uc2.ark+=13960=t0tq5sd9m,"Trenck, Friedrich",1795.0,,,0.9371368392312458,enk,m,112,unknown
uc2.ark+=13960=t8bg2jx69,"Lavater, Johann Caspar",1795.0,v.1,1.0,0.6758895640353669,enk,m,302,unknown
nyp.33433074909957,"Cumberland, Richard",1795.0,v. 1,1.0,0.0712754962101485,enk,m,340,Fiction
yale.39002088372348,"Radcliffe, Ann Ward",1795.0,v.1,1.0,0.9419094177621492,enk,f,500,Fiction
njp.32101079667026,"Quevedo, Francisco de",1795.0,,,0.3040398074535623,enk,m,298,unknown
mdp.39015063962032,,1796.0,,,0.4220999745299315,enk,unknown,484,unknown
mdp.39015063758570,,1796.0,v.1,1.0,0.3015450788879298,enk,unknown,222,Fiction
mdp.39015027179251,"Walker, George",1796.0,v.1,1.0,0.1084667480149375,enk,m,276,Fiction
mdp.39015009232102,"Wollstonecraft, Mary",1796.0,,,0.5194936305899667,enk,f,180,unknown
mdp.39015064408506,"Cramer, Karl Gottlieb",1796.0,v.1,1.0,0.2089698134146849,enk,m,362,unknown
mdp.39015031938452,"Wieland, Christoph Martin",1796.0,v.1,1.0,0.5325106973936996,enk,m,316,unknown
uc2.ark+=13960=t58c9t67v,"Hoccleve, Thomas",1796.0,,,0.9690954373577912,enk,m,220,Fiction
uc2.ark+=13960=t5t728t8q,"Burney, Fanny",1796.0,v.3,3.0,0.1188339988782155,enk,f,486,unknown
nyp.33433075896377,"Hamilton, Elizabeth",1796.0,v. 1,1.0,0.6798119886300359,enk,f,356,Fiction
nyp.33433067290126,"Rowe, Elizabeth Singer",1796.0,v. 1,1.0,0.2698202112260958,enk,f,348,unknown
nyp.33433067290159,"Rowe, Elizabeth Singer",1796.0,v. 4,4.0,0.6367569934568718,enk,f,400,unknown
njp.32101072911967,"M. d' Auvigny, (Jean Du Castre)",1796.0,vol. 1,1.0,0.1132249699015757,enk,m,368,unknown
njp.32101037606348,"Whitmore, H",1796.0,,,0.5616543995635694,enk,unknown,252,Fiction
hvd.hn6d2a,,1796.0,,,0.2295944721760008,enk,unknown,36,Fiction
