gutenberg_id,title,subjects,bookshelves,languages,copyright,media_type,download_count,authors,translators,summaries,formats
2814,Dubliners,Dublin (Ireland) -- Fiction; Short stories,Banned Books from Anne Haight's list; Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,11288,"Joyce, James (1882-1941)",,"""Dubliners"" by James Joyce is a collection of short stories written in the late 19th century. The stories explore the everyday lives and struggles of the residents of Dublin, offering a poignant and often critical look at the themes of paralysis, identity, and the quest for meaning within the constraints of society. The opening story, ""The Sisters,"" sets the tone for the collection by introducing a young boy reflecting on the death of Father Flynn, a priest who had a significant, albeit troubling, influence on his life.  The opening of ""Dubliners"" begins with the story ""The Sisters,"" which recounts a young boy's complicated feelings following the death of Father Flynn, a friend and mentor. The boy feels a mix of sorrow and relief at the priest's passing, as he recalls ambiguous moments from their relationship. While visiting the house of mourning, interactions between the boy, his relatives, and other family friends reveal conflicting views about Father Flynn's character and his past. Through vivid descriptions and subtle emotions, Joyce conveys themes of death, guilt, and the search for understanding, leaving the reader with a sense of impending complexity that resonates throughout the entire collection. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/2814.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/2814/2814-h/2814-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/2814.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/2814.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/2814.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/2814/2814-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/2814.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/2814/pg2814.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/2814/pg2814-h.zip
3090,Complete Original Short Stories of Guy De Maupassant,"French fiction -- Translations into English; Short stories, French -- Translations into English",Browsing: Fiction; Browsing: Literature,en,False,Text,7177,"Maupassant, Guy de (1850-1893)","Henderson, A. E. (None-None); McMaster, Albert Cohn (None-None); Quesada, Louise Charlotte Garstin (None-None)","""Complete Original Short Stories of Guy de Maupassant"" by Guy de Maupassant is a comprehensive collection of short stories likely written in the late 19th century. The anthology features the author's sharp observations of human nature, social struggles, and moral dilemmas, often illuminating the tensions between various classes and the impact of war on civilian life.  At the start of the collection, there is an introduction to Maupassant's life and his literary beginnings, highlighting his rapid rise to fame and the influences that shaped his writing style. The opening story, ""Boule de Suif,"" sets the stage for a tense scenario during the Franco-Prussian War, focusing on a group of travelers caught in a snowstorm and their moral quandaries regarding the titular character, a voluptuous prostitute. The narrative delves into the dynamics of class, respectability, and sacrifice, showcasing Maupassant's ability to blend social criticism with compelling storytelling. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/3090.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/3090.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/3090.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/3090.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/3090.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/3090/pg3090.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/3090/pg3090-h.zip
902,"The Happy Prince, and Other Tales","Children's stories, English; Fairy tales; Short stories, English",Browsing: Children & Young Adult Reading; Browsing: Fiction; Browsing: Literature; Children's Literature,en,False,Text,4921,"Wilde, Oscar (1854-1900)",,"""The Happy Prince, and Other Tales"" by Oscar Wilde is a collection of enchanting short stories crafted during the late 19th century, specifically in the Victorian era. This book delves into themes of compassion, sacrifice, and the nature of true happiness, primarily intended for children but resonating with readers of all ages. It consists of five distinct tales that explore the moral complexities of life and love through whimsical and poignant narratives.  In the title story, ""The Happy Prince,"" a gilded statue and a compassionate swallow forge a bond as they help the less fortunate, revealing the depths of human suffering hidden beneath a facade of beauty. The swallow sacrifices its own well-being to deliver jewels and gold from the statue to those in need. The other stories in the collection follow similar patterns of sacrifice and selflessness, depicting a nightingale's tragic love for a student in ""The Nightingale and the Rose,"" a giant's redemption through the joy of children in ""The Selfish Giant,"" and the pitfalls of shallow friendship in ""The Devoted Friend."" Each tale is woven with Wilde's signature stylistic elegance, presenting valuable life lessons that resonate even today. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/902.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/902.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/902.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/902.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/902.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/902/pg902.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/files/902/902-0.zip
2781,Just so stories,"Animals -- Fiction; Children's stories, English; Short stories",Browsing: Children & Young Adult Reading; Browsing: Fiction; Browsing: Literature; Children's Literature; Scouts,en,False,Text,4030,"Kipling, Rudyard (1865-1936)",,"""Just So Stories"" by Rudyard Kipling is a whimsical collection of children’s stories written during the late 19th century. The tales explore the origins of various animals and creatures, presenting imaginative explanations for their characteristics and behaviors. Each story features charming narratives filled with humor and vivid imagery, appealing to the curiosity and wonder often found in children.  At the start of ""Just So Stories,"" we are introduced to two whimsical tales: “How the Whale Got His Throat” and “How the Camel Got His Hump.” The first story recounts the encounter between a gigantic whale and a clever small 'Stute Fish, culminating in the whale's transformation that limits his diet to small fish. The second tale narrates the story of a lazy camel who refuses to work, leading to a magical encounter with a Djinn who grants him a hump as a consequence of his idleness. These opening stories set the tone for Kipling's playful storytelling style, engaging the reader with fantastical elements and clever moral lessons. The narration is lively and rhythmic, as Kipling addresses the listener directly with endearing phrases like “O Best Beloved,” fostering an intimate connection with the audience. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/2781.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/2781/2781-h/2781-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/2781.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/2781.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/2781.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/2781/2781-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/2781.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/2781/pg2781.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/2781/pg2781-h.zip
27200,Fairy Tales of Hans Christian Andersen,"Children's stories, Danish -- Translations into English; Fairy tales; Fairy tales -- Denmark; Short stories",Browsing: Children & Young Adult Reading; Browsing: Literature,en,False,Text,3703,"Andersen, H. C. (Hans Christian) (1805-1875)",,"""Fairy Tales of Hans Christian Andersen"" by H. C. Andersen is a collection of enchanting stories written in the early 19th century. This compilation includes beloved tales such as ""The Little Mermaid,"" ""The Ugly Duckling,"" and ""The Princess and the Pea,"" among many others. Andersen's fairy tales often explore themes of love, sacrifice, and transformation through the lives of whimsical characters and fantastical settings, inviting readers both young and old into a world where morality and fantasy intermingle.  At the start of this collection, readers are introduced to a variety of settings and characters that set the stage for Andersen's storytelling. The opening tale describes the beauty of nature outside a church, contrasting it with the preacher's grim sermon highlighting humanity's wickedness. This duality is extended to the pastor's reflections on sin and mercy, culminating in a significant encounter with the spirit of his deceased wife, who prompts him to seek a means of redemption. The beginning showcases Andersen's signature blend of poignant moral lessons wrapped in poetic prose, hinting at the profound emotional depth and imaginative exploration that will unfold in the tales that follow. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/27200.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/27200/27200-h/27200-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/27200.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/27200.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/27200.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/27200.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/27200/pg27200.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/27200/pg27200-h.zip
76153,The stone dragon and other tragic romances,"Fantasy fiction, English; Paranormal fiction, English; Short stories, English",,en,False,Text,1517,"Gilchrist, Murray (1868-1917)",,,text/html=https://www.gutenberg.org/ebooks/76153.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/76153.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/76153.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/76153.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/76153.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/76153/pg76153.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/76153/pg76153-h.zip
3080,Original Short Stories — Volume 04,"Short stories, French -- Translations into English",Browsing: Fiction; Browsing: Literature,en,False,Text,1384,"Maupassant, Guy de (1850-1893)","Henderson, A. E. (None-None); McMaster, Albert Cohn (None-None); Quesada, Louise Charlotte Garstin (None-None)","""Original Short Stories — Volume 04"" by Guy de Maupassant is a collection of short stories written during the late 19th century. This volume includes various narratives that encapsulate the complexities of human relationships, rural life, and existential themes. With a keen eye for detail and character, Maupassant explores the intricacies of love, loss, and societal norms through vivid portrayals of diverse characters, such as a dying patriarch and a diligent farm girl.  The opening of this volume introduces readers to ""The Moribund,"" where an old farmer and his wife navigate the impending death of the patriarch, setting a somber yet realistic tone. With the backdrop of a rural farm, the couple discusses practical concerns related to the old man’s death, showcasing their resigned acceptance of life’s cyclical nature. Their stoic conversations reveal more than just their sadness; they reflect the harsh reality of peasant life, intertwined with the inevitability of death, which looms over them as they prepare for the funeral. This contrast between stark reality and human resilience serves as an engaging entry point that prepares readers for the subsequent stories in the collection. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/3080.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/3080/3080-h/3080-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/3080.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/3080.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/3080.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/3080/3080-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/3080.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/3080/pg3080.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/3080/pg3080-h.zip
21327,"The Works of Guy de Maupassant, Vol. 1: Boule de Suif and Other Stories","French fiction -- Translations into English; Short stories, French -- Translations into English",Browsing: Fiction; Browsing: Literature,en,False,Text,1371,"Maupassant, Guy de (1850-1893)",,"""The Works of Guy de Maupassant, Vol. 1"" by Guy de Maupassant is a collection of short stories written during the late 19th century. The volume features the renowned story ""Boule de Suif,"" among others, and addresses themes of social class, morality, and human nature against the backdrop of war. The collection highlights Maupassant's keen observations of the human condition, often revealing the complexities of character and the often cynical realities of life.  At the start of ""Boule de Suif,"" readers are introduced to a group of travelers in a diligence trying to flee from Rouen as the Prussian army advances. The setting depicts a turmoil-ridden France, with citizens anxious about the impending invasion. Among the travelers is Boule de Suif, a round, jovial woman with a kind heart, who becomes the focal point as tensions rise within the group regarding issues of morality and sacrifice when faced with survival in a dire situation. As the journey progresses, the interactions and conversations among the characters begin to illustrate their true natures and social dynamics, with Boule de Suif ultimately forced into a morally challenging situation due to the group's pressure. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/21327.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/21327/21327-h/21327-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/21327.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/21327.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/21327.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/21327/21327-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/21327.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/21327/pg21327.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/21327/pg21327-h.zip
9363,The Best British Short Stories of 1922,"Short stories, English",Browsing: Fiction; Browsing: Literature,en,False,Text,1250,,,"""The Best British Short Stories of 1922"" by John Cournos et al. is a collection of short stories edited within the early 20th century. The compilation showcases the finest narratives published in British and Irish periodicals during a specific timeframe, preserving notable contributions to the art of the short story from that era. The collection includes a variety of tales that span different themes and styles, reflecting the social and cultural dynamics of the time.  The opening of the book presents an introduction by John Cournos, which reveals the thought process behind curating the anthology. He discusses the evolution of the short story form and the challenges it faces in modern literature. He notes that many contemporary narratives often lack sufficient substance and form, and emphasizes the importance of both elements in crafting a compelling story. The introduction sets a contemplative tone as Cournos invites readers to reflect on the nature of storytelling, which continues into the subsequent selections of stories featured in the volume. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/9363.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/9363.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/9363.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/9363.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/9363/9363-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/9363.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/9363/pg9363.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/files/9363/9363-h.zip
28076,"Original Short Stories, Complete, Volumes 1-13: An Index to All Stories","Indexes; Short stories, French -- Translations into English",Browsing: Fiction; Browsing: Literature,en,False,Text,1249,"Maupassant, Guy de (1850-1893)","Henderson, A. E. (None-None); McMaster, Albert Cohn (None-None); Quesada, Louise Charlotte Garstin (None-None)","""Original Short Stories, Complete, Volumes 1-13"" by Guy de Maupassant is a collection of short stories written during the late 19th century. This comprehensive anthology showcases the author's keen insight into human nature and social dynamics, often highlighting themes of love, betrayal, morality, and the darker aspects of life. Maupassant’s work reflects the complexities of the human experience, making it an essential read for those interested in classic literature.  The collection spans 188 stories that present a rich tapestry of characters and situations, ranging from poignant tales of unrequited love and tales of societal norms to gripping accounts of betrayal and psychological introspection. Notable stories like ""Boule de Suif"" capture the resilience of individuals amidst conflict, while ""The Diamond Necklace"" offers a sharp critique of vanity and social status. Through varied settings and diverse narratives, Maupassant explores the intricacies of interpersonal relationships, often leaving readers with thought-provoking reflections on human behavior and fate. Each story stands alone, yet they collectively paint a vivid picture of the late 19th-century French society that Maupassant masterfully critiques and celebrates. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/28076.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/28076.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/28076.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/28076.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/28076.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/28076/pg28076.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/28076/pg28076-h.zip
