gutenberg_id,title,subjects,bookshelves,languages,copyright,media_type,download_count,authors,translators,summaries,formats
8492,The King in Yellow,"Horror tales, American; Short stories, American; United States -- Social life and customs -- 19th century -- Fiction",Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature; Horror,en,False,Text,13141,"Chambers, Robert W. (Robert William) (1865-1933)",,"""The King in Yellow"" by Robert W. Chambers is a collection of short stories written in the late 19th century. This work weaves together themes of madness, decay, and the supernatural, often revolving around a mysterious play that drives its readers to madness. The stories explore the lives of various characters, including the ambitious Hildred Castaigne, who becomes entangled with the dark influence of the titular King in Yellow, a character symbolizing despair and horror.  At the start of ""The King in Yellow,"" we are introduced to a disquieting atmosphere set in a future America, where the government has established a 'Lethal Chamber' for those seeking voluntary death. The protagonist, Hildred Castaigne, reflects on his recent convalescence from a head injury and his obsession with a particular play, ""The King in Yellow."" His fixation leads him to visit a deranged character named Mr. Wilde, a so-called ""Repairer of Reputations,"" who signifies the blurring line between sanity and madness. As Hildred interacts with the characters around him, including the romantic tension involving his cousin Louis and Constance, the story hints at a larger, ominous force that looms over their lives, foreshadowing the psychological and tragic consequences of their obsessions. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/8492.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/8492/8492-h/8492-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/8492.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/8492.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/8492.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/8492/8492-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/8492.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/8492/pg8492.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/8492/pg8492-h.zip
2148,The Works of Edgar Allan Poe — Volume 2,"American fiction -- 19th century; Fantasy fiction; Horror tales, American; Short stories",Browsing: Fiction; Browsing: History - American; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Detective Fiction; Gothic Fiction; Horror; Mystery Fiction,en,False,Text,11300,"Poe, Edgar Allan (1809-1849)",,"""The Works of Edgar Allan Poe — Volume 2"" by Edgar Allan Poe is a collection of literary works, including short stories and essays, written during the early to mid-19th century. This volume contains a range of tales that delve into themes of mystery, horror, and the uncanny, showcasing Poe's mastery of suspenseful and psychological storytelling. Notable pieces include ""The Purloined Letter,"" which features the brilliant detective C. Auguste Dupin as he solves a complex crime involving a stolen letter of great importance, highlighting both the ingenuity of the detective and the folly of the authorities.  The opening of the volume features ""The Purloined Letter,"" where the narrator and Dupin engage in deep contemplation over previous mysteries when they are visited by Monsieur G, the Prefect of the Parisian police. The Prefect brings details of a perplexing case involving a missing letter that holds significant political power, stolen by the Minister D. As the Prefect describes his failed attempts to recover the letter, Dupin's insights reveal that the straightforward nature of the theft has eluded the authorities. The narrative sets a tone of intellectual intrigue as Dupin prepares to outsmart both the Prefect and the clever Minister, emphasizing Poe’s exploration of human intellect and the nature of perception. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/2148.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/2148.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/2148.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/2148.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/2148.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/2148/pg2148.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/2148/pg2148-h.zip
2814,Dubliners,Dublin (Ireland) -- Fiction; Short stories,Banned Books from Anne Haight's list; Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature,en,False,Text,11288,"Joyce, James (1882-1941)",,"""Dubliners"" by James Joyce is a collection of short stories written in the late 19th century. The stories explore the everyday lives and struggles of the residents of Dublin, offering a poignant and often critical look at the themes of paralysis, identity, and the quest for meaning within the constraints of society. The opening story, ""The Sisters,"" sets the tone for the collection by introducing a young boy reflecting on the death of Father Flynn, a priest who had a significant, albeit troubling, influence on his life.  The opening of ""Dubliners"" begins with the story ""The Sisters,"" which recounts a young boy's complicated feelings following the death of Father Flynn, a friend and mentor. The boy feels a mix of sorrow and relief at the priest's passing, as he recalls ambiguous moments from their relationship. While visiting the house of mourning, interactions between the boy, his relatives, and other family friends reveal conflicting views about Father Flynn's character and his past. Through vivid descriptions and subtle emotions, Joyce conveys themes of death, guilt, and the search for understanding, leaving the reader with a sense of impending complexity that resonates throughout the entire collection. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/2814.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/2814/2814-h/2814-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/2814.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/2814.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/2814.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/2814/2814-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/2814.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/2814/pg2814.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/2814/pg2814-h.zip
3090,Complete Original Short Stories of Guy De Maupassant,"French fiction -- Translations into English; Short stories, French -- Translations into English",Browsing: Fiction; Browsing: Literature,en,False,Text,7177,"Maupassant, Guy de (1850-1893)","Henderson, A. E. (None-None); McMaster, Albert Cohn (None-None); Quesada, Louise Charlotte Garstin (None-None)","""Complete Original Short Stories of Guy de Maupassant"" by Guy de Maupassant is a comprehensive collection of short stories likely written in the late 19th century. The anthology features the author's sharp observations of human nature, social struggles, and moral dilemmas, often illuminating the tensions between various classes and the impact of war on civilian life.  At the start of the collection, there is an introduction to Maupassant's life and his literary beginnings, highlighting his rapid rise to fame and the influences that shaped his writing style. The opening story, ""Boule de Suif,"" sets the stage for a tense scenario during the Franco-Prussian War, focusing on a group of travelers caught in a snowstorm and their moral quandaries regarding the titular character, a voluptuous prostitute. The narrative delves into the dynamics of class, respectability, and sacrifice, showcasing Maupassant's ability to blend social criticism with compelling storytelling. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/3090.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/3090.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/3090.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/3090.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/3090.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/3090/pg3090.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/3090/pg3090-h.zip
57333,Project Gutenberg Compilation of Short Stories by Chekhov,"Chekhov, Anton Pavlovich, 1860-1904 -- Translations into English; Russia -- Social life and customs -- Fiction; Russian fiction -- Translations into English; Short stories, Russian -- Translations into English",Browsing: Fiction; Browsing: Literature; Browsing: Russian Interest,en,False,Text,6544,"Chekhov, Anton Pavlovich (1860-1904)",,"""Project Gutenberg Compilation of Short Stories by Chekhov"" by Chekhov is a collection of short stories likely written in the late 19th century. This compilation includes a wide array of tales highlighting the intricacies of human nature, often set against the backdrop of Russian society. The stories evoke themes of love, loss, and the complexities of relationships, showcasing the plight of various characters navigating their personal struggles.  The beginning of ""The Horse-Stealers,"" the first story in the collection, introduces the character Yergunov, a hospital assistant who finds himself lost in a snowstorm after borrowing a horse from his doctor. As he stumbles upon a suspicious tavern known for its association with local thieves, Yergunov encounters interesting yet dubious characters, including a known horse thief named Kalashnikov. The atmosphere thickens with intrigue as Yergunov grapples with his own moral compass amidst the seedy setting, leading to a series of encounters that explore themes of bravado, shame, and desire. This opening sets the tone for a deeper exploration of human behavior and societal norms prevalent throughout Chekhov's work. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/57333.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/57333.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/57333.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/57333.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/57333.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/57333/pg57333.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/57333/pg57333-h.zip
236,The Jungle Book,"Adventure stories, English; Animals -- Fiction; Feral children -- Fiction; India -- Fiction; India -- History -- 19th century -- Fiction; Jungle animals -- Fiction; Jungles -- Fiction; Mowgli (Fictitious character) -- Fiction; Short stories",Browsing: Children & Young Adult Reading; Browsing: Culture/Civilization/Society; Browsing: Fiction; Browsing: Literature; Children's Literature; Contemporary Reviews; Movie Books; Scouts,en,False,Text,6383,"Kipling, Rudyard (1865-1936)",,"""The Jungle Book"" by Rudyard Kipling is a collection of stories originally published in the late 19th century. It primarily revolves around the adventures of a young boy named Mowgli, who is raised by wolves in the Indian jungle, exploring themes of nature, survival, and the clash between civilization and the wild. The narrative delves into the bonds formed between Mowgli and various animal characters, highlighting the laws that govern the lives of jungle inhabitants.  At the start of the book, the story introduces Mowgli's origins as he is discovered by Father Wolf after wandering into the wolf pack's territory. The fierce tiger Shere Khan poses a threat as he seeks to claim Mowgli for himself. Mother Wolf, however, fiercely defends Mowgli, declaring him as her own and igniting a debate among the pack members about the consequences of accepting a human child into their midst. This opening sets the stage for Mowgli’s complex relationship with both the jungle and the human world, showcasing the challenges he faces as he grows up estranged from both realms. It sets a tone of adventure and danger that permeates the stories to come, inviting readers into a richly imagined natural world. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/236.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/236.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/236.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/236.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/236.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/236/pg236.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/236/pg236-h.zip
16433,The Gay Cockade,Short stories,Browsing: Fiction; Browsing: Literature,en,False,Text,4946,"Bailey, Temple (1869-1953)",,"""The Gay Cockade"" by Temple Bailey is a novel written in the early 20th century. The story centers around Jimmie Harding, a spirited and youthful character who works within a dull government office but aspires to become a playwright. Through Jimmie's romance with Elise, we explore themes of ambition, the impact of relationships on personal growth, and the cost of success as he seeks to express his creativity amidst the constraints of a conventional life.  At the start of the narrative, Jimmie's exuberance revitalizes his weary colleagues who are entrenched in monotony. His creative ambitions are supported by Elise, who pushes him toward success and a new life at his inherited Virginia home, but there are hints of conflict as Jimmie's artistic spirit begins to clash with the practicalities of his new domestic life. As Jimmie writes, it becomes evident that Elise's strong personality may overshadow Jimmie's individuality, leading to a tension between his emerging success and the sacrifices he makes for it. The beginning sets a poignant tone of aspiration along with the bittersweet exploration of how love and ambition intertwine. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/16433.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/16433/16433-h/16433-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/16433.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/16433.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/16433.txt.utf-8; text/plain; charset=iso-8859-1=https://www.gutenberg.org/files/16433/16433-8.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/16433.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/16433/pg16433.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/16433/pg16433-h.zip
902,"The Happy Prince, and Other Tales","Children's stories, English; Fairy tales; Short stories, English",Browsing: Children & Young Adult Reading; Browsing: Fiction; Browsing: Literature; Children's Literature,en,False,Text,4921,"Wilde, Oscar (1854-1900)",,"""The Happy Prince, and Other Tales"" by Oscar Wilde is a collection of enchanting short stories crafted during the late 19th century, specifically in the Victorian era. This book delves into themes of compassion, sacrifice, and the nature of true happiness, primarily intended for children but resonating with readers of all ages. It consists of five distinct tales that explore the moral complexities of life and love through whimsical and poignant narratives.  In the title story, ""The Happy Prince,"" a gilded statue and a compassionate swallow forge a bond as they help the less fortunate, revealing the depths of human suffering hidden beneath a facade of beauty. The swallow sacrifices its own well-being to deliver jewels and gold from the statue to those in need. The other stories in the collection follow similar patterns of sacrifice and selflessness, depicting a nightingale's tragic love for a student in ""The Nightingale and the Rose,"" a giant's redemption through the joy of children in ""The Selfish Giant,"" and the pitfalls of shallow friendship in ""The Devoted Friend."" Each tale is woven with Wilde's signature stylistic elegance, presenting valuable life lessons that resonate even today. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/902.html.images; application/epub+zip=https://www.gutenberg.org/ebooks/902.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/902.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/902.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/902.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/902/pg902.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/files/902/902-0.zip
24151,The Sky Trap,Science fiction; Short stories,Browsing: Fiction; Browsing: Literature; Browsing: Science-Fiction & Fantasy; Science Fiction,en,False,Text,4065,"Long, Frank Belknap (1903-1994)",,"""The Sky Trap"" by Frank Belknap Long is a science fiction novel written in the early 1940s. The book explores themes of human nature and survival within an extraordinary and tense setting, as a group of characters navigates a bizarre situation that challenges their perceptions of reality and existence. It is likely to appeal to readers interested in speculative fiction that examines the consequences of scientific phenomena and the resilience of the human spirit.  The story centers around Lawton, a meteorologist aboard the stratoship Perseus, who finds himself in a perplexing and dangerous situation when the ship becomes suspended in what appears to be an invisible bubble high in the atmosphere. As Lawton and the crew grapple with the lack of movement and the strange gases outside, they soon discover that they are not only trapped but also surrounded by rapidly proliferating and threatening alien vegetation. Tensions rise as the crew struggles with madness induced by the peculiar environment, and Lawton devises risky plans to escape. The narrative is a gripping exploration of how human instincts and social dynamics are tested in the face of the unknown, ultimately leading to a suspenseful confrontation with both the mysterious threats outside and the internal conflicts within the crew. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/24151.html.images; text/html; charset=iso-8859-1=https://www.gutenberg.org/files/24151/24151-h/24151-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/24151.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/24151.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/24151.txt.utf-8; application/rdf+xml=https://www.gutenberg.org/ebooks/24151.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/24151/pg24151.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/24151/pg24151-h.zip
2781,Just so stories,"Animals -- Fiction; Children's stories, English; Short stories",Browsing: Children & Young Adult Reading; Browsing: Fiction; Browsing: Literature; Children's Literature; Scouts,en,False,Text,4030,"Kipling, Rudyard (1865-1936)",,"""Just So Stories"" by Rudyard Kipling is a whimsical collection of children’s stories written during the late 19th century. The tales explore the origins of various animals and creatures, presenting imaginative explanations for their characteristics and behaviors. Each story features charming narratives filled with humor and vivid imagery, appealing to the curiosity and wonder often found in children.  At the start of ""Just So Stories,"" we are introduced to two whimsical tales: “How the Whale Got His Throat” and “How the Camel Got His Hump.” The first story recounts the encounter between a gigantic whale and a clever small 'Stute Fish, culminating in the whale's transformation that limits his diet to small fish. The second tale narrates the story of a lazy camel who refuses to work, leading to a magical encounter with a Djinn who grants him a hump as a consequence of his idleness. These opening stories set the tone for Kipling's playful storytelling style, engaging the reader with fantastical elements and clever moral lessons. The narration is lively and rhythmic, as Kipling addresses the listener directly with endearing phrases like “O Best Beloved,” fostering an intimate connection with the audience. (This is an automatically generated summary.)",text/html=https://www.gutenberg.org/ebooks/2781.html.images; text/html; charset=utf-8=https://www.gutenberg.org/files/2781/2781-h/2781-h.htm; application/epub+zip=https://www.gutenberg.org/ebooks/2781.epub3.images; application/x-mobipocket-ebook=https://www.gutenberg.org/ebooks/2781.kf8.images; text/plain; charset=us-ascii=https://www.gutenberg.org/ebooks/2781.txt.utf-8; text/plain; charset=utf-8=https://www.gutenberg.org/files/2781/2781-0.txt; application/rdf+xml=https://www.gutenberg.org/ebooks/2781.rdf; image/jpeg=https://www.gutenberg.org/cache/epub/2781/pg2781.cover.medium.jpg; application/octet-stream=https://www.gutenberg.org/cache/epub/2781/pg2781-h.zip
