docid,title,parttitle,shorttitle
mdp.39015024477674,Anecdotes of the Delborough family. | A novel ... | $c: By Mrs. Gunning.,,Anecdotes of the Delborough family. A novel
mdp.39015031644233,"The Minstrel; | or, Anecdotes of distinguished personages in the fifteenth century [a novel]",,"The Minstrel; or, Anecdotes of distinguished personages in the fifteenth century [a novel]"
nyp.33433074931506,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters; | $c: procured and selected by G--- K---, summer resident at Windsor.",,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;"
mdp.39015021028801,"The life of John Metcalf, commonly called Blind Jack of Knaresborough. | With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire ...",,"The life of John Metcalf, commonly called Blind Jack of Knaresborough. With many entertaining anecdotes of his exploits in hunting, card-playing, &c. Some particulars relative to the expedition against the rebels in 1745, in which he bore a personal share; and also a succinct account of his various contracts for making roads, erecting bridges, and other undertakings, in Yorkshire, Derbyshire, and Cheshire"
hvd.hw204v,"The history, or anecdotes, of the revolution in Russia, in the year 1762. | Tr. from the French.",,"The history, or anecdotes, of the revolution in Russia, in the year 1762. Tr. from the French"
ucm.5320307018,"Tales, anecdotes, and letters / | $c: translated from the arabic and persian by Jonathan Scott.",,"Tales, anecdotes, and letters"
uiuo.ark+=13960=t1qf9705s,"Village anecdotes; or, The journal of a year, from Sophia to Edward",,"Village anecdotes; or, The journal of a year, from Sophia to Edward"
uc2.ark+=13960=t4sj1sc49,"London characters, or, Anecdotes, fashions, and customs, of the present century",,"London characters, or, Anecdotes, fashions, and customs, of the present century"
uiuo.ark+=13960=t8df73z71,"The English brothers; or, Anecdotes of the Howard family",,"The English brothers; or, Anecdotes of the Howard family"
uiuo.ark+=13960=t9j399s2p,"Modern times, or, Anecdotes of the English family",,"Modern times, or, Anecdotes of the English family"
uiuo.ark+=13960=t7br98r5d,"The adulteress ; or, anecdotes of two noble families",,"The adulteress ; or, anecdotes of two noble families"
uc1.b3548239,"Despotism: or, The fall of the Jesuits. | A political romance, illustrated by historical anecdotes. | $n: 1",,"Despotism: or, The fall of the Jesuits. A political romance, illustrated by historical anecdotes. $n: 1"
njp.32101068162807,"The secret memoirs of an illustrious princess; | or, The royal sufferer. Interspersed with singular anecdotes of those personages connected with the court of Alb...",,"The secret memoirs of an illustrious princess; or, The royal sufferer. Interspersed with singular anecdotes of those personages connected with the court of Alb"
nyp.33433075892822,A satirical view of London: | comprising free strictures on the manners and amusements of the inhabitants of the English metropolis; observations on literature and the fine arts; and amusing anecdotes of public characters ...,,A satirical view of London: comprising free strictures on the manners and amusements of the inhabitants of the English metropolis; observations on literature and the fine arts; and amusing anecdotes of public characters
njp.32101067408169,"Letters from Mrs. Delany, widow of Doctor Patrick Delany, to Mrs. Frances Hamilton, from the year 1779 to the year 1788 : | comprising many unpublished and interesting anecdotes of their late Majesties and the royal family.",,"Letters from Mrs. Delany, widow of Doctor Patrick Delany, to Mrs. Frances Hamilton, from the year 1779 to the year 1788 : comprising many unpublished and interesting anecdotes of their late Majesties and the royal family"
uiuo.ark+=13960=t6057tw2c,"Caprice; or, Anecdotes of the Listowel family",,"Caprice; or, Anecdotes of the Listowel family"
nyp.33433082380837,"Anecdotes of Samuel Johnson, LL.D. during the last twenty years of his life. | $c: By Hester Lynch Piozzi.",,"Anecdotes of Samuel Johnson, LL.D. during the last twenty years of his life"
uc1.b3324270,"Life in the West; | or, The curtain drawn, a novel. | $c: Dedicated, by permission, to the Right Hon. Robert Peel. Containing sketches, scenes, conversations, and anecdotes of the last importance to families, and men of rank, fashion, and fortune. Founded on facts, by a Flat Enlightened.",,"Life in the West; or, The curtain drawn, a novel"
hvd.hn5cdm,"Councels at home, interspersed with entertaining tales and interesting anecdotes. | $c: By a father.",,"Councels at home, interspersed with entertaining tales and interesting anecdotes"
nnc1.cu56764111,Biographical memoirs of extraordinary painters: | exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes ...,,Biographical memoirs of extraordinary painters: exhibiting not only sketches of their principal works and professional characters; but a variety of romantic adventures and original anecdotes
