docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match
mdp.39015016424130,"Helme, Elizabeth","Helme, Elizabeth",d. 1816.,1805.0,1805.0,s,1805,    ,Brentford;Printed by and for P. Norbury;1805.,1805,,,,,,6635057.0,enk,590332,1,1.0,1.0,v.1,1.0,"The pilgrim of the cross : | or, The chronicles of Christabelle de Mowbray : an ancient legend / | $c: by Elizabeth Helme.",,True,"The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend",0.0571912757245129,0.0237406080702485,Elizabeth,f,5.938628158844765,4.433056601806357,20.60424028268552,16.437013822122886,160.8939929328622,1577.0841688621408,1.1,['fiction'],['unknown'],"the pilgrim of the cross : | or, the chronicles of christabelle de mowbray : an ancient legend / | $c: by elizabeth helme.  the pilgrim of the cross : or, the chronicles of christabelle de mowbray : an ancient legend",False,False,False,False,False,False,False,False,False,True
mdp.39015063994225,"Galt, John","Galt, John",1779-1839.,1823.0,1823.0,s,1823,    ,"Edinburgh;Oliver & Boyd; [etc., etc.;1823.",1823,,,19th century,,PZ3.G14Sp,1922613.0,stk,779561,2,2.333333333333333,2.333333333333333,v.1,1.0,"The spaewife; | a tale of the Scottish chronicles. | $c: By the author of ""Annals of the parish"", ""Ringan Gilhaize"", &c. ...",,True,The spaewife; a tale of the Scottish chronicles,0.2486766354432653,0.1271350763688076,John,m,5.178913738019169,3.878533005338424,20.67924528301887,15.890827103358257,178.5786163522013,1515.0299829911792,1.5,['fiction'],['fiction and juvenile belles lettres'],"the spaewife; | a tale of the scottish chronicles. | $c: by the author of ""annals of the parish"", ""ringan gilhaize"", &c. ...  the spaewife; a tale of the scottish chronicles",False,False,False,False,False,False,False,False,False,True
hvd.hnpej4,"Gleig, G. R. (George Robert)","Gleig, G. R. (George Robert)",1796-1888.,1835.0,1835.0,s,1835,    ,London;R. Bentley;1835.,1835,,,,,,11225306.0,enk,9730761,1,1.0,1.0,v.1,1.0,"The chronicles of Waltham. | $c: By the author of ""The subaltern"", ""The country curate"", etc. In three volumes.",,True,The chronicles of Waltham,0.1594701089320521,0.1193553080167516,George,m,7.974921630094044,7.855170448403613,25.472049689441,23.35480884225145,234.74534161490683,2788.922726746653,1.7,['unknown'],['unknown'],"the chronicles of waltham. | $c: by the author of ""the subaltern"", ""the country curate"", etc. in three volumes.  the chronicles of waltham",False,False,False,False,False,False,False,False,False,True
njp.32101062190820,"Gleig, G. R. (George Robert)","Gleig, G. R. (George Robert)",1796-1888.,1838.0,1838.0,s,1838,    ,London;R. Bentley;1838.,1838,,,"London|Hospitals|England|Chelsea Hospital (London, England)",,DA687.C44G5,10039147.0,enk,9041598,1,1.0,1.0,vol.3,3.0,"Chelsea Hospital, and its traditions. | $c: By the author of ""The country curate,"" - ""The subaltern,"" ""The chronicles of Waltham,"" &c. ... In three volumes ...",,True,"Chelsea Hospital, and its traditions",0.2403754081565552,0.0077466966886242,George,m,9.350340136054422,9.390867231246238,24.9695945945946,17.448399835646455,228.28716216216216,1913.2519973520816,2.3,['unknown'],['great britain'],"chelsea hospital, and its traditions. | $c: by the author of ""the country curate,"" - ""the subaltern,"" ""the chronicles of waltham,"" &c. ... in three volumes ...  chelsea hospital, and its traditions",False,False,False,False,False,False,False,False,False,True
mdp.39015063558210,"Mrs. Oliphant, (Margaret)","Oliphant, Mrs. (Margaret)",1828-1897.,1852.0,1852.0,s,1852,    ,London;Colburn;1852.,1852,,,Scottish authors|English fiction,,,21963681.0,enk,5233010,1,2.0,2.0,v.1,1.0,"Memoirs and resolutions of Adam Graeme of Mossgray : | including some chronicles of the Borough of Fendie / | $c: by the author of ""Passages in the life of Mrs. Margaret Maitland,"" ""Merkland, "" and ""Caleb Field."".",,True,Memoirs and resolutions of Adam Graeme of Mossgray : including some chronicles of the Borough of Fendie,0.0733334149964167,0.1933198078348888,Margaret,f,6.872909698996655,7.2881958814778365,18.72937293729373,13.695737890620745,156.81848184818483,1291.8977442298683,2.0,['fiction'],['unknown'],"memoirs and resolutions of adam graeme of mossgray : | including some chronicles of the borough of fendie / | $c: by the author of ""passages in the life of mrs. margaret maitland,"" ""merkland, "" and ""caleb field."".  memoirs and resolutions of adam graeme of mossgray : including some chronicles of the borough of fendie",False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t89g5p164,"Jerrold, Douglas William","Jerrold, Douglas William",1803-1857.,1853.0,1853.0,s,1853,    ,London;Bradbury and Evans;1853.,1853,,,,,PR4825.J4 1851 v.6,5822996.0,enk,7688786,1,1.0,1.0,,,A man made of money and The chronicles of Clovernook,,True,A man made of money and The chronicles of Clovernook,0.1249769207935127,0.0116007162307158,Douglas,m,27.545454545454547,63.9581611570248,51.75561797752809,77.96555832596894,543.2696629213483,11692.13514707739,2.3,['fiction'],['english literature'],a man made of money and the chronicles of clovernook  a man made of money and the chronicles of clovernook,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t5fb5545t,"Jerrold, Blanchard","Jerrold, Blanchard",1826-1884.,1860.0,1860.0,s,1860,    ,London;W. Tinsley;1860.,1860,,,,,PZ3.J486Ch,4621708.0,enk,6130970,2,2.0,2.0,,,The chronicles of the Crutch,,True,The chronicles of the Crutch,0.6117390749011429,0.0190067657297157,Blanchard,unknown,17.487179487179485,35.50258288719827,42.39928057553957,76.76503545365146,405.1510791366906,10309.085088763522,2.4,['fiction'],['fiction and juvenile belles lettres'],the chronicles of the crutch  the chronicles of the crutch,False,False,False,False,False,False,False,False,False,True
uc1.b3339483,"Jerrold, Douglas William","Jerrold, Douglas William",1803-1857.,1863.0,1857.0,m,1863,1864,"London;Bradbury, Evans, and co.;1863?-1864?",1863,I. Introductory memoir. St. Giles and St. James. Punch's letters to his son.--II. The story of a feather. Cakes and ale.--III. Mrs. Caudle's curtain lectures. Men of character. Punch's complete letter writer.--IV. A man made of money. Sketches of the English. The chronicles of Clovernook. The sick giant and the doctor dwarf.,,,,,2019512.0,enk,591691,2,2.0,2.0,v. 4,4.0,"The works of Douglas Jerrold. | $c: With an introductory memoir by his son, W. Blanchard Jerrold.",A man made of money. Sketches of the English. The chronicles of Clovernook. The sick giant and the doctor dwarf,True,A man made of money. Sketches of the English. The chronicles of Clovernook. The sick giant and the doctor dwarf,0.223752514544461,0.0349311209847108,Douglas,m,22.383196721311474,58.79783240392367,42.61740890688259,56.34957547247129,532.2206477732793,11404.775201199822,1.6,['unknown'],['english literature'],"the works of douglas jerrold. | $c: with an introductory memoir by his son, w. blanchard jerrold. a man made of money. sketches of the english. the chronicles of clovernook. the sick giant and the doctor dwarf a man made of money. sketches of the english. the chronicles of clovernook. the sick giant and the doctor dwarf",False,False,True,False,False,False,False,False,False,True
nyp.33433074970736,,,,1868.0,1868.0,s,1868,    ,"London;J. Masters [etc., etc.;1868.",1868,,,English fiction,,,37215334.0,enk,8667436,1,1.0,1.0,,,Chronicles of St. Mary's. | $c: By S.D.N. ...,,True,Chronicles of St. Mary's,0.047974499591299,0.3405961727134419,,unknown,22.0,33.75238095238095,42.50934579439252,32.94617433837018,536.4696261682243,8094.23973163595,1.7,['fiction'],['unknown'],chronicles of st. mary's. | $c: by s.d.n. ...  chronicles of st. mary's,False,False,False,False,False,False,False,False,False,True
uc1.$b571626,"Prichard, Iltudus Thomas","Prichard, Iltudus Thomas",1826-1874.,1870.0,1870.0,s,1870,    ,London;W.H. Allen;1870,1870,,,Social life and customs|India,India,,28285625.0,enk,8667246,1,3.0,3.0,v. 1,1.0,"The chronicles of Budgepore; or, Sketches of life in upper India.",,True,"The chronicles of Budgepore; or, Sketches of life in upper India",0.7342793972632968,0.1185732530279528,Iltudus,unknown,9.297491039426523,12.409706966765588,27.968309859154928,36.19265770680421,242.7781690140845,3876.7360022812936,2.4,['unknown'],['unknown'],"the chronicles of budgepore; or, sketches of life in upper india.  the chronicles of budgepore; or, sketches of life in upper india",False,False,True,False,False,False,False,False,False,True
