docid,title,parttitle,shorttitle
mdp.39015016424130,"The pilgrim of the cross : | or, The chronicles of Christabelle de Mowbray : an ancient legend / | $c: by Elizabeth Helme.",,"The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend"
mdp.39015063994225,"The spaewife; | a tale of the Scottish chronicles. | $c: By the author of ""Annals of the parish"", ""Ringan Gilhaize"", &c. ...",,The spaewife; a tale of the Scottish chronicles
hvd.hnpej4,"The chronicles of Waltham. | $c: By the author of ""The subaltern"", ""The country curate"", etc. In three volumes.",,The chronicles of Waltham
njp.32101062190820,"Chelsea Hospital, and its traditions. | $c: By the author of ""The country curate,"" - ""The subaltern,"" ""The chronicles of Waltham,"" &c. ... In three volumes ...",,"Chelsea Hospital, and its traditions"
mdp.39015063558210,"Memoirs and resolutions of Adam Graeme of Mossgray : | including some chronicles of the Borough of Fendie / | $c: by the author of ""Passages in the life of Mrs. Margaret Maitland,"" ""Merkland, "" and ""Caleb Field."".",,Memoirs and resolutions of Adam Graeme of Mossgray : including some chronicles of the Borough of Fendie
uc2.ark+=13960=t89g5p164,A man made of money and The chronicles of Clovernook,,A man made of money and The chronicles of Clovernook
uc2.ark+=13960=t5fb5545t,The chronicles of the Crutch,,The chronicles of the Crutch
uc1.b3339483,"The works of Douglas Jerrold. | $c: With an introductory memoir by his son, W. Blanchard Jerrold.",A man made of money. Sketches of the English. The chronicles of Clovernook. The sick giant and the doctor dwarf,A man made of money. Sketches of the English. The chronicles of Clovernook. The sick giant and the doctor dwarf
nyp.33433074970736,Chronicles of St. Mary's. | $c: By S.D.N. ...,,Chronicles of St. Mary's
uc1.$b571626,"The chronicles of Budgepore; or, Sketches of life in upper India.",,"The chronicles of Budgepore; or, Sketches of life in upper India"
uiuo.ark+=13960=t1bk1qb2j,Chronicles of Dustypore;,,Chronicles of Dustypore;
uiuo.ark+=13960=t6251wg82,The chronicles of Castle Cloyne;,,The chronicles of Castle Cloyne;
nyp.33433074863303,"Scotch stories : | or, The chronicles of Keckleton / | $c: by David Grant.",,"Scotch stories : or, The chronicles of Keckleton"
mdp.39015065597083,The chronicles of Barsetshire / | $c: by Anthony Trollope.,The warden and Barchester towers,The warden and Barchester towers
mdp.39015065597067,The chronicles of Barsetshire / | $c: by Anthony Trollope.,Doctor Thorne,Doctor Thorne
uc1.b3505971,The Waverley novels.,The talisman. Chronicles of th,The talisman. Chronicles of th
uiuo.ark+=13960=t50g41v61,Chronicles of Westerly,,Chronicles of Westerly
uc2.ark+=13960=t6d224v2f,Clog shop chronicles,,Clog shop chronicles
uc2.ark+=13960=t39023q38,The chronicles of Michael Danevitch of the Russian secret service,,The chronicles of Michael Danevitch of the Russian secret service
nnc1.cu55085962,The chronicles of Kartdale : | Our Jeames / | $c: edited by J. Murdoch Henderson.,,The chronicles of Kartdale : Our Jeames
