docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match,short stories_match,collection_match
njp.32101071963480,"Rousseau, Jean-Jacques","Rousseau, Jean-Jacques",1712-1778.,1790.0,1778.0,s,1790,    ,"London;Printed for G.G.J. and J. Robinson, and J. Bew;1790.",1790,,,"1712-1778|Correspondence|Rousseau, Jean-Jacques",,,16894767.0,enk,8980647,1,1.0,1.0,vol. 1,1.0,"The confessions of J.J. Rousseau, citizen of Geneva : | part the second ; to which is added, a new collection of letters from the author ; translated from the French.",,True,"The confessions of J.J. Rousseau, citizen of Geneva : part the second ; to which is added, a new collection of letters from the author ; translated from the French",0.6971490928414618,0.2222466188446428,Jean,m,8.668903803131991,7.380308194325582,26.61915367483296,7.193486143421907,230.5567928730512,914.5808502934012,1.8,['unknown'],['unknown'],"the confessions of j.j. rousseau, citizen of geneva : | part the second ; to which is added, a new collection of letters from the author ; translated from the french.  the confessions of j.j. rousseau, citizen of geneva : part the second ; to which is added, a new collection of letters from the author ; translated from the french",False,False,False,False,False,False,False,False,False,False,False,False,True
nyp.33433074931506,,,,1793.0,1793.0,s,1793,    ,London;C. and G. Kearsley;1793.,1793,,,Wit and humor,,,32399529.0,enk,8637164,1,1.0,1.0,,,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters; | $c: procured and selected by G--- K---, summer resident at Windsor.",,True,"The festival of wit; or, Small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;",0.8617990460781128,0.1745057508078536,,unknown,8.459770114942529,9.627691901175847,29.51363636363636,25.908904958677685,233.6590909090909,1950.4519628099167,0.9,['unknown'],['unknown'],"the festival of wit; or, small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters; | $c: procured and selected by g--- k---, summer resident at windsor.  the festival of wit; or, small talker: being a collection of bon mots, anecdotes, &c., of the most exalted characters;",False,False,False,False,False,True,False,False,False,False,False,False,True
mdp.39015011930800,"Cumberland, Richard","Cumberland, Richard",1732-1811.,1799.0,1799.0,s,1799,    ,London;C. Dilly;1799.,1799,"The fifth ed., newly arranged.|To which is added an entire translation of the comedy of The clouds.",,Conduct of life|History and criticism|Early works to 1800|Greek literature,,,23630333.0,enk,285314,1,1.0,1.0,v.2,2.0,"The Observer: | being a collection of moral, literary and familiar essays.",,True,"The Observer: being a collection of moral, literary and familiar essays",0.3269800949521576,0.1937799062455316,Richard,m,5.62962962962963,9.67764060356653,27.03951367781155,13.904213745253648,227.2705167173252,1671.2794042922735,2.2,['unknown'],['unknown'],"the observer: | being a collection of moral, literary and familiar essays.  the observer: being a collection of moral, literary and familiar essays",False,False,False,False,False,False,False,False,False,False,False,False,True
njp.32101076417573,,,,1801.0,1801.0,s,1801,    ,London;J. Debrett;1801.,1801,,,,,,6095033.0,enk,9031907,1,1.0,1.0,,,"The Bakhtyar nameh; | or, Story of Prince Bakhtyar and the ten viziers; | $c: a series of  Persian tales from a manuscript in the collection of Sir William Ouseley.",,True,"The Bakhtyar nameh; or, Story of Prince Bakhtyar and the ten viziers;",0.7164934835399541,0.8330679962862649,,unknown,6.379032258064516,3.2998829344432883,23.53488372093023,32.07824049035516,203.65891472868216,3781.821645333814,1.7,['unknown'],['unknown'],"the bakhtyar nameh; | or, story of prince bakhtyar and the ten viziers; | $c: a series of  persian tales from a manuscript in the collection of sir william ouseley.  the bakhtyar nameh; or, story of prince bakhtyar and the ten viziers;",False,True,False,False,False,False,False,False,False,False,False,False,True
nyp.33433087336461,,,,1810.0,1810.0,s,1810,    ,London;John Sharpe and Hector McLean;1810,1810,"v. 1. Devotional and moral -- v. 2. Didactic pieces, including fables. Descriptive, narrative, and pastoral -- v. 3 Odes, elegies, monodies, and epitaphs-- v. 4. Dramatic -- v. 5. Ballads, songs, &c. Satirical and humorous -- v. 6. Larger poems.",,English poetry|Fore-edge painting,,PR1173.E44 1810,12237025.0,enk,8654224,2,2.0,2.0,v. 5,5.0,"Elegant extracts : | being a copious collection of instructive, moral, and entertaining passages from the most eminent British poets.","Ballads, songs, &c. Satirical and humorous",True,"Ballads, songs, &c. Satirical and humorous",0.5888688556500566,0.351776941710117,,unknown,10.897260273972602,14.81136235691499,32.664406779661014,25.19246193622521,321.48474576271184,3730.114174087906,2.7,['unknown'],['english literature'],"elegant extracts : | being a copious collection of instructive, moral, and entertaining passages from the most eminent british poets. ballads, songs, &c. satirical and humorous ballads, songs, &c. satirical and humorous",False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hxjrte,,,,1810.0,1810.0,s,1810,    ,London;Printed by J.D. Dewick ... for T. Hughes ...;1810.,1810,,,English wit and humor,,,12932181.0,enk,9708616,1,1.0,1.0,,,"A New edition of the Old Joe Miller, or, Universal Jester : | being a collection of wit and humour : calculated at once to banish care and inspire mirth and delight.",,True,"A New edition of the Old Joe Miller, or, Universal Jester : being a collection of wit and humour : calculated at once to banish care and inspire mirth and delight",0.8625496137458496,0.5982883380621635,,unknown,17.444444444444443,30.75485008818342,36.25373134328358,141.53263533080863,379.9850746268657,16235.268433949655,2.3,['unknown'],['unknown'],"a new edition of the old joe miller, or, universal jester : | being a collection of wit and humour : calculated at once to banish care and inspire mirth and delight.  a new edition of the old joe miller, or, universal jester : being a collection of wit and humour : calculated at once to banish care and inspire mirth and delight",False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hxcqvd,,,,1814.0,1814.0,s,1814,    ,"London;printed by D.S. Maurice and sold by Champante and Whitrow, etc.;1814?",1814,,,,,,81203490.0,enk,9709614,1,1.0,1.0,,,"The wag's miscellany, | an original collection of jests, bon-mots, witticisms jeux d'esprits, &c. &c. and other enemies to anelancholy. To which is added a chronological table of remarkable frosts in all ages and nations, embellished with an accurate delineation of Frost-fair, or Rural sports on the River Thames.",,True,"The wag's miscellany, an original collection of jests, bon-mots, witticisms jeux d'esprits, &c. &c. and other enemies to anelancholy. To which is added a chronological table of remarkable frosts in all ages and nations, embellished with an accurate delineation of Frost-fair, or Rural sports on the River Thames",0.6904349127202847,0.8273250059720453,,unknown,11.8,23.52,26.814814814814813,91.70644718792867,257.6296296296296,15878.455418381343,2.6666666666666665,['unknown'],['unknown'],"the wag's miscellany, | an original collection of jests, bon-mots, witticisms jeux d'esprits, &c. &c. and other enemies to anelancholy. to which is added a chronological table of remarkable frosts in all ages and nations, embellished with an accurate delineation of frost-fair, or rural sports on the river thames.  the wag's miscellany, an original collection of jests, bon-mots, witticisms jeux d'esprits, &c. &c. and other enemies to anelancholy. to which is added a chronological table of remarkable frosts in all ages and nations, embellished with an accurate delineation of frost-fair, or rural sports on the river thames",False,False,False,False,False,False,False,False,False,False,False,False,True
nyp.33433075958524,"Howell, Thomas Bayly","Howell, Thomas Bayly",1768-1815.,1816.0,1815.0,m,1816,1826,"London;Longman, Hurst, Rees, Orme and Brown;1816-1826.",1816-1826,,,Trials|Great Britain,,,19433355.0,enk,8620461,1,1.3333333333333333,1.3333333333333333,v. 18 (1744-1753),18.0,"A complete collection of state trials and proceedings for high treason and other crimes and misdemeanors from the earliest period to the year 1783, with notes and other illustrations / | $c: compiled by T. B. Howell.",,True,"A complete collection of state trials and proceedings for high treason and other crimes and misdemeanors from the earliest period to the year 1783, with notes and other illustrations",0.9682646379307202,0.3438643151410349,Thomas,m,46.72349570200573,875.8332874935346,131.06847360912982,185.1508035189184,1170.8987161198288,19914.013992645512,2.4,['unknown'],['unknown'],"a complete collection of state trials and proceedings for high treason and other crimes and misdemeanors from the earliest period to the year 1783, with notes and other illustrations / | $c: compiled by t. b. howell.  a complete collection of state trials and proceedings for high treason and other crimes and misdemeanors from the earliest period to the year 1783, with notes and other illustrations",False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hxj2el,,,,1816.0,1816.0,m,1816,1828,"London;printed by T.C. Hansard for Longman, Hurst, Rees, Orme, and Brown [etc.;1816-1828.",1816-1828,[5th ed.]|v. 1-21. Earliest period [i.e. 1163] to the year 1783 -- v. 22-33.  1783 to the present time [i.e. 1820] / by Thomas Jones Howell -- v. [34] Index / by David Jardine.,,Great Britain|Trials (Treason)|Trials|Indexes,,,3815652.0,enk,9403393,1,1.0,1.0,v.16  (1722-25),16.0,A complete collection of state trials | and proceedings for high treason and other crimes and misdemeanors ... : with notes and other illustrations / | $c: compiled by T.B. Howell.,,True,,0.9965529474903608,0.3185857762837694,,unknown,43.177304964539005,830.9401941552236,131.99295774647888,188.773189843285,1184.0225352112675,19003.48681610792,2.2,['unknown'],['unknown'],a complete collection of state trials | and proceedings for high treason and other crimes and misdemeanors ... : with notes and other illustrations / | $c: compiled by t.b. howell.  ,False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hxj2fx,,,,1816.0,1816.0,m,1816,1828,"London;printed by T.C. Hansard for Longman, Hurst, Rees, Orme, and Brown [etc.;1816-1828.",1816-1828,[5th ed.]|v. 1-21. Earliest period [i.e. 1163] to the year 1783 -- v. 22-33.  1783 to the present time [i.e. 1820] / by Thomas Jones Howell -- v. [34] Index / by David Jardine.,,Great Britain|Trials (Treason)|Trials|Indexes,,,3815652.0,enk,9403393,1,1.0,1.0,v.28  (1802-03),28.0,A complete collection of state trials | and proceedings for high treason and other crimes and misdemeanors ... : with notes and other illustrations / | $c: compiled by T.B. Howell.,/ by Thomas Jones Howell,True,/ by Thomas Jones Howell,0.9557189225402158,0.2065150497873289,,unknown,48.48261474269819,817.2566518557494,131.19337016574585,155.01785659778392,1108.9737569060774,15752.873620692286,2.8,['unknown'],['unknown'],a complete collection of state trials | and proceedings for high treason and other crimes and misdemeanors ... : with notes and other illustrations / | $c: compiled by t.b. howell. / by thomas jones howell / by thomas jones howell,False,False,False,False,False,False,False,False,False,False,False,False,True
