docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match
uc2.ark+=13960=t0ht2hz9k,,,,1871.0,1871.0, ,1871,    ,London;Strahan;1871.,1871,,,,,,62581638.0,enk,7687692,1,1.0,1.0,v.001,1.0,Episodes in an obscure life,,True,Episodes in an obscure life,0.2125900351725373,0.1157363695166506,,unknown,7.600719424460432,7.434100201852907,23.359430604982208,13.4330872202733,186.2526690391459,1869.32761743139,2.7,['unknown'],['unknown'],episodes in an obscure life  episodes in an obscure life,False,False,False,False,False,False,False,False,True
mdp.39015066690234,"Ritter von, Hacklaender, Friedrich Wilhelm","Ritter von, Hacklaender, Friedrich Wilhelm",1816-1877.,1890.0,1877.0,s,1890,    ,London;Rivingtons;1890.,1890,,,,,,67302719.0,enk,1292411,1,1.0,1.0,,,"Feodor Dose of the VII. Brigade : | episodes from ""Wachtstubenabenteuer"" / | $c: Selected and edited, with notes, by H.S. Beresford-Webb.",,True,"Feodor Dose of the VII. Brigade : episodes from ""Wachtstubenabenteuer""",0.8174824928133188,0.5993809736150466,Hacklaender,unknown,29.10989010989011,437.3285835044077,27.980132450331126,51.06583044603307,294.71523178807945,11191.09109249594,4.3,['fiction'],['unknown'],"feodor dose of the vii. brigade : | episodes from ""wachtstubenabenteuer"" / | $c: selected and edited, with notes, by h.s. beresford-webb.  feodor dose of the vii. brigade : episodes from ""wachtstubenabenteuer""",False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t5z60fh7d,"Wedmore, Frederick","Wedmore, Frederick, Sir",1844-1921.,1894.0,1894.0, ,1894,    ,London;E. Mathews;New York;Scribner's;1894.,1894,,,,,,5005223.0,enk,7683604,1,1.0,1.0,,,English episodes,,True,English episodes,0.442560644953991,0.039249347343317,Frederick,m,17.035398230088497,237.69786200955443,31.6896551724138,193.16230677764568,247.146551724138,13054.900936385257,2.7,['fiction'],['unknown'],english episodes  english episodes,False,False,False,False,False,False,False,False,True
nyp.33433075753404,"Street, G. S. (George Slythe)","Street, G. S. (George Slythe)",1867-1936.,1895.0,1895.0,s,1895,    ,London;W. Heinemann;1895.,1895,,,,,,8572376.0,enk,162253,3,4.0,4.0,,,"Episodes, | $c: by G.S. Street.",,True,Episodes,0.4454717730000087,0.0038976023535835,George,m,14.043859649122806,153.62088334872269,23.826839826839823,282.99166057607613,207.3506493506493,7957.379209535055,2.8,['unknown'],['unknown'],"episodes, | $c: by g.s. street.  episodes",False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t51g0nd7x,"Powell, G. H","Powell, G. H. (George Herbert)",1856-1924.,1896.0,1896.0,s,1896,    ,London;Redway;1896.,1896,,,Animal behavior,,QL791.P6,1543517.0,enk,5266191,2,3.0,3.0,,,Animal episodes and studies in sensation,,True,Animal episodes and studies in sensation,0.6028626931735882,0.0217659967378333,George,m,8.927536231884059,20.980256248687247,30.86120996441281,31.080381454135583,223.423487544484,2423.5252846341864,1.7,['unknown'],['unknown'],animal episodes and studies in sensation  animal episodes and studies in sensation,False,False,False,False,False,False,False,False,True
njp.32101068177714,"DeLeon, Thomas C. (Thomas Cooper)","DeLeon, Thomas C. (Thomas Cooper)",1839-1914.,1898.0,1898.0,s,1898,    ,London;New York;F.T. Neely;c1898,1898,,,,,PZ3.D377 I,10510934.0,enk,8969093,1,1.0,1.0,,,"An innocent cheat; | or, Episodes of the everlasting comedy. | $c: By T. C. De Leon.",,True,"An innocent cheat; or, Episodes of the everlasting comedy",0.0407847709672681,0.0046900603521374,Thomas,m,12.715867158671587,48.85284786427201,21.77536231884058,20.848088636841,178.81884057971016,1987.271529090528,1.7,['unknown'],['fiction and juvenile belles lettres'],"an innocent cheat; | or, episodes of the everlasting comedy. | $c: by t. c. de leon.  an innocent cheat; or, episodes of the everlasting comedy",False,False,False,False,False,False,False,False,True
nyp.33433074958566,"Dawson, W. J. (William James)","Dawson, W. J. (William James)",1854-1928.,1900.0,1900.0,s,1900,    ,London;Grant Richards;1900.,1900,,,English fiction,,,2322656.0,enk,8664939,1,1.0,1.0,,,"The doctor speaks : | being some episodes in the experiences of John Selkirk, M. D. / | $c: by W. J. Dawson.",,True,"The doctor speaks : being some episodes in the experiences of John Selkirk, M. D",0.0956168651417104,0.0106813264716033,William,m,14.092409240924091,22.38750013615223,27.102564102564106,34.99589086127547,269.62179487179486,4772.7351660092045,1.4,['fiction'],['unknown'],"the doctor speaks : | being some episodes in the experiences of john selkirk, m. d. / | $c: by w. j. dawson.  the doctor speaks : being some episodes in the experiences of john selkirk, m. d",False,False,False,False,False,False,False,False,True
mdp.39015048902913,"Marshall, Archibald","Marshall, Archibald",1866-1934.,1906.0,1906.0,s,1906,    ,"London;A. Rivers, ltd.;1906.",1906,,,,,PZ3.M3555Ri,9337961.0,enk,630696,1,3.0,3.0,,,"Richard Baldock; | an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him, | $c: by Archibald Marshall.",,True,"Richard Baldock; an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him",0.0955160507770474,0.0141903758885513,Archibald,m,21.09090909090909,61.72970345162858,31.80314960629921,41.00849401698804,387.244094488189,7798.12152024304,1.4,['fiction'],['fiction and juvenile belles lettres'],"richard baldock; | an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him, | $c: by archibald marshall.  richard baldock; an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him",False,False,False,False,False,False,False,False,True
mdp.39015031224101,"Bennett, Arnold","Bennett, Arnold",1867-1931.,1910.0,1910.0,s,1910,    ,London;Chatto & Windus;1910.,1910,A new ed.,,,,PZ3.B438Sa,11299659.0,enk,427338,1,1.0,1.0,,,"Sacred & profane love, | a novel in three episodes, | $c: by Arnold Bennett.",,True,"Sacred & profane love, a novel in three episodes",0.096991124199781,0.0299684549179556,Arnold,m,16.5752508361204,33.06707978657957,27.00990099009901,20.623664346632683,253.14191419141915,2959.5937217484125,1.8,['fiction'],['fiction and juvenile belles lettres'],"sacred & profane love, | a novel in three episodes, | $c: by arnold bennett.  sacred & profane love, a novel in three episodes",False,False,False,False,False,False,False,False,True
mdp.39015030141074,"Beckford, William","Beckford, William",1760-1844.,1912.0,1844.0,s,1912,    ,"London;Stephen Swift & co., ltd.;1912",1912,,,,,PR4091.E5,2277096.0,enk,429258,1,1.0,1.0,,,"The episodes of Vathek, | $c: by William Beckford, tr. by Sir Frank T. Marzials, with an introduction by Lewis Melville [pseud.]",,False,The episodes of Vathek,0.377254716569849,0.1954591774103968,William,m,18.56629834254144,37.80361557950002,39.24731182795699,72.05174008555902,463.8064516129032,22004.849635796047,3.3,['unknown'],['english literature'],"the episodes of vathek, | $c: by william beckford, tr. by sir frank t. marzials, with an introduction by lewis melville [pseud.]  the episodes of vathek",False,False,False,False,False,False,False,False,True
