docid,title,parttitle,shorttitle
uc2.ark+=13960=t0ht2hz9k,Episodes in an obscure life,,Episodes in an obscure life
mdp.39015066690234,"Feodor Dose of the VII. Brigade : | episodes from ""Wachtstubenabenteuer"" / | $c: Selected and edited, with notes, by H.S. Beresford-Webb.",,"Feodor Dose of the VII. Brigade : episodes from ""Wachtstubenabenteuer"""
uc2.ark+=13960=t5z60fh7d,English episodes,,English episodes
nyp.33433075753404,"Episodes, | $c: by G.S. Street.",,Episodes
uc2.ark+=13960=t51g0nd7x,Animal episodes and studies in sensation,,Animal episodes and studies in sensation
njp.32101068177714,"An innocent cheat; | or, Episodes of the everlasting comedy. | $c: By T. C. De Leon.",,"An innocent cheat; or, Episodes of the everlasting comedy"
nyp.33433074958566,"The doctor speaks : | being some episodes in the experiences of John Selkirk, M. D. / | $c: by W. J. Dawson.",,"The doctor speaks : being some episodes in the experiences of John Selkirk, M. D"
mdp.39015048902913,"Richard Baldock; | an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him, | $c: by Archibald Marshall.",,"Richard Baldock; an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him"
mdp.39015031224101,"Sacred & profane love, | a novel in three episodes, | $c: by Arnold Bennett.",,"Sacred & profane love, a novel in three episodes"
mdp.39015030141074,"The episodes of Vathek, | $c: by William Beckford, tr. by Sir Frank T. Marzials, with an introduction by Lewis Melville [pseud.]",,The episodes of Vathek
nyp.33433076070121,"Hieronymus rides; | episodes in the life of a knight and jester at the court of Maximilian, King of the Romans, | $c: by Anna Coleman Ladd.",,"Hieronymus rides; episodes in the life of a knight and jester at the court of Maximilian, King of the Romans"
