docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match
nyp.33433088073691,,,,1793.0,1793.0,s,1793,    ,"London;Printed for John Stockdale, Piccadilly;1793.",1793,,,Aesop|Fables,,,24036316.0,enk,8681865,1,1.0,1.0,v. 1,1.0,The fables of AEsop : | with a life of the author : and embellished with one hundred & twelve plates.,,True,The fables of AEsop : with a life of the author : and embellished with one hundred & twelve plates,0.902972439552745,0.9642032662921716,,unknown,5.745689655172414,7.422395214030915,16.448979591836736,34.05964181591004,137.79183673469387,3511.626055810079,1.6,['unknown'],['unknown'],the fables of aesop : | with a life of the author : and embellished with one hundred & twelve plates.  the fables of aesop : with a life of the author : and embellished with one hundred & twelve plates,False,False,False,False,True
nyp.33433088073717,,,,1805.0,1805.0,s,1805,    ,"London;Printed for J. Johnson, R. Baldwin, F.C. and J. Rivington, G. and J. Robinson, J. Walker ... and E. Mathews;1805.",1805,"The seventeenth edition, carefully revised and improved.",,Didactic literature|Fables,,,23807307.0,enk,8681867,1,1.0,1.0,,,Fables of Aesop and others / | $c: translated into English with instructive applications; and a print before each fable by Samuel Croxall ...,,True,Fables of Aesop and others,0.6824347255077007,0.9762955529733004,,unknown,9.786486486486488,9.24900657414171,27.302702702702703,59.14620891161432,270.78648648648647,7080.384141709276,11.6,['fiction'],['unknown'],fables of aesop and others / | $c: translated into english with instructive applications; and a print before each fable by samuel croxall ...  fables of aesop and others,False,False,False,False,True
uc2.ark+=13960=t4xg9jm06,"Barre, William","Barre, William",,1814.0,1814.0,s,1814,    ,London;1814.,1814,,,,,,13279488.0,enk,7685533,1,1.0,1.0,,,"Tales, fables, &c",,True,"Tales, fables, &c",0.6790522625405081,0.9999997731333028,William,m,6.486238532110092,13.460819796313436,32.986175115207374,129.91225126887383,118.09216589861752,2458.175837244367,1.6,['fiction'],['unknown'],"tales, fables, &c  tales, fables, &c",False,True,False,False,True
hvd.hxjh6y,,,,1818.0,1818.0,s,1818,    ,"London;Printed for Baldwin, Cradock, and Joy [and 5 others;1818.",1818,,,,,,11262803.0,enk,9707401,1,1.0,1.0,,,The fables of Pilpay.,,True,The fables of Pilpay,0.2884000432548169,0.8835544475200268,,unknown,7.123076923076923,9.960236686390532,24.321100917431192,64.02839267177286,235.56269113149847,7811.579403155365,2.0,['fiction'],['unknown'],the fables of pilpay.  the fables of pilpay,False,False,False,False,True
nnc1.cu53348087,"Perrin, John","Perrin, John",,1827.0,1827.0,s,1827,    ,Edinburgh;Stevenson;1827.,1827,"2nd ed. enl. and improved, by James Hamilton ...",,"Readers|French language|Fables, French",,,43863650.0,stk,8427153,1,1.0,1.0,,,"Perrin's fables, | adapted to the Hamiltonian system, by a literal and analytical translation, for the use of schools.",,True,"Perrin's fables, adapted to the Hamiltonian system, by a literal and analytical translation, for the use of schools",0.4905046136426713,0.8309502673468403,John,m,20.433962264150946,84.47205411178355,37.574675324675326,96.55611190757294,358.461038961039,3473.475754764716,2.5,['unknown'],['unknown'],"perrin's fables, | adapted to the hamiltonian system, by a literal and analytical translation, for the use of schools.  perrin's fables, adapted to the hamiltonian system, by a literal and analytical translation, for the use of schools",False,False,False,False,True
inu.39000005550475,,,,1839.0,1839.0,s,1839,    ,London;C. Tilt;1839.,1839,,,Fables,,,11365988.0,enk,6929221,1,1.0,1.0,,,"Fables, original and selected / | $c: by the most esteemed European and Oriental authors ; with an introductory dissertation on the history of fable, comprising biographical notices of the most eminent fabulists, by G. Moir Bussey ; illustrated by numerous engravings, designed by J.J. Grandville.",,True,"Fables, original and selected",0.4092640951891368,0.9067917326494612,,unknown,18.67951807228916,218.46355639425173,40.41666666666666,248.66898148148152,505.58564814814815,53145.48340513546,2.5,['unknown'],['unknown'],"fables, original and selected / | $c: by the most esteemed european and oriental authors ; with an introductory dissertation on the history of fable, comprising biographical notices of the most eminent fabulists, by g. moir bussey ; illustrated by numerous engravings, designed by j.j. grandville.  fables, original and selected",False,False,False,False,True
nyp.33433088074210,"Bussey, George Moir","Bussey, George Moir",,1842.0,1842.0,s,1842,    ,London;Willoughby & Co.;1842.,1842,,,,,PN982.B8 1842a,38177909.0,enk,5062858,1,1.0,1.0,,,"Fables, original and selected; | by the most esteemed European and Oriental authors, with an introductory dissertation on the history of fable, comprising biographical notices of the most eminent fabulists. | $c: Illustrated by numerous engravings, designed by J.J. Grandville.",,True,"Fables, original and selected; by the most esteemed European and Oriental authors, with an introductory dissertation on the history of fable, comprising biographical notices of the most eminent fabulists",0.4653754644791992,0.827725711266039,George,m,20.75128205128205,169.79711374095987,40.18691588785047,489.9370250676914,499.1004672897196,54605.75859791248,2.3,['unknown'],['unknown'],"fables, original and selected; | by the most esteemed european and oriental authors, with an introductory dissertation on the history of fable, comprising biographical notices of the most eminent fabulists. | $c: illustrated by numerous engravings, designed by j.j. grandville.  fables, original and selected; by the most esteemed european and oriental authors, with an introductory dissertation on the history of fable, comprising biographical notices of the most eminent fabulists",False,False,False,False,True
nyp.33433074922851,"Lunn, William Arthur Brown","Lunn, William Arthur Brown",d. 1879.,1843.0,1843.0,s,1843,    ,London;W.S. Orr & Co.;1843.,1843,2. ed.,,"Fables, English",,,37325011.0,enk,8670690,1,1.0,1.0,,,"Bizarre fables: a series of eccentric historiettes. | $c: By Arthur Wallbridge [pseud.] ... With forty illustrations on wood by Henning, and a frontispiece by Crowquill [pseud.] ...",,True,Bizarre fables: a series of eccentric historiettes,0.3369861898017201,0.473130733523943,William,m,14.104294478527608,51.55353983966277,25.50299401197605,104.9446018143354,271.92814371257487,14012.497830685934,2.4,['unknown'],['unknown'],"bizarre fables: a series of eccentric historiettes. | $c: by arthur wallbridge [pseud.] ... with forty illustrations on wood by henning, and a frontispiece by crowquill [pseud.] ...  bizarre fables: a series of eccentric historiettes",False,False,False,False,True
nyp.33433068197858,"Dodsley, Robert","Dodsley, Robert",1703-1764.,1846.0,1764.0,s,1846,    ,London;J. Burns;1846,1846,,,Fables,,,38177934.0,enk,8626235,1,1.0,1.0,,,"Fables, | $c: selected from Dodsley, Croxall, &c. and carefully revised.",,False,Fables,0.2308506523568921,0.2782126192673408,Robert,m,17.378995433789953,37.78330310043577,36.34521158129176,125.05454834053404,428.3073496659243,13970.163888075953,1.1,['unknown'],['unknown'],"fables, | $c: selected from dodsley, croxall, &c. and carefully revised.  fables",False,False,False,False,True
nyp.33433088073725,,,,1852.0,1852.0,s,1852,    ,London;J. Murray;1852.,1852,,,Fables,,,4888451.0,enk,8681871,1,1.0,1.0,,,"Aesop's fables : | a new version, chiefly from original sources / | $c: by Thomas James ; with more than one hundred illustrations designed by John Tenniel.",,True,"Aesop's fables : a new version, chiefly from original sources",0.3806394037477176,0.9412084611735396,,unknown,10.54320987654321,25.96418228928517,20.564705882352943,146.64581314878896,213.2764705882353,11351.435328719725,11.3,['unknown'],['unknown'],"aesop's fables : | a new version, chiefly from original sources / | $c: by thomas james ; with more than one hundred illustrations designed by john tenniel.  aesop's fables : a new version, chiefly from original sources",False,False,False,False,True
