keyword,match_count,example_docid
stories,334,"['njp.32101048392763', 'mdp.39015009232102', 'njp.32101068989910', 'njp.32101073253690', 'hvd.hn6gv5', 'njp.32101046807218', 'mdp.39015012113810', 'hvd.hn2gt5', 'hvd.hwk119', 'nyp.33433082533989', 'nyp.33433086948258', 'mdp.39015059901713', 'uc2.ark+=13960=t2f766t3r', 'hvd.hwk11h', 'uiuo.ark+=13960=t06w9wj7b', 'uiuo.ark+=13960=t98631g4k', 'nyp.33433081991675', 'nyp.33433067296370', 'uiuo.ark+=13960=t7np2b533', 'uc1.b3322689']"
tales,544,"['nyp.33433074918859', 'uc2.ark+=13960=t9t14wb76', 'njp.32101048392763', 'nnc1.1002330652', 'njp.32101068989910', 'uc2.ark+=13960=t1ng4kw2z', 'uc2.ark+=13960=t6f19705j', 'ucm.5320307018', 'uc2.ark+=13960=t6pz5d01n', 'njp.32101076417573', 'hvd.hxj9j6', 'nyp.33433051569915', 'uiuo.ark+=13960=t1pg2cj2j', 'uiuo.ark+=13960=t8rb7p983', 'mdp.39015063608346', 'uiuo.ark+=13960=t96692w8z', 'uiuo.ark+=13960=t2w38cp5d', 'njp.32101030687592', 'njp.32101028206678', 'njp.32101030687576']"
sketches,137,"['hvd.hn2u4x', 'nyp.33433074918859', 'nyp.33433074910260', 'njp.32101074210913', 'hvd.hn2heh', 'nyp.33433082456462', 'mdp.39015047645893', 'mdp.39015064001236', 'nnc1.0315059251', 'nyp.33433076076573', 'uiuo.ark+=13960=t1vd7g69f', 'njp.32101067640787', 'hvd.hxg8rg', 'uc1.$b275177', 'mdp.39015063616968', 'njp.32101063581191', 'nyp.33433074889829', 'mdp.39015008020441', 'mdp.39015010961483', 'uiuo.ark+=13960=t8rb7bp20']"
narratives,17,"['nyp.33433074911540', 'nyp.33433074911557', 'nyp.33433074911565', 'nyp.33433074911573', 'nyp.33433074911581', 'hvd.hn1qv9', 'hvd.hn2tpv', 'uc2.ark+=13960=t6j100k2b', 'nyp.33433067379978', 'uc2.ark+=13960=t3319vh49', 'nyp.33433003303751', 'nyp.33433066600309', 'njp.32101058591056', 'njp.32101073812396', 'nyp.33433082226253', 'njp.32101075688901', 'njp.32101075688919']"
fables,21,"['nyp.33433088073691', 'nyp.33433088073717', 'uc2.ark+=13960=t4xg9jm06', 'hvd.hxjh6y', 'nnc1.cu53348087', 'inu.39000005550475', 'nyp.33433088074210', 'nyp.33433074922851', 'nyp.33433068197858', 'nyp.33433088073725', 'uc2.ark+=13960=t4cn6zq04', 'nyp.33433068198625', 'uc2.ark+=13960=t2d796f7k', 'mdp.39076002620958', 'inu.39000005510875', 'mdp.39015013515245', 'inu.39000005767160', 'uc2.ark+=13960=t12n51f68', 'uc2.ark+=13960=t12n51x90', 'mdp.39015013282853']"
anecdotes,38,"['mdp.39015024477674', 'mdp.39015031644233', 'nyp.33433074931506', 'mdp.39015021028801', 'hvd.hw204v', 'ucm.5320307018', 'uiuo.ark+=13960=t1qf9705s', 'uc2.ark+=13960=t4sj1sc49', 'uiuo.ark+=13960=t8df73z71', 'uiuo.ark+=13960=t9j399s2p', 'uiuo.ark+=13960=t7br98r5d', 'uc1.b3548239', 'njp.32101068162807', 'nyp.33433075892822', 'njp.32101067408169', 'uiuo.ark+=13960=t6057tw2c', 'nyp.33433082380837', 'uc1.b3324270', 'hvd.hn5cdm', 'nnc1.cu56764111']"
legends,73,"['uc2.ark+=13960=t8df6pq05', 'nyp.33433061821587', 'nyp.33433061821595', 'nyp.33433061821603', 'umn.31951002081141q', 'nyp.33433068187453', 'hvd.32044014453831', 'njp.32101066458132', 'hvd.32044014345045', 'hvd.hxcp8q', 'inu.39000005802959', 'inu.39000005802967', 'nyp.33433068186984', 'uc1.31822038204038', 'uiuo.ark+=13960=t64467t7c', 'nyp.33433086945825', 'hvd.hxczmh', 'mdp.39015016735337', 'nyp.33433074923164', 'wu.89090379819']"
yarns,5,"['uc2.ark+=13960=t71v5h271', 'njp.32101064793746', 'uc2.ark+=13960=t9x05zh39', 'uc2.ark+=13960=t6c24tb5w', 'coo1.ark+=13960=t79s29k4g']"
episodes,11,"['uc2.ark+=13960=t0ht2hz9k', 'mdp.39015066690234', 'uc2.ark+=13960=t5z60fh7d', 'nyp.33433075753404', 'uc2.ark+=13960=t51g0nd7x', 'njp.32101068177714', 'nyp.33433074958566', 'mdp.39015048902913', 'mdp.39015031224101', 'mdp.39015030141074', 'nyp.33433076070121']"
chronicles,24,"['mdp.39015016424130', 'mdp.39015063994225', 'hvd.hnpej4', 'njp.32101062190820', 'mdp.39015063558210', 'uc2.ark+=13960=t89g5p164', 'uc2.ark+=13960=t5fb5545t', 'uc1.b3339483', 'nyp.33433074970736', 'uc1.$b571626', 'uiuo.ark+=13960=t1bk1qb2j', 'uiuo.ark+=13960=t6251wg82', 'nyp.33433074863303', 'mdp.39015065597083', 'mdp.39015065597067', 'uc1.b3505971', 'uiuo.ark+=13960=t50g41v61', 'uc2.ark+=13960=t6d224v2f', 'uc2.ark+=13960=t39023q38', 'nnc1.cu55085962']"
