docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match,short stories_match,collection_match,miscellanies_match
uva.x002589579,"Goldsmith, Oliver","Goldsmith, Oliver",ca. 1730-1774.,1806.0,1774.0,s,1806,    ,London;Printed for J. Johnson [etc.;1806.,1806,New ed.|v.1-4.  Miscellanies.--v.5-l0.  Animated nature.--v.11-14. History of England.--v.15-16.  Roman history.--v.l7-l8.  Grecian history.,,,,,8035839.0,enk,9793414,1,1.0,1.0,v.1,1.0,"The works of Oliver Goldsmith, | with an account of his life and writings.",Miscellanies,False,Miscellanies,0.8333786566348852,0.067485680781215,Oliver,m,12.251851851851852,14.894595336076817,33.41204819277108,64.96997532297867,325.4626506024096,10371.848605022498,1.1,['urn:uuid:76e48a3e-0b5c-4012-a05c-c7921bdeb768'],['unknown'],"the works of oliver goldsmith, | with an account of his life and writings. miscellanies miscellanies",False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc1.$b111347,"Mason, William","Mason, William",1725-1797.,1811.0,1797.0,s,1811,    ,London;T. Cadell and W. Davies;1811.,1811,,,,,,3140899.0,enk,246273,2,2.0,2.0,v.1,1.0,The works of William Mason,Odes. Elegies. Sonnets. Epitaphs and inscriptions. Miscellanies. The English garden. Religio clerici. Hymns. Psalms,True,Odes. Elegies. Sonnets. Epitaphs and inscriptions. Miscellanies. The English garden. Religio clerici. Hymns. Psalms,0.9578210496828014,0.1611001345377967,William,m,7.54054054054054,12.260830477046692,24.23246492985972,51.72151115858971,220.97194388777555,6000.792800028916,1.5,['unknown'],['english literature'],the works of william mason odes. elegies. sonnets. epitaphs and inscriptions. miscellanies. the english garden. religio clerici. hymns. psalms odes. elegies. sonnets. epitaphs and inscriptions. miscellanies. the english garden. religio clerici. hymns. psalms,False,False,False,False,False,False,False,False,False,False,False,False,False,True
hvd.hwjrwz,"Fielding, Henry","Fielding, Henry",1707-1754. ,1824.0,1754.0,s,1824,    ,London;Richard's and Co.;1824.,1824,v. 1-4. Plays.--v. 5. Journey to next world. Joseph Andrews.--v. 6. Joseph Andrews. Tom Jones.--v. 7-8. Tom Jones.--v. 9. Tom Jones. Miscellanies.--v. 10-11. Amelia.--v. 12. Miscellanies.,,,,,13991261.0,enk,9719032,2,2.0,2.0,v.9,9.0,"The works of Henry Fielding, with a life of the author.",Tom Jones. Miscellanies,False,Tom Jones. Miscellanies,6.720770420385863e-13,4.2214927785737264e-12,Henry,m,13.610047846889952,30.381430141251343,35.65558194774347,28.71985601525606,392.4346793349168,6646.711291405487,2.6,['unknown'],['unknown'],"the works of henry fielding, with a life of the author. tom jones. miscellanies tom jones. miscellanies",False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc1.b3546903,"Mrs. Jameson, (Anna)","Jameson, (Anna), Mrs",1794-1860.,1834.0,1834.0,s,1834,    ,London;Saunders and Otley;1834.,1834,,,Italy|Germany|Art|Description and travel,Germany|Italy,,5531549.0,enk,6128971,1,1.0,1.0,v.3,3.0,"Visits and sketches at home and abroad; | with tales and miscellanies now first collected, and a new edition of the ""Diary of an ennuyee.""",,True,"Visits and sketches at home and abroad; with tales and miscellanies now first collected, and a new edition of the ""Diary of an ennuyee.""",0.7949995152434681,0.0064512636927476,Anna,f,7.936241610738255,11.401975136255125,22.6504854368932,35.24353536305653,203.4822006472492,3285.511819105372,1.3,['unknown'],['unknown'],"visits and sketches at home and abroad; | with tales and miscellanies now first collected, and a new edition of the ""diary of an ennuyee.""  visits and sketches at home and abroad; with tales and miscellanies now first collected, and a new edition of the ""diary of an ennuyee.""",False,True,True,False,False,False,False,False,False,False,False,False,False,True
uc1.b3315411,"Smith, James","Smith, James",1775-1839.,1841.0,1839.0,s,1841,    ,London;H. Colburn;1841.,1841,2d ed.,,,,,5422214.0,enk,7921909,1,1.0,1.0,v. 2,2.0,"Comic miscellanies in prose and verse / | $c: by the late James Smith ; with a selection from his correspondence, and memoirs of his life, edited by his brother, Horace Smith.",,True,Comic miscellanies in prose and verse,0.7581624111141841,0.0585877995550443,James,m,13.017595307917889,30.92051151950877,29.110787172011666,31.90026264566635,290.1924198250729,4158.196210762522,3.3,['unknown'],['unknown'],"comic miscellanies in prose and verse / | $c: by the late james smith ; with a selection from his correspondence, and memoirs of his life, edited by his brother, horace smith.  comic miscellanies in prose and verse",False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t0pr7sq62,"Thackeray, William Makepeace","Thackeray, William Makepeace",1811-1863.,1855.0,1855.0,m,1855,1857,London;Bradbury & Evans;1855-1857.,1855-1857,,,English literature,,,4538198.0,enk,6059476,1,14.0,2.0,v.03,3.0,Miscellanies,"The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy",True,"The memoirs of Barry Lyndon, Esq. A legend of the Rhine. Rebecca and Rowena. A little dinner at Timmins's. The Bedford-Row conspiracy",0.0,0.0,William,m,16.034615384615385,35.06034023668639,43.25,140.8134541984733,462.92748091603056,7661.448939455742,5.3,['unknown'],['unknown'],"miscellanies the memoirs of barry lyndon, esq. a legend of the rhine. rebecca and rowena. a little dinner at timmins's. the bedford-row conspiracy the memoirs of barry lyndon, esq. a legend of the rhine. rebecca and rowena. a little dinner at timmins's. the bedford-row conspiracy",False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc1.b3543426,"Mrs. Mathews, (Anne Jackson)","Mathews, (Anne Jackson), Mrs",1782?-1869.,1857.0,1857.0,s,1857,    ,London;Thomas Cautley Newby;1857.,1857,,,,,PR 451M4,5342889.0,enk,1692608,1,1.0,1.0,v.1,1.0,"Tea-table talk, ennobled actresses, and other miscellanies. | $c: By Mrs. Mathews ...",,True,"Tea-table talk, ennobled actresses, and other miscellanies",0.5740689591863725,0.0056115371995521,Anne,f,7.633879781420765,9.658305712323449,28.13101604278075,40.718128914181136,265.3529411764706,3382.666876376219,0.9,['unknown'],['english literature'],"tea-table talk, ennobled actresses, and other miscellanies. | $c: by mrs. mathews ...  tea-table talk, ennobled actresses, and other miscellanies",False,False,False,False,False,False,False,False,False,False,False,False,False,True
uiuo.ark+=13960=t9474pv79,"Collins, Wilkie","Collins, Wilkie",1824-1889.,1863.0,1863.0,s,1863,    ,"London;S. Low, son, & co.;1863.",1863,,Mystery and detective fiction|Great Britain,,,PZ3.C697Mym,3906629.0,enk,665147,1,1.0,1.0,v.2,2.0,My miscellanies,,True,My miscellanies,0.4919583154480953,0.0004664970131182,Wilkie,unknown,11.407894736842104,24.59677977839335,30.667752442996743,26.20231514392726,262.0521172638436,2521.515199100256,2.6,"['fiction', 'urn:uuid:05a47663-29a5-4d74-87e3-065b246c7e97']",['fiction and juvenile belles lettres'],my miscellanies  my miscellanies,False,False,False,False,False,False,False,False,False,False,False,False,False,True
uc2.ark+=13960=t9z03906q,"Morley, John","Morley, John",1838-1923.,1871.0,1871.0,s,1871,    ,London;Chapman and Hall;1871.,1871,,,Literature|Social sciences|History and criticism,,PN511.M5 1871,4533367.0,enk,157752,5,5.0,5.0,,,Critical miscellanies,,True,Critical miscellanies,0.9042160950821992,0.0003372954331453,John,m,11.421195652173912,12.27639857041588,34.670212765957444,74.97634676324128,358.2074468085106,5905.031433906745,1.4,['unknown'],['literature (general)'],critical miscellanies  critical miscellanies,False,False,False,False,False,False,False,False,False,False,False,False,False,True
mdp.39015068099236,"Hollingshead, John","Hollingshead, John",1827-1904.,1874.0,1874.0,s,1874,    ,London;Tinsley brothers;1874.,1874,,,,,PR4794.H27 1874,1990350.0,enk,5552700,1,1.0,1.0,v.1,1.0,Miscellanies : | stories and essays / | $c: by John Hollingshead.,,True,Miscellanies : stories and essays,0.5296851813711656,0.0253015909391677,John,m,19.80145278450363,60.78866617028886,39.952153110047846,47.964217852155386,505.366028708134,8191.476070831712,2.2,['unknown'],['english literature'],miscellanies : | stories and essays / | $c: by john hollingshead.  miscellanies : stories and essays,True,False,False,False,False,False,False,False,False,False,False,False,False,True
