docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match
nyp.33433074911540,"Smith, Charlotte Turner","Smith, Charlotte Turner",1749-1806.,1800.0,1800.0,m,1800,1802,London;Printed by and for S. Low;1800-1802.,1800-1802,v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.,,English fiction,,,7096924.0,enk,1423005,1,1.0,1.0,v. 1,1.0,The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...,The story of Edouarda,True,The story of Edouarda,0.0729271226107538,0.0193761443753443,Charlotte,f,6.459807073954984,6.312693210367965,24.231012658227847,9.032076189713187,181.9367088607595,810.4516904342253,1.4,['fiction'],['unknown'],the letters of a solitary wanderer: | containing narratives of various description. | $c: by charlotte smith ... the story of edouarda the story of edouarda,False,False,False,True
nyp.33433074911557,"Smith, Charlotte Turner","Smith, Charlotte Turner",1749-1806.,1800.0,1800.0,m,1800,1802,London;Printed by and for S. Low;1800-1802.,1800-1802,v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.,,English fiction,,,7096924.0,enk,1423005,1,1.0,1.0,v. 2,2.0,The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...,The story of Henrietta,True,The story of Henrietta,0.0,0.0,Charlotte,f,7.504731861198739,10.483416095294013,24.42283950617284,9.318120332266425,188.7253086419753,874.1128162627648,1.2,['fiction'],['unknown'],the letters of a solitary wanderer: | containing narratives of various description. | $c: by charlotte smith ... the story of henrietta the story of henrietta,False,False,False,True
nyp.33433074911565,"Smith, Charlotte Turner","Smith, Charlotte Turner",1749-1806.,1800.0,1800.0,m,1800,1802,London;Printed by and for S. Low;1800-1802.,1800-1802,v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.,,English fiction,,,7096924.0,enk,1423005,1,1.0,1.0,v. 3,3.0,The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...,The story of Corisande,True,The story of Corisande,0.1641873639080721,0.010435305406483,Charlotte,f,6.506527415143603,10.135074886324128,24.151670951156813,8.539977927716576,175.52699228791775,821.3032559922284,1.4,['fiction'],['unknown'],the letters of a solitary wanderer: | containing narratives of various description. | $c: by charlotte smith ... the story of corisande the story of corisande,False,False,False,True
nyp.33433074911573,"Smith, Charlotte Turner","Smith, Charlotte Turner",1749-1806.,1800.0,1800.0,m,1800,1802,London;Printed by and for S. Low;1800-1802.,1800-1802,v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.,,English fiction,,,7096924.0,enk,1423005,1,1.0,1.0,v. 4,4.0,The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...,The Hungarian,True,The Hungarian,0.0,0.0,Charlotte,f,6.933098591549296,6.632848145209284,24.29513888888889,10.103865258487652,196.1805555555556,1007.81462191358,1.4,['fiction'],['unknown'],the letters of a solitary wanderer: | containing narratives of various description. | $c: by charlotte smith ... the hungarian the hungarian,False,False,False,True
nyp.33433074911581,"Smith, Charlotte Turner","Smith, Charlotte Turner",1749-1806.,1800.0,1800.0,m,1800,1802,London;Printed by and for S. Low;1800-1802.,1800-1802,v. 1.  The story of Edouarda.--v. 2.  The story of Henrietta.--v. 3.  The story of Corisande.--v. 4.  The Hungarian.--v. 5.  The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle.,,English fiction,,,7096924.0,enk,1423005,1,1.0,1.0,v. 5,5.0,The letters of a solitary wanderer: | containing narratives of various description. | $c: By Charlotte Smith ...,The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle,True,The Hungarian (con't.) Leonora.  Guilelmine de Mortivalle,0.0,0.0,Charlotte,f,6.275974025974026,14.953059116208468,24.275974025974023,8.193318856468208,193.12662337662337,863.4612392477652,2.2,['fiction'],['unknown'],the letters of a solitary wanderer: | containing narratives of various description. | $c: by charlotte smith ... the hungarian (con't.) leonora.  guilelmine de mortivalle the hungarian (con't.) leonora.  guilelmine de mortivalle,False,False,False,True
hvd.hn1qv9,,,,1801.0,1801.0,s,1801,    ,London;Printed for W. Miller;1801.,1801,,,,,,11593123.0,enk,9713197,1,1.0,1.0,,,"The moral legacy; or, Simple narratives.",,True,"The moral legacy; or, Simple narratives",0.3198743654207954,0.0044116517496517,,unknown,10.348648648648648,20.254119795471144,25.56533333333333,15.120398222222226,226.38666666666663,1673.1864888888886,1.3,['unknown'],['unknown'],"the moral legacy; or, simple narratives.  the moral legacy; or, simple narratives",False,False,False,True
hvd.hn2tpv,"Hunter, Rachel","Hunter, Rachel",1754-1813.,1803.0,1803.0,s,1803,    ,"London;Printed for W. Robberds, Norwich; sold by Longman and Rees;1803.",1803,,,,,,13369490.0,enk,9711854,1,2.0,2.0,v.3,3.0,"Letters from Mrs. Palmerstone to her daughter; | inculcating morality by entertaining narratives. | $c: By Mrs. Hunter, of Norwich.",,True,Letters from Mrs. Palmerstone to her daughter; inculcating morality by entertaining narratives,0.0,0.0,Rachel,f,9.099462365591398,17.363763151809458,25.2720207253886,20.75761094257564,197.5440414507772,2020.6159359982817,1.1,['unknown'],['unknown'],"letters from mrs. palmerstone to her daughter; | inculcating morality by entertaining narratives. | $c: by mrs. hunter, of norwich.  letters from mrs. palmerstone to her daughter; inculcating morality by entertaining narratives",False,False,False,True
uc2.ark+=13960=t6j100k2b,"Bouilly, Jean Nicolas","Bouilly, Jean Nicolas",1763-1842.,1813.0,1813.0,s,1813,    ,London;Colburn;1813.,1813,,,Young women,,,12656263.0,enk,7686098,1,1.0,1.0,,,"A father's advice to his daughter; or, Instructive narratives from real life",,True,"A father's advice to his daughter; or, Instructive narratives from real life",1.0,0.0,Jean,m,9.542207792207792,14.6053613594198,34.085443037974684,45.166750120173056,272.253164556962,4233.005527960263,1.8,['unknown'],['unknown'],"a father's advice to his daughter; or, instructive narratives from real life  a father's advice to his daughter; or, instructive narratives from real life",False,False,False,True
nyp.33433067379978,"Bouilly, Jean Nicolas","Bouilly, Jean Nicolas",1763-1842.,1814.0,1814.0,s,1814,    ,London;Printed for H. Colburn [etc.;1814.,1814,2. ed. ...,,Young women,,,37878130.0,enk,8621285,1,1.0,1.0,,,"Instructive narratives from real life; or, A father's advice to his daughter. | $c: By the author of A father's tales to his daughter.",,True,"Instructive narratives from real life; or, A father's advice to his daughter",0.0,0.0,Jean,m,9.24342105263158,12.828904085872576,30.62382445141066,50.30363302247423,267.1755485893417,5692.821847269583,1.1,['unknown'],['unknown'],"instructive narratives from real life; or, a father's advice to his daughter. | $c: by the author of a father's tales to his daughter.  instructive narratives from real life; or, a father's advice to his daughter",False,True,False,True
uc2.ark+=13960=t3319vh49,"Feuerbach, Paul Johann Anselm","Feuerbach, Paul Johann Anselm",,1846.0,1846.0,s,1846,    ,London;J. Murray;1846.,1846,,,Germany|Trials (Murder)|Trials|Homicide,,LAW <Collected Trials (A & E)>,4904258.0,enk,1120339,1,2.0,2.0,,,Narratives of remarkable criminal trials,,True,Narratives of remarkable criminal trials,0.8457937079107603,0.0480202222893482,Paul,m,15.57682619647355,678.5312513879284,41.34586466165413,1057.8803776358186,351.8421052631579,29623.315921382407,4.6,['unknown'],['unknown'],narratives of remarkable criminal trials  narratives of remarkable criminal trials,False,False,False,True
