docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match
njp.32101067646065,"Holland, John","Holland, John",1794-1872.,1824.0,1824.0,s,1824,    ,London;H. Fisher;1824.,1824,,,,,,5809304.0,enk,8961969,1,1.0,1.0,,,"The old arm-chair : | or, Recollections of a bachelor : a tale / | $c: by Sexagenarius [i.e. J. Holland].",,True,"The old arm-chair : or, Recollections of a bachelor : a tale",0.6943531428240867,0.2009320462869109,John,m,5.630662020905923,9.61271837705933,24.81660899653979,19.194741442272004,195.46712802768167,2091.688365800218,1.5,['fiction'],['unknown'],"the old arm-chair : | or, recollections of a bachelor : a tale / | $c: by sexagenarius [i.e. j. holland].  the old arm-chair : or, recollections of a bachelor : a tale",False,False,False,False,False,False,False,False,False,False,True
nyp.33433074957402,"O'Sullivan, Samuel","O'Sullivan, Samuel",,1825.0,1825.0, ,1825,    ,"London;Longman, Hurst, Rees, Orme, Brown, and Green;1825.",1825,,,Ireland|College students,,,23936361.0,enk,7656087,2,2.0,2.0,,,College recollections..,,True,College recollections,0.1072732878622709,0.0161277471355558,Samuel,m,7.232638888888889,6.991018036265432,25.06529209621993,19.359998110556088,238.2508591065292,2449.5831178186377,1.6,['unknown'],['unknown'],college recollections..  college recollections,False,False,False,False,False,False,False,False,False,False,True
uc1.b3321448,"Boswell, Thomas Alexander","Boswell, Thomas Alexander",,1826.0,1826.0,s,1826,    ,London;Saunders and Otley;1826.,1826,,,,,,2132737.0,enk,7914959,2,2.0,2.0,v. 1,1.0,"Recollections of a pedestrian. | $c: By the author of ""The journal of an exile ... """,,True,Recollections of a pedestrian,0.3242367804557161,0.4399641355404605,Thomas,m,6.479310344827586,6.408192627824019,19.928571428571427,14.447278911564627,179.4387755102041,1495.9333263917813,1.3,['fiction'],['unknown'],"recollections of a pedestrian. | $c: by the author of ""the journal of an exile ... ""  recollections of a pedestrian",False,False,False,False,False,False,False,False,False,False,True
mdp.39015073732433,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1828.0,1828.0,s,1828,    ,London;H. Colburn;1828.,1828,2d ed. ...,,"Description and travel|1792-1822|Shelley, Percy Bysshe|Byron, George Gordon Byron|Baron|Correspondence|1788-1824|Authors",Italy,PR4381.H7 1828,2610667.0,enk,588507,1,1.0,1.0,v.2,2.0,"Lord Byron and some of his contemporaries; | with Recollections of the author's life, and of his visit to Italy. | $c: By Leigh Hunt.",,True,"Lord Byron and some of his contemporaries; with Recollections of the author's life, and of his visit to Italy",0.9023104700173696,0.3352107348718648,Leigh,f,10.562091503267974,68.73851937289078,25.43776824034335,32.13453922525742,240.3540772532189,3615.6278481828726,2.7,['unknown'],['english literature'],"lord byron and some of his contemporaries; | with recollections of the author's life, and of his visit to italy. | $c: by leigh hunt.  lord byron and some of his contemporaries; with recollections of the author's life, and of his visit to italy",False,False,False,False,False,False,False,False,False,False,True
nyp.33433081598363,"Carne, John","Carne, John",1789-1844.,1830.0,1830.0,s,1830,    ,London;H. Colburn and R. Bentley;1830.,1830,,,Description and travel,Middle East,,18361195.0,enk,1862584,2,2.0,2.0,,,Recollections of travels in the East; | forming a continuation of the Letters from the East.,,True,Recollections of travels in the East; forming a continuation of the Letters from the East,0.8181061868226317,0.007166342109762,John,m,6.511299435028248,17.967386447061827,23.05292479108635,15.849566654510753,208.1030640668524,1723.2623582995166,1.5,['unknown'],['unknown'],recollections of travels in the east; | forming a continuation of the letters from the east.  recollections of travels in the east; forming a continuation of the letters from the east,False,False,False,False,False,False,False,False,False,False,True
hvd.hwcl76,"Angelo, Henry","Angelo, Henry",1756-1835.,1834.0,1834.0,s,1834,    ,London;J. Ebers;1834.,1834,,,Table-talk,,PN6251.A5,1243906.0,enk,9717467,2,2.0,2.0,,,"Angelo's pic nic, or, Table talk : | including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes / | $c: written by himself ; in addition to which are several original literary contributions from the following distinguished authors: Colman ... [et al.]",,True,"Angelo's pic nic, or, Table talk : including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes",0.600536256947922,0.1444806612643091,Henry,m,8.521091811414392,15.113078708692251,23.926470588235293,9.587730680507496,229.8063725490196,1634.9208417435602,8.0,['unknown'],['literature (general)'],"angelo's pic nic, or, table talk : | including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes / | $c: written by himself ; in addition to which are several original literary contributions from the following distinguished authors: colman ... [et al.]  angelo's pic nic, or, table talk : including numerous recollections of public characters, who have figured in some part or another of the stage of life for the last fifty years : forming an endless variety of talent, amusement, and interest, calculated to please every person fond of biographical sketches and anecdotes",False,False,True,False,False,True,False,False,False,False,True
mdp.39015006978483,"Ellis, Sarah Stickney","Ellis, Sarah Stickney",1812-1872.,1842.0,1842.0,s,1842,    ,"London [etc.;Fisher, son & co.;1842",1842,v.1. Dangers of dining out. Confessions of a maniac. Somerville hall. The rising tide. The favourite child.--v.2. First impressions. The minister's family.--v.3. The young sculptor. The two friends. Fireside recollections.,,,,PZ3.E476F,1693132.0,enk,782309,2,2.0,2.0,v.3,3.0,"Family secrets, or, Hints to those who would make home happy / | $c: By the author of ""The women of England"" ...",The young sculptor. The two friends. Fireside recollections,True,The young sculptor. The two friends. Fireside recollections,0.1708879058105704,0.00360747890088,Sarah,f,9.025316455696204,14.303156545425416,30.694864048338367,51.19692226248391,324.9969788519638,8359.49545915061,0.6,['unknown'],['fiction and juvenile belles lettres'],"family secrets, or, hints to those who would make home happy / | $c: by the author of ""the women of england"" ... the young sculptor. the two friends. fireside recollections the young sculptor. the two friends. fireside recollections",False,False,False,False,False,False,False,False,False,False,True
nyp.33433082342159,"Campbell, Calder","Campbell, Calder",,1847.0,1847.0,s,1847,    ,London;1847.,1847,,,,,,34529332.0,enk,8638159,1,1.0,1.0,v. 1,1.0,Rough Recollections of Rambles Abroàd and at Home.,,True,Rough Recollections of Rambles Abroàd and at Home,0.441781622143486,0.2254707571741654,Calder,m,5.301324503311259,4.356223411253892,19.324590163934428,11.471690405804893,161.3409836065574,1011.0902875571084,1.4,['unknown'],['unknown'],rough recollections of rambles abroàd and at home.  rough recollections of rambles abroàd and at home,False,False,False,False,False,False,False,False,False,False,True
nyp.33433074920244,"Neale, Erskine","Neale, Erskine",1804-1883.,1849.0,1849.0,s,1849,    ,London;R. Bentley;1849.,1849,"New ed.,|with new preface and additions.",,,,,36386155.0,enk,8667104,1,1.0,1.0,,,"Experiences of a gaol chaplain; | comprising recollections of ministerial intercourse with criminals of various classes, with their confessions.",,True,"Experiences of a gaol chaplain; comprising recollections of ministerial intercourse with criminals of various classes, with their confessions",0.2086992670751229,0.0151277334340925,Erskine,m,24.350467289719628,41.12483623023845,39.49653579676674,29.395484535092724,450.270207852194,5333.185648224696,1.9,['fiction'],['unknown'],"experiences of a gaol chaplain; | comprising recollections of ministerial intercourse with criminals of various classes, with their confessions.  experiences of a gaol chaplain; comprising recollections of ministerial intercourse with criminals of various classes, with their confessions",False,False,False,False,False,False,False,False,False,False,True
mdp.39015030741618,"Patmore, P. G. (Peter George)","Patmore, P. G. (Peter George)",1786-1855.,1854.0,1854.0,s,1854,    ,London;Saunders and Otley;1854.,1854,v. 1. Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward. - v. 2. R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt. - v. 3. William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan.,,"Authors, English",,PR452.P3,1179029.0,enk,160912,1,1.0,1.0,v.1,1.0,"My friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: By P. G. Patmore.",Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward,True,Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward,0.7013748790484607,0.0020097681753214,Peter,m,6.052631578947368,10.964335180055402,23.937694704049843,38.35748876660747,200.8816199376947,3704.2788210518142,0.9,['unknown'],['english literature'],"my friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: by p. g. patmore. charles lamb. thomas campbell. the countess of blessington. r. plumer ward charles lamb. thomas campbell. the countess of blessington. r. plumer ward",False,False,False,False,False,False,False,False,False,False,True
