docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match,narratives_match,fables_match,anecdotes_match,legends_match,yarns_match,episodes_match,chronicles_match,recollections_match,short stories_match,collection_match,miscellanies_match,selections_match
njp.32101064915448,"St. Leger, Barry","St. Leger, Barry",1799-1829.,1826.0,1826.0,s,1826,    ,London;Printed for Charles Knight;1826.,1826,,,,,PZ3.S145M,4330934.0,enk,9409283,1,1.0,1.0,vol.2,2.0,Mr. Blount's mss.; | being selections from the papers of a man of the world. | $c: By the author of Gilbert Earle.,,True,Mr. Blount's mss.; being selections from the papers of a man of the world,0.3041269380745435,0.0129284418492116,Barry,m,8.602112676056338,31.96492511406468,21.41379310344828,37.290844233055886,200.05172413793105,5625.469738406659,0.8,['unknown'],['fiction and juvenile belles lettres'],mr. blount's mss.; | being selections from the papers of a man of the world. | $c: by the author of gilbert earle.  mr. blount's mss.; being selections from the papers of a man of the world,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
njp.32101071987307,"Hunt, Leigh","Hunt, Leigh",1784-1859.,1849.0,1849.0,s,1849,    ,London;Chapman and Hall;1849.,1849,,,Literature|English literature|Collections,,,2197554.0,enk,1421790,1,1.0,1.0,v.1,1.0,"A book for a corner : | or, selections in prose and verse from authors the best suited to that mode of enjoyment / | $c: with comments on each, and a general introduction, by Leigh Hunt.",,True,"A book for a corner : or, selections in prose and verse from authors the best suited to that mode of enjoyment",0.7397977883315495,0.304490294873141,Leigh,f,10.648979591836737,19.207396917950856,28.952,47.87769599999999,329.372,9120.817616,1.8,['unknown'],['unknown'],"a book for a corner : | or, selections in prose and verse from authors the best suited to that mode of enjoyment / | $c: with comments on each, and a general introduction, by leigh hunt.  a book for a corner : or, selections in prose and verse from authors the best suited to that mode of enjoyment",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
mdp.39015030741618,"Patmore, P. G. (Peter George)","Patmore, P. G. (Peter George)",1786-1855.,1854.0,1854.0,s,1854,    ,London;Saunders and Otley;1854.,1854,v. 1. Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward. - v. 2. R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt. - v. 3. William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan.,,"Authors, English",,PR452.P3,1179029.0,enk,160912,1,1.0,1.0,v.1,1.0,"My friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: By P. G. Patmore.",Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward,True,Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward,0.7013748790484607,0.0020097681753214,Peter,m,6.052631578947368,10.964335180055402,23.937694704049843,38.35748876660747,200.8816199376947,3704.2788210518142,0.9,['unknown'],['english literature'],"my friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: by p. g. patmore. charles lamb. thomas campbell. the countess of blessington. r. plumer ward charles lamb. thomas campbell. the countess of blessington. r. plumer ward",False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
mdp.39015030741592,"Patmore, P. G. (Peter George)","Patmore, P. G. (Peter George)",1786-1855.,1854.0,1854.0,s,1854,    ,London;Saunders and Otley;1854.,1854,v. 1. Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward. - v. 2. R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt. - v. 3. William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan.,,"Authors, English",,PR452.P3,1179029.0,enk,160912,1,1.0,1.0,v.2,2.0,"My friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: By P. G. Patmore.",R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt,True,R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt,0.6438136524564205,0.0306342969397176,Peter,m,6.932960893854749,14.174276707967916,24.476712328767125,21.071375492587727,211.81917808219177,2308.487851379246,1.9,['unknown'],['english literature'],"my friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: by p. g. patmore. r. plumer ward (cont.) horace and james smith. william hazlitt r. plumer ward (cont.) horace and james smith. william hazlitt",False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
mdp.39015030741600,"Patmore, P. G. (Peter George)","Patmore, P. G. (Peter George)",1786-1855.,1854.0,1854.0,s,1854,    ,London;Saunders and Otley;1854.,1854,v. 1. Charles Lamb. Thomas Campbell. The Countess of Blessington. R. Plumer Ward. - v. 2. R. Plumer Ward (cont.) Horace and James Smith. William Hazlitt. - v. 3. William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan.,,"Authors, English",,PR452.P3,1179029.0,enk,160912,1,1.0,1.0,v.3,3.0,"My friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: By P. G. Patmore.",William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan,True,William Hazlitt (cont.) Laman Blanchard. Richard Brinsley Sheridan and Thomas Sheridan,0.5427906140185785,0.0021715191147896,Peter,m,7.362573099415204,28.611230806059982,24.242857142857144,28.926734693877552,204.60285714285715,2500.633706122449,1.9,['unknown'],['english literature'],"my friends and acquaintance: | being memorials, mind-portraits, and personal recollections of deceased celebrities of the nineteenth century: with selections from their unpublished letters. | $c: by p. g. patmore. william hazlitt (cont.) laman blanchard. richard brinsley sheridan and thomas sheridan william hazlitt (cont.) laman blanchard. richard brinsley sheridan and thomas sheridan",False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
nnc1.0315300994,"Morley, Henry","Morley, Henry",1822-1894.,1876.0,1876.0,s,1876,    ,London;New York;Cassell & Co.;1876,1876,[v. 1.] Shorter English poems. -- [v. 2.] Illustrations of English religion. -- [v. 3.] English plays. -- [v. 4.] Shorter works in English prose. -- [v. 5.] Longer works in English prose and verse.,,English prose literature,,,10344961.0,enk,946598,1,1.0,1.0,v.4,4.0,"Cassell's library of English literature : | Selections / | $c: selected, edited and arranged by Henry Morley.",Shorter works in English prose,True,Shorter works in English prose,0.893531010625633,0.4631490124753896,Henry,m,42.210762331838566,195.27844919463493,127.25550660792952,691.2210599856392,1417.6960352422907,108857.40980806923,11.5,['unknown'],['unknown'],"cassell's library of english literature : | selections / | $c: selected, edited and arranged by henry morley. shorter works in english prose shorter works in english prose",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
nnc1.1000418994,"Arnold, Edwin Lester Linden","Arnold, Edwin Lester Londen",d. 1935.,1888.0,1888.0,s,1888,    ,London;New York;Frederick Warne;1888.,1888,,,Description and travel,England,,6072354.0,enk,8403743,1,1.0,1.0,,,England as she seems : | being selections from the notes of an Arab hadji / | $c: by Edwin Lester Arnold.,,True,England as she seems : being selections from the notes of an Arab hadji,0.6975458006647016,0.9284564251835375,Edwin,m,7.260162601626016,5.558331680877784,22.304,19.347584,198.032,1990.894976,2.1,['unknown'],['unknown'],england as she seems : | being selections from the notes of an arab hadji / | $c: by edwin lester arnold.  england as she seems : being selections from the notes of an arab hadji,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
njp.32101049602863,,,,1889.0,1889.0,m,1889,1uuu,London|Royal Asiatic Society of Great Britain and Ireland|1889-,1889,,,History|Bahai faith,,,55762312.0,enk,8897527,1,1.0,1.0,vol.6,6.0,[Selections from the Bahai Collection of William McElwee Mitler].,,True,[Selections from the Bahai Collection of William McElwee Mitler],0.9723298601152632,0.0695577860264422,,unknown,12.515625,30.062255859375,33.74285714285714,109.2195918367347,387.2857142857143,15379.975510204084,1.4,['unknown'],['unknown'],[selections from the bahai collection of william mcelwee mitler].  [selections from the bahai collection of william mcelwee mitler],False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
mdp.39015063530508,"Dickens, Charles","Dickens, Charles",1812-1870.,1890.0,1870.0,s,1890,    ,London;Hutchinson and co.;1890,1890,,,,,,16914786.0,enk,121052,1,1.0,1.0,,,Selections from the works of Charles Dickens for reading or recitations. | $c: Ed. by Alfred H. Miles.,,True,Selections from the works of Charles Dickens for reading or recitations,0.509542870775384,0.4196486637762836,Charles,m,16.497584541062803,58.4045835375388,34.50476190476191,57.811882086167806,377.9714285714286,9406.037278911564,2.8,['unknown'],['unknown'],selections from the works of charles dickens for reading or recitations. | $c: ed. by alfred h. miles.  selections from the works of charles dickens for reading or recitations,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
mdp.39015014804465,"Auerbach, Berthold","Auerbach, Berthold",1812-1882.,1890.0,1882.0,s,1890,    ,"London;New York;Longmans, Green & co.;1890.",1890,,,Readers|German language,,,67172905.0,enk,1102915,1,1.0,1.0,,,Tales of the Black Forest : | selections from Auerbach's 'Schwarzwälder dorfgeschichten' / | $c: edited with notes by A.H. Fox Strangways.,,True,Tales of the Black Forest : selections from Auerbach's 'Schwarzwälder dorfgeschichten',0.7832421316790247,0.8538533370021967,Berthold,m,33.056603773584904,412.6949092203632,26.08176100628931,76.4901704837625,269.685534591195,13916.05205490289,1.3,['fiction'],['unknown'],tales of the black forest : | selections from auerbach's 'schwarzwälder dorfgeschichten' / | $c: edited with notes by a.h. fox strangways.  tales of the black forest : selections from auerbach's 'schwarzwälder dorfgeschichten',False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
