docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match,sketches_match
hvd.hn2u4x,"Keate, George","Keate, George",1729-1797.,1790.0,1790.0,s,1790,    ,London;J. Dodsley;1790.,1790,4th ed.,,,Margate (England),,1452965.0,enk,9712096,1,2.0,2.0,v.2,2.0,"Sketches from nature; | taken, and coloured, in a journey to Margate. Published from the original designs / | $c: by George Keate.",,True,"Sketches from nature; taken, and coloured, in a journey to Margate. Published from the original designs",0.2286608797650275,0.301989600800341,George,m,4.663677130044843,3.900339841943333,21.521929824561404,17.00390504770699,151.32456140350877,1252.0964142813173,2.1,['unknown'],['unknown'],"sketches from nature; | taken, and coloured, in a journey to margate. published from the original designs / | $c: by george keate.  sketches from nature; taken, and coloured, in a journey to margate. published from the original designs",False,False,True
nyp.33433074918859,"Adams, John","Adams, John",1750?-1814.,1791.0,1791.0,s,1791,    ,London;G. Kearsley;1791.,1791,,,English fiction,,,37208625.0,enk,8667228,1,1.0,1.0,,,"Elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of Woman; or, Historical sketches of the fair sex ...",,True,"Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects",0.373850361843535,0.1190609898621482,John,m,10.46530612244898,21.746755518533945,29.726166328600407,17.902702747182666,268.7870182555781,2116.114882184251,2.3,['fiction'],['unknown'],"elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of woman; or, historical sketches of the fair sex ...  elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects",False,True,True
nyp.33433074910260,"Moore, John","Moore, John",1729-1802.,1800.0,1800.0,s,1800,    ,London;Printed for G. G. and J. Robinson;1800.,1800,,,,,PR3605.M5M6 1800,3890141.0,enk,670480,1,3.0,3.0,v. 1,1.0,"Mordaunt. | Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality. | $c: By the author of Zeluco & Edward.",,True,"Mordaunt. Sketches of life, characters, and manners, in various countries; including the Memoirs of a French lady of quality",0.4071352456774493,0.0842561588276337,John,m,6.764267990074441,8.790584265650303,21.96821515892421,15.888965274000036,183.17848410757944,1620.352006504026,3.5,['unknown'],['english literature'],"mordaunt. | sketches of life, characters, and manners, in various countries; including the memoirs of a french lady of quality. | $c: by the author of zeluco & edward.  mordaunt. sketches of life, characters, and manners, in various countries; including the memoirs of a french lady of quality",False,False,True
njp.32101074210913,"Williams, Helen Maria","Williams, Helen Maria",1762-1827.,1801.0,1801.0,s,1801,    ,London;G. G. and J. Robinson;1801.,1801,,,"Social conditions|History|Revolution, 1789-1799",France,,7104237.0,enk,9021545,1,1.0,1.0,v.1,1.0,"Sketches of the state of manners and opinions in the French republic, | towards the close of the eighteenth century.  In a series of letters. | $c: By Helen Maria Williams.",,True,"Sketches of the state of manners and opinions in the French republic, towards the close of the eighteenth century.  In a series of letters",0.3838773550582113,0.0354656406127499,Helen,f,6.912912912912913,12.932355779202627,22.47462686567164,15.741893517487194,186.0597014925373,1471.2919581198487,1.8,['fiction'],['unknown'],"sketches of the state of manners and opinions in the french republic, | towards the close of the eighteenth century.  in a series of letters. | $c: by helen maria williams.  sketches of the state of manners and opinions in the french republic, towards the close of the eighteenth century.  in a series of letters",False,False,True
hvd.hn2heh,,,,1801.0,1801.0,s,1801,    ,London;Printed for E. Newbery ... by H. Bryer;1801.,1801,,,Nature study|Children's stories|Juvenile literature|Conduct of life|Children,,,20477830.0,enk,9714356,1,1.0,1.0,,,Sketches from nature : | intended for the use of young persons.,,True,Sketches from nature : intended for the use of young persons,0.8423417821522806,0.99584377931532,,unknown,6.54074074074074,17.56685871056241,15.29496402877698,9.042492624605352,106.24460431654676,1118.3718234045857,1.1,['unknown'],['unknown'],sketches from nature : | intended for the use of young persons.  sketches from nature : intended for the use of young persons,False,False,True
nyp.33433082456462,"Semple, Robert","Semple, Robert",1766-1816.,1805.0,1805.0, ,1805,    ,London;Printed by and for C. and R. Baldwin;1805.,1805,"2nd ed., enlarged.",,,,,35070030.0,enk,7672580,3,3.0,3.0,,,Walks and sketches at the Cape of Good Hope to which is subjoined  a journey from Cape Town to Blettenberg's Bay / | $c: by Robert Semple.,,True,Walks and sketches at the Cape of Good Hope to which is subjoined  a journey from Cape Town to Blettenberg's Bay,0.8965225303165499,0.6375233228171089,Robert,m,7.455445544554456,9.46583668267817,25.733009708737864,27.87531812611933,223.83009708737865,2877.6653077575643,1.2,['unknown'],['unknown'],walks and sketches at the cape of good hope to which is subjoined  a journey from cape town to blettenberg's bay / | $c: by robert semple.  walks and sketches at the cape of good hope to which is subjoined  a journey from cape town to blettenberg's bay,False,False,True
mdp.39015047645893,"Surr, T. S. (Thomas Skinner)","Surr, T. S. (Thomas Skinner)",1770-1847.,1806.0,1806.0,s,1806,    ,London;R. Phillips;1806.,1806,2d ed.,,823SU78W|English fiction,London (England),PZ3.S962W2,602356.0,enk,122629,2,3.0,3.0,v.3,3.0,"A winter in London; | or, Sketches of fashion : a novel ... | $c: by T. S. Surr.",,True,"A winter in London; or, Sketches of fashion : a novel",0.0953154113502182,0.0249176423791399,Thomas,m,6.973684210526316,5.514345073209339,22.71851851851852,11.41706447187929,186.7111111111111,1197.3980246913582,1.5,['fiction'],"['fiction and juvenile belles lettres', 'english literature']","a winter in london; | or, sketches of fashion : a novel ... | $c: by t. s. surr.  a winter in london; or, sketches of fashion : a novel",False,False,True
mdp.39015064001236,,,,1808.0,1808.0,s,1808,    ,"London;Printed for Longman, Hurst, Rees, and Orme [etc.] by Mills & co., Bristol;1808.",1808,,,,,,7076234.0,enk,779947,1,1.0,1.0,v.1,1.0,"Sketches of character, | or Specimens of real life.  A novel ...",,True,"Sketches of character, or Specimens of real life.  A novel",0.0350362058791789,0.1156063609845839,,unknown,7.772413793103448,22.741307966706305,20.387755102040817,21.339441899208666,168.4047619047619,1838.8939909297048,1.6,['fiction'],['unknown'],"sketches of character, | or specimens of real life.  a novel ...  sketches of character, or specimens of real life.  a novel",False,False,True
nnc1.0315059251,"Capt. Henderson, (George)","Capt. Henderson, (George)",,1811.0,1811.0,s,1811,    ,London;C. Baldwin;1811,1811,,,Miskito Indians,,,49849499.0,enk,8402121,1,1.0,1.0,,,"Sketches of the manners and customs of the Mosquito Indians, | made during a short residence amongst them in the year 1804; preceded by the journal of a voyage to the Mosquito shore ...",,True,"Sketches of the manners and customs of the Mosquito Indians, made during a short residence amongst them in the year 1804; preceded by the journal of a voyage to the Mosquito shore",0.0,0.0,George,m,9.75,26.52960526315789,34.25,1755.4875,168.6375,5331.731093750001,2.4,['unknown'],['unknown'],"sketches of the manners and customs of the mosquito indians, | made during a short residence amongst them in the year 1804; preceded by the journal of a voyage to the mosquito shore ...  sketches of the manners and customs of the mosquito indians, made during a short residence amongst them in the year 1804; preceded by the journal of a voyage to the mosquito shore",False,False,True
nyp.33433076076573,"Corp, Harriet","Corp, Harriet",,1814.0,1814.0,s,1814,    ,"London;Printed for the author annd sold by Gale, Curtis, and Fenner;1814.",1814,,,,,,11856462.0,enk,8661864,1,1.0,1.0,,,"Familiar scenes, histories, and reflections. | $c: By the author of Cottage sketches, Antidote to the miseries of human life, &c.",,True,"Familiar scenes, histories, and reflections",0.3206809696671979,0.4568750045529424,Harriet,f,8.76878612716763,15.36850546292893,26.05464480874317,70.67460957329271,251.3224043715847,8532.109170175281,0.4,['unknown'],['unknown'],"familiar scenes, histories, and reflections. | $c: by the author of cottage sketches, antidote to the miseries of human life, &c.  familiar scenes, histories, and reflections",False,False,True
