docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match
njp.32101048392763,,,,1792.0,1792.0,s,1792,    ,Edinburgh;G. Mudie;1792.,1792,,,,,,4429493.0,stk,8896436,1,1.0,1.0,v.1,1.0,"Arabian tales : | being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  Arabian manuscript into French, by Chavis and Cazotte, and now tr. into English from the last French edition.",,True,"Arabian tales : being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories",0.2025917691489518,0.0596755003078886,,unknown,11.065104166666666,9.665032280815971,29.668367346938776,25.6247136609746,258.40561224489795,2756.690070543524,1.3,['unknown'],['unknown'],"arabian tales : | being a continuation of the arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  arabian manuscript into french, by chavis and cazotte, and now tr. into english from the last french edition.  arabian tales : being a continuation of the arabian nights entertainments, consisting of one thousand and one stories",True
mdp.39015009232102,"Wollstonecraft, Mary","Wollstonecraft, Mary",1759-1797.,1796.0,1796.0,s,1796,    ,London;Printed for J. Johnson;1796.,1796,A new ed.,,,,,7392625.0,enk,1776216,1,1.0,1.0,,,"Original stories from real life; | with conversations, calculated to regulate the affections, and form the mind to truth and goodness. | $c: By Mary Wollstonecraft.",,True,"Original stories from real life; with conversations, calculated to regulate the affections, and form the mind to truth and goodness",0.5194936305899667,0.9979633360920152,Mary,f,8.538922155688622,17.422137760407324,24.745562130177515,14.816918175133925,198.89349112426035,1393.787472427436,2.2,['unknown'],['unknown'],"original stories from real life; | with conversations, calculated to regulate the affections, and form the mind to truth and goodness. | $c: by mary wollstonecraft.  original stories from real life; with conversations, calculated to regulate the affections, and form the mind to truth and goodness",True
njp.32101068989910,"comtesse de, Genlis, Stéphanie Félicité","comtesse de, Genlis, Stéphanie Félicité",1746-1830.,1798.0,1798.0,s,1798,    ,London;G. G. and J. Robinson;1798.,1798,The 5th ed. ...,,,,,7100610.0,enk,8976867,1,1.0,1.0,v.5,5.0,"Tales of the castle: | or, Stories of instruction and delight. Being Les veillees du chateau, | $c: written in French by Madame la comtesse de Genlis ... Translated into English by Thomas Holcroft ...",th ed,True,th ed,0.2916506617251484,0.1679188187999093,Stphanie,unknown,13.140684410646388,33.01823071028929,26.415162454873645,40.87096143570228,250.49097472924188,5574.647030457845,0.3,['unknown'],['unknown'],"tales of the castle: | or, stories of instruction and delight. being les veillees du chateau, | $c: written in french by madame la comtesse de genlis ... translated into english by thomas holcroft ... th ed th ed",True
njp.32101073253690,,,,1802.0,1802.0,s,1802,    ,Edinburgh;Printed for the booksellers by Schaw;1802.,1802,,,,,,42847423.0,stk,9012635,1,1.0,1.0,v.1,1.0,"Arabian Night's entertainments, | consisting of one thousand and one stories, told by the sultaness of the Indies ... | $c: Tr. into French from the Arabian Mss. by M. Galland; and now done into English from the last Paris edition.",,True,"Arabian Night's entertainments, consisting of one thousand and one stories, told by the sultaness of the Indies",0.0,0.0,,unknown,12.519174041297935,10.680310822217,38.4424778761062,12.181794450100504,430.0,2460.778761061947,4.3,['unknown'],['unknown'],"arabian night's entertainments, | consisting of one thousand and one stories, told by the sultaness of the indies ... | $c: tr. into french from the arabian mss. by m. galland; and now done into english from the last paris edition.  arabian night's entertainments, consisting of one thousand and one stories, told by the sultaness of the indies",True
hvd.hn6gv5,"Plumptre, Anabella","Plumptre, Anabella",,1804.0,1804.0,s,1804,    ,London;J. Mawman;1804.,1804,,,,,,82741889.0,enk,9714340,1,1.0,1.0,,,"Stories for children, intended to be read or recited to them in early periods of infancy. | Being the first part of a series of amusement and instruction adapted to the progressive stages of early life.",,True,"Stories for children, intended to be read or recited to them in early periods of infancy. Being the first part of a series of amusement and instruction adapted to the progressive stages of early life",0.5820773211661321,0.9998994979141737,Anabella,f,8.806896551724138,45.57650416171224,22.578231292517007,21.59081864038132,163.0748299319728,1970.654264426859,2.7,['unknown'],['unknown'],"stories for children, intended to be read or recited to them in early periods of infancy. | being the first part of a series of amusement and instruction adapted to the progressive stages of early life.  stories for children, intended to be read or recited to them in early periods of infancy. being the first part of a series of amusement and instruction adapted to the progressive stages of early life",True
njp.32101046807218,"Mrs. Sykes, S","Sykes, S, Mrs",,1813.0,1813.0,s,1813,    ,London;Minerva Press;1813.,1813,,,,,,777052379.0,enk,8895032,1,1.0,1.0,v.1-2,1.0,"Stories of the four nations : | containing Montargis, a French story; My Aunt Patty, an English story; Lillias de Lara, a Spanish story; The Calabrian, an Italian story / | $c: by the author of Margiana, Sir William Dorien, etc.",,True,"Stories of the four nations : containing Montargis, a French story; My Aunt Patty, an English story; Lillias de Lara, a Spanish story; The Calabrian, an Italian story",0.0,0.0,S,unknown,6.533742331288344,8.056632416224422,24.97782258064516,9.08620171045786,184.07258064516128,876.0753772112382,1.5,['fiction'],['unknown'],"stories of the four nations : | containing montargis, a french story; my aunt patty, an english story; lillias de lara, a spanish story; the calabrian, an italian story / | $c: by the author of margiana, sir william dorien, etc.  stories of the four nations : containing montargis, a french story; my aunt patty, an english story; lillias de lara, a spanish story; the calabrian, an italian story",True
mdp.39015012113810,"More, Hannah","More, Hannah",1745-1833.,1818.0,1818.0,s,1818,    ,London;Printed for T. Cadell and W. Davies;1818.,1818,,,,,,11347064.0,enk,2201262,1,1.0,1.0,v.1 1918,1.0,Stories for the middle ranks of society and tales for the common people / | $c: by Hannah More.,,True,Stories for the middle ranks of society and tales for the common people,0.0,0.0,Hannah,f,7.813559322033898,9.626256822752085,24.498964803312628,22.933228742032416,203.73498964803312,1851.519831625152,0.9,['fiction'],['unknown'],stories for the middle ranks of society and tales for the common people / | $c: by hannah more.  stories for the middle ranks of society and tales for the common people,True
hvd.hn2gt5,,,,1818.0,1818.0,s,1818,    ,London;printed for J. Harris;1818.,1818,7th ed.,,,,,82058707.0,enk,9711379,1,1.0,1.0,,,"A cup of sweets that can never cloy, or Delightful tales for good children. | $c: By the author of Short Stories, Summer Rambles, &c., &c.",,True,"A cup of sweets that can never cloy, or Delightful tales for good children",0.284775984968361,0.999931193957708,,unknown,3.478021978021978,1.952813669846637,19.172043010752688,20.60480980460169,147.04301075268816,1677.116429645046,1.2,['unknown'],['unknown'],"a cup of sweets that can never cloy, or delightful tales for good children. | $c: by the author of short stories, summer rambles, &c., &c.  a cup of sweets that can never cloy, or delightful tales for good children",True
hvd.hwk119,,,,1821.0,1821.0,s,1821,    ,London;Printed for F.C. and J. Rivington [and 17 others;1821.,1821,,,,,,15138456.0,enk,9716789,1,1.0,1.0,v.1,1.0,The Arabian nights' entertainments : | consisting of one thousand and one stories ...,,True,The Arabian nights' entertainments : consisting of one thousand and one stories,0.4608410437096561,0.1467677146962286,,unknown,11.7319391634981,8.888219433561277,37.64352720450282,23.756604444381868,379.7579737335834,4404.705025537771,1.5,['unknown'],['unknown'],the arabian nights' entertainments : | consisting of one thousand and one stories ...  the arabian nights' entertainments : consisting of one thousand and one stories,True
nyp.33433082533989,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1822.0,1822.0,s,1822,    ,London;Printed for R. Hunter;1822.,1822,"New ed.|v. 5 The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget.",,English fiction,,,17647761.0,enk,8689139,1,1.0,1.0,v. 5,5.0,"The parent's assistant, or, Stories for children / | $c: by Maria Edgeworth.","The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget",True,"The basket woman -- The white pigeon -- The orphans --  Waste not, want not -- Forgive and forget",0.4720079055605514,0.9992085515457162,Maria,f,6.68,6.993600000000001,20.71825396825397,6.805539808516,170.234126984127,693.4412163013353,1.8,['fiction'],['unknown'],"the parent's assistant, or, stories for children / | $c: by maria edgeworth. the basket woman -- the white pigeon -- the orphans --  waste not, want not -- forgive and forget the basket woman -- the white pigeon -- the orphans --  waste not, want not -- forgive and forget",True
