docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category,full_title,stories_match,tales_match
nyp.33433074918859,"Adams, John","Adams, John",1750?-1814.,1791.0,1791.0,s,1791,    ,London;G. Kearsley;1791.,1791,,,English fiction,,,37208625.0,enk,8667228,1,1.0,1.0,,,"Elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of Woman; or, Historical sketches of the fair sex ...",,True,"Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects",0.373850361843535,0.1190609898621482,John,m,10.46530612244898,21.746755518533945,29.726166328600407,17.902702747182666,268.7870182555781,2116.114882184251,2.3,['fiction'],['unknown'],"elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of woman; or, historical sketches of the fair sex ...  elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects",False,True
uc2.ark+=13960=t9t14wb76,,,,1792.0,1792.0,s,1792,    ,Edinburgh;Printed for G. Mudie [etc.] 1792.,1792,,,,,,4734602.0,enk,7685342,1,1.0,1.0,v.2,2.0,Arabian tales;,,True,Arabian tales;,0.3275285661046669,0.4846030146598697,,unknown,11.2375296912114,12.41863902821582,33.95764705882353,16.214676816608996,262.6635294117647,1303.2585522491352,1.8,['fiction'],['unknown'],arabian tales;  arabian tales;,False,True
njp.32101048392763,,,,1792.0,1792.0,s,1792,    ,Edinburgh;G. Mudie;1792.,1792,,,,,,4429493.0,stk,8896436,1,1.0,1.0,v.1,1.0,"Arabian tales : | being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  Arabian manuscript into French, by Chavis and Cazotte, and now tr. into English from the last French edition.",,True,"Arabian tales : being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories",0.2025917691489518,0.0596755003078886,,unknown,11.065104166666666,9.665032280815971,29.668367346938776,25.6247136609746,258.40561224489795,2756.690070543524,1.3,['unknown'],['unknown'],"arabian tales : | being a continuation of the arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  arabian manuscript into french, by chavis and cazotte, and now tr. into english from the last french edition.  arabian tales : being a continuation of the arabian nights entertainments, consisting of one thousand and one stories",True,True
nnc1.1002330652,"Moser, Joseph","Moser, Joseph",1748-1819.,1794.0,1794.0,s,1794,    ,London;1794.,1794,,,,,,35122360.0,enk,8405386,1,1.0,1.0,v.1,1.0,Turkish tales.,,True,Turkish tales,0.2629399340547395,0.4167461828583683,Joseph,m,4.568627450980392,8.549211841599385,17.31132075471698,10.167230331078676,109.16509433962264,720.9491589533641,1.6,['unknown'],['unknown'],turkish tales.  turkish tales,False,True
njp.32101068989910,"comtesse de, Genlis, Stéphanie Félicité","comtesse de, Genlis, Stéphanie Félicité",1746-1830.,1798.0,1798.0,s,1798,    ,London;G. G. and J. Robinson;1798.,1798,The 5th ed. ...,,,,,7100610.0,enk,8976867,1,1.0,1.0,v.5,5.0,"Tales of the castle: | or, Stories of instruction and delight. Being Les veillees du chateau, | $c: written in French by Madame la comtesse de Genlis ... Translated into English by Thomas Holcroft ...",th ed,True,th ed,0.2916506617251484,0.1679188187999093,Stphanie,unknown,13.140684410646388,33.01823071028929,26.415162454873645,40.87096143570228,250.49097472924188,5574.647030457845,0.3,['unknown'],['unknown'],"tales of the castle: | or, stories of instruction and delight. being les veillees du chateau, | $c: written in french by madame la comtesse de genlis ... translated into english by thomas holcroft ... th ed th ed",True,True
uc2.ark+=13960=t1ng4kw2z,"Lee, Harriet","Lee, Harriet",1757-1851.,1799.0,1799.0,m,1799,1805,London;Printed for G.G. and J. Robinson;1799-1805.,1799-1805,,,"Lee, Sophia|joint author|1750-1824",,,14341800.0,enk,7689889,1,4.0,2.0,v.1,1.0,Canterbury tales,,True,Canterbury tales,0.1825630390579398,0.2364751582582172,Harriet,f,7.812351543942992,10.789016085442986,25.0354609929078,8.053116040440623,183.48463356974,1243.7013005158472,1.6,['unknown'],['unknown'],canterbury tales  canterbury tales,False,True
uc2.ark+=13960=t6f19705j,,,,1800.0,1800.0, ,1800,    ,Edinburgh;Oliver & Boyd;18??_?_,"<estimate=""[18????_???_]"">",,,,,,315363000.0,stk,7703319,1,1.0,1.0,,,Select comic tales from the best authors,,True,Select comic tales from the best authors,0.2198190540960908,0.0609122636164412,,unknown,8.185185185185185,10.789780521262005,32.74324324324324,33.172814706598494,266.8783783783784,3130.268991964938,1.5,['unknown'],['unknown'],select comic tales from the best authors  select comic tales from the best authors,False,True
ucm.5320307018,,,,1800.0,1800.0,s,1800,    ,Shrewsbury;printed by J. and W. Eddowes...;1800.,1800,,,,,,,enk,9341787,1,1.0,1.0,,,"Tales, anecdotes, and letters / | $c: translated from the arabic and persian by Jonathan Scott.",,True,"Tales, anecdotes, and letters",0.8259872284425493,0.0459575428200733,,unknown,7.052631578947368,9.541852342526798,21.948888888888888,47.88405432098766,168.48666666666668,4410.152044444444,0.4,['fiction'],['unknown'],"tales, anecdotes, and letters / | $c: translated from the arabic and persian by jonathan scott.  tales, anecdotes, and letters",False,True
uc2.ark+=13960=t6pz5d01n,,,,1801.0,1801.0,s,1801,    ,London;J. Debrett;1801.,1801,,,,,,35363834.0,enk,7704299,1,1.0,1.0,,,"Tuti-namah. The Tooti nameh, or Tales of a parrot",,True,"Tuti-namah. The Tooti nameh, or Tales of a parrot",0.911727372902712,0.0570330048076463,,unknown,8.847953216374268,14.690332067986732,18.66767371601209,111.3397102983726,124.58610271903324,10804.780350672228,2.9,['unknown'],['unknown'],"tuti-namah. the tooti nameh, or tales of a parrot  tuti-namah. the tooti nameh, or tales of a parrot",False,True
njp.32101076417573,,,,1801.0,1801.0,s,1801,    ,London;J. Debrett;1801.,1801,,,,,,6095033.0,enk,9031907,1,1.0,1.0,,,"The Bakhtyar nameh; | or, Story of Prince Bakhtyar and the ten viziers; | $c: a series of  Persian tales from a manuscript in the collection of Sir William Ouseley.",,True,"The Bakhtyar nameh; or, Story of Prince Bakhtyar and the ten viziers;",0.7164934835399541,0.8330679962862649,,unknown,6.379032258064516,3.2998829344432883,23.53488372093023,32.07824049035516,203.65891472868216,3781.821645333814,1.7,['unknown'],['unknown'],"the bakhtyar nameh; | or, story of prince bakhtyar and the ten viziers; | $c: a series of  persian tales from a manuscript in the collection of sir william ouseley.  the bakhtyar nameh; or, story of prince bakhtyar and the ten viziers;",False,True
