docid,title,parttitle,shorttitle
nyp.33433074918859,"Elegant tales, histories, and epistles of a moral tendency; | on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects, | $c: by the author of Woman; or, Historical sketches of the fair sex ...",,"Elegant tales, histories, and epistles of a moral tendency; on love, friendship, matrimony, conjugal felicity, jealousy, constancy, magnanimity, cheerfulness, and other important subjects"
uc2.ark+=13960=t9t14wb76,Arabian tales;,,Arabian tales;
njp.32101048392763,"Arabian tales : | being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories / | $c: tr. from the  Arabian manuscript into French, by Chavis and Cazotte, and now tr. into English from the last French edition.",,"Arabian tales : being a continuation of the Arabian nights entertainments, consisting of one thousand and one stories"
nnc1.1002330652,Turkish tales.,,Turkish tales
njp.32101068989910,"Tales of the castle: | or, Stories of instruction and delight. Being Les veillees du chateau, | $c: written in French by Madame la comtesse de Genlis ... Translated into English by Thomas Holcroft ...",th ed,th ed
uc2.ark+=13960=t1ng4kw2z,Canterbury tales,,Canterbury tales
uc2.ark+=13960=t6f19705j,Select comic tales from the best authors,,Select comic tales from the best authors
ucm.5320307018,"Tales, anecdotes, and letters / | $c: translated from the arabic and persian by Jonathan Scott.",,"Tales, anecdotes, and letters"
uc2.ark+=13960=t6pz5d01n,"Tuti-namah. The Tooti nameh, or Tales of a parrot",,"Tuti-namah. The Tooti nameh, or Tales of a parrot"
njp.32101076417573,"The Bakhtyar nameh; | or, Story of Prince Bakhtyar and the ten viziers; | $c: a series of  Persian tales from a manuscript in the collection of Sir William Ouseley.",,"The Bakhtyar nameh; or, Story of Prince Bakhtyar and the ten viziers;"
hvd.hxj9j6,"Tūtī-namāh. | The Tooti nameh, or Tales of a parrot: in the Persian language, with and English translation.",,"Tūtī-namāh. The Tooti nameh, or Tales of a parrot: in the Persian language, with and English translation"
nyp.33433051569915,Russian tales / | $c: by Nicolai Karamsin ; translated into English by John Battersby Elrington.,,Russian tales
uiuo.ark+=13960=t1pg2cj2j,Popular tales,,Popular tales
uiuo.ark+=13960=t8rb7p983,Simple tales,The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber,The black velvet pelisse.  The death-bed.  The fashionable wife and the unfashionable husband.  The robber
mdp.39015063608346,Simple tales. | $c: By Mrs. Opie.,The mother and son.  Love and duty,The mother and son.  Love and duty
uiuo.ark+=13960=t96692w8z,Simple tales,The soldier's return.  The brother and sister.  The revenge,The soldier's return.  The brother and sister.  The revenge
uiuo.ark+=13960=t2w38cp5d,Simple tales,The uncle and nephew.  Murder will out.  The orphan,The uncle and nephew.  Murder will out.  The orphan
njp.32101030687592,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],,Classic tales : serious and lively
njp.32101028206678,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],Voltaire,Voltaire
njp.32101030687576,Classic tales : | serious and lively / | $c: with critical essays on the merits and reputation of the authors by [Leigh Hunt],Johnson - Marmontel,Johnson - Marmontel
