docid,oldauthor,author,authordate,inferreddate,latestcomp,datetype,startdate,enddate,imprint,imprintdate,contents,genres,subjects,geographics,locnum,oclc,place,recordid,instances,allcopiesofwork,copiesin25yrs,enumcron,volnum,title,parttitle,earlyedition,shorttitle,nonficprob,juvenileprob,first_name,estimated_gender,avg_sentence_count,var_sentence_count,avg_line_count,var_line_count,avg_tokens_per_page,var_tokens_per_page,cap_alpha_freq,genre_tag,lcc_category
mdp.39015030708971,"Reade, Charles","Reade, Charles",1814-1884.,1884.0,1884.0,s,1884,    ,London;Chatto & Windus;1884.,1884,,,,,PZ3.R222Go4,4679546.0,enk,1377134,1,1.0,1.0,,,"Good stories of man and other animals,",,True,Good stories of man and other animals,0.2914740758705897,0.0097312017839367,Charles,m,17.37102473498233,37.01075054002423,29.922033898305084,41.3939212869865,308.9593220338984,5903.9169893708695,1.2,['unknown'],['fiction and juvenile belles lettres']
uva.x030803619,Mrs. Barber,"Barber, Mrs",,1827.0,1827.0,s,1827,    ,London;Printed for the author;1827.,1827,,,,,,21269292.0,enk,9782900,1,1.0,1.0,,,"Scenes of life : | or, The influence of religion / | $c: by Mrs. Barber.",,True,"Scenes of life : or, The influence of religion",0.056008933081444,0.0114912691926423,Mrs,unknown,7.547854785478548,3.7988650350183537,25.98032786885246,15.2717441547971,236.8655737704918,1756.470454178984,2.3,['unknown'],['unknown']
hvd.hwjvwl,"Edgeworth, Maria","Edgeworth, Maria",1767-1849.,1823.0,1823.0,s,1823,    ,"London;printed for R. Hunter, etc.;1823.",1823,"Seventh edition.|Contents: 1. Lame Jervas. The will. Limerick gloves. Out of debt, out of danger.--2. The lottery. Rosanna. Murad the unlucky. The manufacturers.--3. The contrast. The grateful Negro. To-morrow.",,,,,3588128.0,enk,9718955,1,1.0,1.0,v.3,3.0,Popular tales.,The contrast. The grateful Negro. To-morrow,True,The contrast. The grateful Negro. To-morrow,0.3019363798220168,0.7310345116426753,Maria,f,9.93841642228739,12.175093093454649,26.737752161383284,19.547940768547203,235.9481268011528,2257.1961564334897,1.3,['fiction'],['unknown']
uc2.ark+=13960=t4qj7c31z,"Conway, Hugh","Conway, Hugh",1847-1885.,1885.0,1885.0,s,1885,    ,London;John and Robert Maxwell;1885,1885,,,,,PR4699.F16D3 1885 Russian Imperial Coll,12977971.0,enk,9260145,1,1.0,1.0,,,"At what cost, and other stories",,True,"At what cost, and other stories",0.1236388748684139,0.0001515744213746,Hugh,m,10.12290502793296,24.09662619768422,28.31891891891892,66.0118042366691,173.0810810810811,4010.4204528853184,2.0,['fiction'],['english literature']
mdp.39015064443982,"Anstey, F","Anstey, F",1856-1934.,1898.0,1898.0,s,1898,    ,London;G. Richards;1898,1898,,,,,,12627070.0,enk,245214,1,1.0,1.0,,,"Paleface and Redskin, | and other stories for boys and girls, | $c: by F. Anstey [pseud.] Illustrated by Gordon Browne.",,True,"Paleface and Redskin, and other stories for boys and girls",0.0442798672018062,0.9593261081331332,F,unknown,11.278169014084508,29.834593830589167,24.09621993127148,64.69864550489484,228.446735395189,7286.597678345793,1.8,['fiction'],['unknown']
uc1.b3322552,"Grattan, Thomas Colley","Grattan, Thomas Colley",1792-1864.,1825.0,1825.0,s,1825,    ,London;Printed for Henry Colburn ...;1825.,1825,"v. 1. Caribert, the bear hunter -- v. 2. The priest and the gard-du-corps -- v. 3. The priest and the garde-du-corps (concluded). The vouée au blanc.",,,,,9910099.0,enk,7915322,1,2.0,2.0,v.1,1.0,"High-ways and by-ways, or, Tales of the roadside, : | picked up in the French provinces. / | $c: By A walking gentleman. ; Second series. ; In three volumes.","Caribert, the bear hunter",True,"Caribert, the bear hunter",0.0771524507215308,0.0328099362096611,Thomas,m,7.99322033898305,10.128767595518529,20.85234899328859,13.119138777532545,190.44630872483225,1309.5692648979775,2.2,['fiction'],['unknown']
mdp.39015048902913,"Marshall, Archibald","Marshall, Archibald",1866-1934.,1906.0,1906.0,s,1906,    ,"London;A. Rivers, ltd.;1906.",1906,,,,,PZ3.M3555Ri,9337961.0,enk,630696,1,3.0,3.0,,,"Richard Baldock; | an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him, | $c: by Archibald Marshall.",,True,"Richard Baldock; an account of some episodes in his childhood, youth, and early manhood, and of the advice that was freely offered to him",0.0955160507770474,0.0141903758885513,Archibald,m,21.09090909090909,61.72970345162858,31.80314960629921,41.00849401698804,387.244094488189,7798.12152024304,1.4,['fiction'],['fiction and juvenile belles lettres']
hvd.hxg8rg,"McMullan, Mary Anne","McMullan, Mary Anne",,1816.0,1816.0,s,1816,    ,"London;Printed by W. Clowes ... for Messrs. Longman, Hurst, Rees, and Co.; T. Egerton ... and E. Lloyd ...;1816.",1816,,,,,,13320889.0,enk,9707843,1,1.0,1.0,,,"The wanderings of a goldfinch; or, Characteristic sketches in the nineteenth century.",,True,"The wanderings of a goldfinch; or, Characteristic sketches in the nineteenth century",0.0601062469152,0.1575266327168378,Mary,f,5.686980609418282,4.719193376355308,19.0137741046832,24.052151871836315,165.27272727272728,2315.3388429752067,1.8,['unknown'],['unknown']
mdp.39015002151234,"Webster, Wentworth","Webster, Wentworth",1829-1907.,1879.0,1879.0,s,1879,    ,London;Griffith and Farran [etc.;1879.,1879,,,,,,68184120.0,enk,1880586,1,1.0,1.0,,,"Basque legends: | collected, chiefly in the Labourd, | $c: by Rev. Wentworth Webster ... With an essay on the Basque language, by M. Julien Vinson ...",,True,"Basque legends: collected, chiefly in the Labourd",0.5714527353495538,0.2169671570763536,Wentworth,unknown,20.82413793103448,55.24838287752676,35.43624161073826,88.0311697671276,394.01006711409394,8980.835469123014,2.1,['unknown'],['unknown']
uc2.ark+=13960=t9z03906q,"Morley, John","Morley, John",1838-1923.,1871.0,1871.0,s,1871,    ,London;Chapman and Hall;1871.,1871,,,Literature|Social sciences|History and criticism,,PN511.M5 1871,4533367.0,enk,157752,5,5.0,5.0,,,Critical miscellanies,,True,Critical miscellanies,0.9042160950821992,0.0003372954331453,John,m,11.421195652173912,12.27639857041588,34.670212765957444,74.97634676324128,358.2074468085106,5905.031433906745,1.4,['unknown'],['literature (general)']
uc2.ark+=13960=t5z60fh7d,"Wedmore, Frederick","Wedmore, Frederick, Sir",1844-1921.,1894.0,1894.0, ,1894,    ,London;E. Mathews;New York;Scribner's;1894.,1894,,,,,,5005223.0,enk,7683604,1,1.0,1.0,,,English episodes,,True,English episodes,0.442560644953991,0.039249347343317,Frederick,m,17.035398230088497,237.69786200955443,31.6896551724138,193.16230677764568,247.146551724138,13054.900936385257,2.7,['fiction'],['unknown']
uc1.b3327099,"Maxwell, W. H. (William Hamilton)","Maxwell, W. H. (William Hamilton)",1792-1850.,1847.0,1847.0,s,1847,    ,London;R. Bentley;1847.,1847,,,Folklore|Scotland,,PR4989.M45H5 1847,2739596.0,enk,7923038,2,2.0,2.0,v.1,1.0,Hill-side and Border sketches. | With legends of the Cheviots and the Lammermuir. | $c: By W. H. Maxwell.,,True,Hill-side and Border sketches. With legends of the Cheviots and the Lammermuir,0.2832472165373251,0.0549802449625151,William,m,8.18624641833811,9.34926642638402,24.29178470254957,20.965853188774485,213.77903682719543,2382.5064160694656,1.5,['unknown'],['english literature']
nyp.33433068032923,"graf, Tolstoy, Leo","Tolstoy, Leo, graf",1828-1910.,1888.0,1888.0,s,1888,    ,London;W. Scott;1888.,1888,A Russian proprieter.--Lucerne.--Recollections of a scorer.--Albert.--Two hussars.--Three deaths.--A prisoner in the Caucasus.,Mixed,Russian fiction,,,5431431.0,enk,8634081,1,4.0,3.0,,,A Russian proprieter : | and other stories / | $c: by Lyof N. Tolstoĭ ; translated from the Russian by Nathan Haskell Dole.,,True,A Russian proprieter : and other stories,0.2216133453136445,0.0345154794432049,Leo,m,18.41899441340782,91.94176211728724,30.86187845303868,56.08036995207716,317.35911602209944,5916.290925185433,3.3,['fiction'],['unknown']
nyp.33433068188691,"Westall, William","Westall, William",1835-1903.,1877.0,1877.0,s,1877,    ,"London;Griffith and Farran; [etc., etc.;1877.",1877,,,,,,6466495.0,enk,8622386,1,1.0,1.0,,,Tales and legends of Saxony and Lusatia. | $c: By W. Westall. With illustrations by H. W. Petherick.,,True,Tales and legends of Saxony and Lusatia,0.1675197558972233,0.0853296679573912,William,m,13.638176638176638,206.9260639118189,23.674931129476583,74.27449551867284,230.4159779614325,7981.835226798412,2.4,['unknown'],['unknown']
uiuo.ark+=13960=t76t1998v,"Scott, Walter","Scott, Walter, Sir",1771-1832.,1816.0,1816.0,s,1816,    ,Edinburgh;W. Blackwood;London;J. Murray;1816.,1816,,,Scottish authors|Scotland|Jacobites|English fiction|Covenanters,,,2461097.0,stk,2104611,1,16.0,16.0,v.1,1.0,Tales of my landlord,,True,Tales of my landlord,0.069410560356557,0.0025331427860901,Walter,m,6.560773480662983,6.428627026037057,26.01086956521739,27.103142722117205,184.8559782608696,2066.509149043006,1.5,['fiction'],['unknown']
mdp.39015028703083,Eiríkr Magnússon,Eiríkr Magnússon,"1833-1913,",1875.0,1875.0,s,1875,    ,London;Ellis & White;1875.,1875,The story of Gunnlaug the Worm-tongue and Raven the Skald.--The story of Frithiof the Bold.--The story of Viglund the Fair.--The tale of Hogni and Hedinn.--The tale of Roi the Fool.--The tale of Thorstein Staff-smitten.,Translations,Sagas|Translations into English|Old Norse literature,,PZ1.M275T,3254573.0,enk,671140,2,2.0,2.0,,,Three northern love stories : | and other tales / | $c: translated from the Icelandic by Eiríkir Magnússon and William Morris.,,True,Three northern love stories : and other tales,0.0712178941830757,0.9677796438494978,Eirkr,unknown,8.271255060728745,14.869740530085725,25.29803921568628,160.5386236063053,240.75294117647056,10049.652687427912,6.8,['urn:uuid:a0ec1781-b6a1-4c18-99f2-125482856e10'],['fiction and juvenile belles lettres']
uc2.ark+=13960=t3gx4d83s,"Scully, W. C","Scully, W. C. (William Charles)",1855-1943.,1897.0,1897.0,s,1897,    ,London;Methuen;1897.,1897,,,,,,22201611.0,enk,7923221,2,3.0,3.0,,,"The white hecatomb, and other stories",,True,"The white hecatomb, and other stories",0.2959038393521724,0.0114970218896187,William,m,15.551532033426184,306.00779013198223,35.05494505494506,177.44753049148653,258.54395604395603,12563.945870064004,2.7,['fiction'],['unknown']
